Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
09/15/2017,1,259,4.697829309597452,149,2.2525470540212718,7,11,3,89,120.0
02/7/2018,5,309,-0.21119785631472418,46,0.21798650958691929,1,0,9,83,260.0
06/12/2018,4,54,3.8796581152787564,282,4.879698048290873,6,10,3,89,261.6666666666667
04/1/2018,1,58,0.6069733380039719,136,1.9957578590926643,2,2,3,94,375.5
06/6/2017,1,1323,-0.21119785631472418,142,2.114275949059714,1,0,3,94,806.0
01/20/2017,1,2703,3.06148692096006,257,4.385872673428166,5,8,9,86,301.0
09/17/2018,1,22,-0.21119785631472418,109,1.4624264542409409,1,0,6,91,555.0
11/11/2017,5,41,4.697829309597452,498,9.146349287104659,7,11,4,89,396.57142857142856
03/22/2017,3,11,-0.21119785631472418,111,1.5019324842299573,1,0,4,90,585.0
09/10/2018,1,9,-0.21119785631472418,66,0.6130468094770848,1,0,5,91,308.0
07/29/2017,4,8,3.06148692096006,289,5.01796915325243,5,7,3,92,308.2
10/5/2018,1,8,0.6069733380039719,69,0.6723058544606096,2,2,4,92,179.0
07/20/2018,3,6,0.6069733380039719,105,1.3834143942629078,2,2,4,92,314.5
12/5/2018,4,4,10.425027669828326,182,2.904396548840045,14,18,5,79,81.78571428571429
06/26/2016,4,9,-0.21119785631472418,88,1.0476131393562669,1,0,14,80,443.0
09/10/2016,1,8,-0.21119785631472418,83,0.9488480643837255,1,0,2,92,447.0
06/10/2018,5,2,3.06148692096006,416,7.526602057554981,5,4,2,94,471.0
08/23/2018,1,6,-0.21119785631472418,46,0.21798650958691929,1,0,1,96,248.0
04/6/2018,3,3,3.06148692096006,177,2.8056314738675034,5,7,3,91,189.4
09/25/2018,1,4,-0.21119785631472418,71,0.7118118844496262,1,0,5,91,427.0
05/24/2017,3,6,1.4251445323226681,32,-0.05855570033619659,3,2,1,93,70.33333333333333
09/14/2017,1,4,-0.21119785631472418,152,2.3118060990047966,1,0,2,95,808.0
