Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
11/21/2017,4,7,7.081386786245858,71,1.5129485975798935,7,6,3,88,57.0
03/22/2018,1,4,-0.19620970944258057,35,0.40720201842611553,1,0,6,90,197.0
08/6/2018,5,2,-0.19620970944258057,19,-0.0842409056422302,1,0,3,94,104.0
10/31/2018,3,0,-0.19620970944258057,45,0.7143538459688316,1,0,3,94,252.0
12/2/2017,5,1,-0.19620970944258057,34,0.37648683567184393,1,0,4,91,171.0
04/16/2018,4,0,4.655521287683045,40,0.5607779321974735,5,4,3,86,44.4
11/17/2017,5,1,-0.19620970944258057,33,0.34577165291757234,1,0,2,93,167.0
06/15/2018,3,0,-0.19620970944258057,39,0.530062749443202,1,0,6,91,191.0
08/4/2018,5,0,-0.19620970944258057,36,0.43791720118038713,1,0,2,93,197.0
04/4/2018,5,0,-0.19620970944258057,62,1.236511952791449,1,0,3,94,311.0
11/12/2017,5,1,-0.19620970944258057,19,-0.0842409056422302,1,0,1,93,90.0
12/9/2018,5,0,-0.19620970944258057,22,0.007904642620584618,1,0,1,93,108.0
07/16/2018,5,0,-0.19620970944258057,33,0.34577165291757234,1,0,4,92,170.0
09/27/2018,5,0,-0.19620970944258057,21,-0.02281054013368699,1,0,1,94,103.0
05/30/2018,5,0,-0.19620970944258057,25,0.10005019088339945,1,0,2,94,134.0
10/26/2018,5,0,-0.19620970944258057,17,-0.1456712711507734,1,0,3,95,92.0
02/23/2018,5,0,-0.19620970944258057,29,0.22291092190048586,1,0,8,88,144.0
12/31/2018,5,0,-0.19620970944258057,13,-0.2685320021678599,1,0,6,90,63.0
06/15/2018,5,0,-0.19620970944258057,17,-0.1456712711507734,1,0,1,97,90.0
01/4/2019,4,0,-0.19620970944258057,7,-0.4528230986934895,1,0,3,94,38.0
05/30/2018,4,0,-0.19620970944258057,38,0.4993475666889304,1,0,2,96,216.0
09/29/2018,4,0,-0.19620970944258057,10,-0.3606775504306747,1,0,2,93,56.0
10/25/2018,5,0,-0.19620970944258057,10,-0.3606775504306747,1,0,5,90,51.0
05/12/2018,5,0,-0.19620970944258057,23,0.038619825374856226,1,0,2,96,133.0
11/21/2018,4,0,-0.19620970944258057,7,-0.4528230986934895,1,0,3,94,38.0
08/21/2018,5,0,-0.19620970944258057,20,-0.0535257228879586,1,0,6,88,108.0
04/4/2018,5,0,-0.19620970944258057,15,-0.20710163665931663,1,0,3,92,90.0
06/24/2018,5,0,-0.19620970944258057,18,-0.11495608839650182,1,0,4,93,98.0
02/15/2018,5,0,-0.19620970944258057,17,-0.1456712711507734,1,0,4,95,99.0
08/6/2018,4,0,-0.19620970944258057,9,-0.3913927331849463,1,0,3,94,43.0
08/20/2018,5,0,-0.19620970944258057,7,-0.4528230986934895,1,0,6,89,41.0
08/29/2018,5,0,-0.19620970944258057,7,-0.4528230986934895,1,0,3,94,39.0
02/4/2018,4,0,-0.19620970944258057,16,-0.17638645390504504,1,0,1,91,83.0
12/10/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,8,92,13.0
08/12/2018,5,0,-0.19620970944258057,8,-0.4221079159392179,1,0,3,90,38.0
04/25/2018,5,0,-0.19620970944258057,12,-0.2992471849221315,1,0,0,100,63.0
08/16/2018,5,0,-0.19620970944258057,7,-0.4528230986934895,1,0,3,92,42.0
06/7/2018,5,0,-0.19620970944258057,8,-0.4221079159392179,1,0,2,95,50.0
01/11/2019,5,0,-0.19620970944258057,1,-0.6371141952191192,1,0,20,80,5.0
12/29/2018,3,0,-0.19620970944258057,1,-0.6371141952191192,1,0,20,80,5.0
01/1/2018,5,0,-0.19620970944258057,18,-0.11495608839650182,1,0,5,92,82.0
11/5/2017,5,0,1.0167230398388258,19,-0.0842409056422302,2,2,4,88,44.5
12/13/2018,4,0,-0.19620970944258057,1,-0.6371141952191192,1,0,0,100,2.0
05/20/2018,5,0,-0.19620970944258057,10,-0.3606775504306747,1,0,3,94,72.0
02/26/2018,5,0,-0.19620970944258057,12,-0.2992471849221315,1,0,4,94,63.0
11/3/2018,5,0,-0.19620970944258057,1,-0.6371141952191192,1,0,25,75,4.0
09/18/2018,4,0,-0.19620970944258057,4,-0.5449686469563043,1,0,6,88,20.0
08/6/2018,4,0,-0.19620970944258057,4,-0.5449686469563043,1,0,8,92,16.0
09/15/2018,5,0,-0.19620970944258057,4,-0.5449686469563043,1,0,9,82,14.0
01/2/2018,5,0,-0.19620970944258057,13,-0.2685320021678599,1,0,2,93,68.0
05/20/2018,5,0,-0.19620970944258057,10,-0.3606775504306747,1,0,12,88,42.0
08/15/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,100,0,10.0
08/13/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,8,92,14.0
04/15/2018,5,0,-0.19620970944258057,5,-0.5142534642020328,1,0,0,100,22.0
08/23/2018,3,0,-0.19620970944258057,2,-0.6063990124648475,1,0,11,78,10.0
05/9/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,0,100,9.0
04/8/2018,5,0,-0.19620970944258057,3,-0.575683829710576,1,0,10,80,12.0
11/1/2017,5,0,-0.19620970944258057,8,-0.4221079159392179,1,0,3,92,46.0
04/6/2018,4,0,-0.19620970944258057,2,-0.6063990124648475,1,0,10,80,11.0
01/9/2019,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,8,85,14.0
01/10/2019,5,0,-0.19620970944258057,6,-0.4835382814477611,1,0,4,96,33.0
02/22/2018,5,0,-0.19620970944258057,5,-0.5142534642020328,1,0,8,85,30.0
05/10/2018,5,0,-0.19620970944258057,8,-0.4221079159392179,1,0,3,94,39.0
12/24/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,9,91,12.0
01/24/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,0,100,15.0
09/14/2018,5,0,-0.19620970944258057,1,-0.6371141952191192,1,0,20,80,5.0
01/7/2018,5,0,-0.19620970944258057,4,-0.5449686469563043,1,0,10,80,23.0
10/13/2017,5,0,-0.19620970944258057,3,-0.575683829710576,1,0,0,100,15.0
11/18/2017,5,0,-0.19620970944258057,5,-0.5142534642020328,1,0,5,90,25.0
09/22/2018,5,0,-0.19620970944258057,5,-0.5142534642020328,1,0,6,88,36.0
06/19/2018,5,0,-0.19620970944258057,18,-0.11495608839650182,1,0,1,95,97.0
10/31/2017,5,0,-0.19620970944258057,7,-0.4528230986934895,1,0,7,93,33.0
12/10/2017,5,0,-0.19620970944258057,30,0.2536261046547575,1,0,3,94,172.0
09/6/2018,4,0,-0.19620970944258057,26,0.13076537363767105,1,0,2,93,146.0
03/28/2018,5,0,-0.19620970944258057,4,-0.5449686469563043,1,0,7,93,18.0
11/15/2018,4,0,-0.19620970944258057,4,-0.5449686469563043,1,0,6,88,20.0
03/15/2018,5,0,-0.19620970944258057,9,-0.3913927331849463,1,0,5,90,47.0
09/6/2018,5,0,-0.19620970944258057,8,-0.4221079159392179,1,0,3,91,39.0
09/10/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,14,86,8.0
04/21/2018,5,0,-0.19620970944258057,6,-0.4835382814477611,1,0,3,94,36.0
12/23/2018,4,0,-0.19620970944258057,10,-0.3606775504306747,1,0,6,90,60.0
05/28/2018,5,0,-0.19620970944258057,16,-0.17638645390504504,1,0,3,93,91.0
11/29/2018,5,0,-0.19620970944258057,3,-0.575683829710576,1,0,5,89,21.0
07/22/2018,1,0,-0.19620970944258057,9,-0.3913927331849463,1,0,3,92,46.0
10/13/2017,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,9,91,12.0
03/14/2018,4,0,-0.19620970944258057,15,-0.20710163665931663,1,0,4,92,64.0
04/7/2018,5,0,-0.19620970944258057,3,-0.575683829710576,1,0,11,89,11.0
05/4/2018,5,0,-0.19620970944258057,5,-0.5142534642020328,1,0,4,96,27.0
01/11/2018,5,0,-0.19620970944258057,18,-0.11495608839650182,1,0,4,93,90.0
11/28/2017,3,0,-0.19620970944258057,13,-0.2685320021678599,1,0,2,95,74.0
08/19/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,7,93,15.0
03/16/2018,1,1,4.655521287683045,202,5.536637538389474,5,8,5,88,213.8
08/22/2017,5,0,-0.19620970944258057,82,1.8508156078768812,1,0,2,95,431.0
09/17/2017,5,1,5.868454036964452,156,4.12373913169298,6,8,3,89,140.33333333333334
02/14/2018,2,0,-0.19620970944258057,49,0.8372145769859181,1,0,3,84,260.0
08/19/2017,4,0,-0.19620970944258057,168,4.492321324744239,1,0,4,93,919.0
10/22/2017,4,0,-0.19620970944258057,47,0.7757842114773749,1,0,2,94,246.0
11/27/2018,3,0,-0.19620970944258057,41,0.5914931149517452,1,0,2,95,210.0
08/19/2017,5,0,1.0167230398388258,145,3.7858721213959923,2,2,3,94,373.0
08/11/2017,5,0,-0.19620970944258057,36,0.43791720118038713,1,0,3,90,227.0
08/26/2017,5,1,-0.19620970944258057,88,2.0351067044025104,1,0,2,96,470.0
09/23/2017,5,0,1.0167230398388258,28,0.19219573914621427,2,2,4,90,80.5
08/18/2017,5,0,-0.19620970944258057,32,0.3150564701633007,1,0,1,95,178.0
09/9/2017,5,0,-0.19620970944258057,85,1.942961156139696,1,0,2,96,488.0
08/14/2017,4,0,-0.19620970944258057,88,2.0351067044025104,1,0,3,92,480.0
09/16/2018,2,0,-0.19620970944258057,9,-0.3913927331849463,1,0,2,95,49.0
08/18/2017,4,1,-0.19620970944258057,57,1.0829360390200908,1,0,3,93,301.0
08/17/2017,5,1,-0.19620970944258057,16,-0.17638645390504504,1,0,3,94,87.0
04/13/2018,5,0,-0.19620970944258057,10,-0.3606775504306747,1,0,5,90,49.0
05/22/2018,2,0,-0.19620970944258057,26,0.13076537363767105,1,0,3,92,155.0
09/29/2017,1,1,-0.19620970944258057,23,0.038619825374856226,1,0,2,94,117.0
05/21/2018,5,0,-0.19620970944258057,32,0.3150564701633007,1,0,4,85,156.0
07/27/2018,5,0,-0.19620970944258057,16,-0.17638645390504504,1,0,2,92,96.0
12/29/2018,5,0,-0.19620970944258057,4,-0.5449686469563043,1,0,4,96,27.0
11/10/2018,5,0,-0.19620970944258057,4,-0.5449686469563043,1,0,10,80,24.0
10/26/2018,5,0,-0.19620970944258057,4,-0.5449686469563043,1,0,6,89,21.0
05/20/2018,5,0,-0.19620970944258057,8,-0.4221079159392179,1,0,2,90,49.0
05/26/2018,5,0,-0.19620970944258057,9,-0.3913927331849463,1,0,6,91,42.0
07/30/2018,5,0,-0.19620970944258057,4,-0.5449686469563043,1,0,4,88,28.0
03/20/2018,5,0,-0.19620970944258057,8,-0.4221079159392179,1,0,8,84,44.0
09/22/2018,5,0,-0.19620970944258057,1,-0.6371141952191192,1,0,0,100,5.0
06/15/2018,4,0,-0.19620970944258057,4,-0.5449686469563043,1,0,0,100,20.0
11/16/2018,5,0,-0.19620970944258057,1,-0.6371141952191192,1,0,25,75,4.0
07/17/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,0,89,10.0
04/18/2018,5,0,-0.19620970944258057,6,-0.4835382814477611,1,0,4,96,28.0
04/12/2018,5,0,-0.19620970944258057,6,-0.4835382814477611,1,0,0,96,29.0
05/23/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,9,82,12.0
03/22/2018,5,0,-0.19620970944258057,2,-0.6063990124648475,1,0,0,100,11.0
12/18/2017,5,0,-0.19620970944258057,5,-0.5142534642020328,1,0,4,83,27.0
09/21/2018,5,0,-0.19620970944258057,9,-0.3913927331849463,1,0,7,83,49.0
02/13/2018,5,0,-0.19620970944258057,7,-0.4528230986934895,1,0,3,97,38.0
08/26/2017,5,0,-0.19620970944258057,53,0.9600753080030044,1,0,2,93,312.0
09/13/2017,4,0,-0.19620970944258057,31,0.2843412874090291,1,0,2,93,158.0
08/25/2017,5,0,-0.19620970944258057,108,2.6494103594879426,1,0,3,95,541.0
12/11/2018,5,0,-0.19620970944258057,5,-0.5142534642020328,1,0,3,92,40.0
01/13/2019,5,0,-0.19620970944258057,10,-0.3606775504306747,1,0,4,92,61.0
