Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
10/15/2018,3,837,-0.23588126218062963,565,6.453576799993233,1,0,3,93,3087.0
10/15/2018,5,374,0.9156963604877254,162,1.394079035498715,3,4,3,91,300.0
10/15/2018,4,263,1.4914851718219027,343,3.6664589247630017,4,6,4,90,468.5
10/17/2018,4,200,5.522006851161145,730,8.525083328880566,11,20,3,91,394.27272727272725
10/16/2018,5,247,0.33990754915354787,194,1.7958257562526219,2,1,6,91,492.0
10/20/2018,1,156,-0.23588126218062963,96,0.5654764239437815,1,0,2,93,503.0
10/31/2018,1,133,4.946218039826968,145,1.1806510900982017,10,14,5,82,79.9
10/16/2018,4,84,0.33990754915354787,252,2.5239916876190787,2,2,5,89,679.0
11/4/2018,1,59,-0.23588126218062963,85,0.427375988684626,1,0,6,90,516.0
11/14/2018,1,41,-0.23588126218062963,148,1.2183148451688806,1,0,4,91,793.0
10/17/2018,4,154,0.33990754915354787,90,0.490148913802424,2,1,6,80,419.0
11/14/2018,1,30,-0.23588126218062963,85,0.427375988684626,1,0,1,97,447.0
10/20/2018,4,30,-0.23588126218062963,88,0.46503974375530477,1,0,5,90,455.0
11/13/2018,2,26,2.6430627944902576,294,3.0512842586085815,6,10,4,88,273.3333333333333
11/25/2018,1,26,0.33990754915354787,227,2.2101270620300886,2,2,6,89,603.0
11/29/2018,3,23,2.6430627944902576,508,5.737965453650335,6,10,3,91,452.5
11/8/2018,3,23,6.673584473829501,551,6.277812609663398,13,24,3,89,225.23076923076923
11/11/2018,1,27,-0.23588126218062963,40,-0.13758033737555586,1,0,2,92,221.0
10/16/2018,4,32,3.7946404171586128,501,5.650083358485419,8,14,3,92,351.875
11/2/2018,1,22,1.4914851718219027,139,1.1053235799568442,4,5,3,89,186.75
10/27/2018,5,20,4.946218039826968,200,1.8711532663939796,10,18,6,85,107.2
10/18/2018,3,39,4.946218039826968,124,0.9170048046034501,10,11,2,89,71.6
11/30/2018,1,19,-0.23588126218062963,210,1.9966991166295756,1,0,2,95,1069.0
10/17/2018,3,16,2.0672739831560802,391,4.269079005893863,5,8,2,93,420.4
11/26/2018,1,20,-0.23588126218062963,14,-0.4639995479881054,1,0,1,97,80.0
11/25/2018,3,14,3.2188516058244354,305,3.189384693867737,7,8,5,88,226.85714285714286
11/5/2018,5,14,-0.23588126218062963,173,1.5321794707578704,1,0,3,96,929.0
11/4/2018,1,17,-0.23588126218062963,46,-0.06225282723419829,1,0,9,87,230.0
11/10/2018,3,11,1.4914851718219027,328,3.478140149409608,4,4,3,91,459.25
11/10/2018,1,11,2.0672739831560802,213,2.0343628717002544,5,5,2,91,215.0
10/23/2018,4,9,7.825162096497856,764,8.951939219681593,15,22,3,91,282.2
11/8/2018,1,13,-0.23588126218062963,37,-0.17524409244623465,1,0,2,94,186.0
12/2/2018,1,12,-0.23588126218062963,122,0.891895634556331,1,0,4,94,608.0
11/22/2018,1,12,-0.23588126218062963,59,0.10095677807207647,1,0,3,92,337.0
10/25/2018,5,10,-0.23588126218062963,349,3.7417864349043595,1,0,5,91,1729.0
10/19/2018,5,11,-0.23588126218062963,35,-0.20035326249335386,1,0,4,94,191.0
11/7/2018,5,9,-0.23588126218062963,94,0.5403672538966624,1,0,2,96,441.0
10/18/2018,3,15,0.9156963604877254,187,1.7079436610877048,3,4,2,93,337.6666666666667
11/24/2018,2,7,-0.23588126218062963,158,1.3438606954044765,1,0,4,92,830.0
11/5/2018,5,6,2.0672739831560802,301,3.139166353773499,5,8,5,88,330.0
11/28/2018,1,9,-0.23588126218062963,114,0.7914589543678543,1,0,3,91,590.0
11/7/2018,5,7,2.0672739831560802,107,0.7035768592029371,5,6,3,89,111.0
11/8/2018,2,9,-0.23588126218062963,122,0.891895634556331,1,0,10,80,608.0
10/20/2018,3,20,20.49251594584976,441,4.896808257071842,37,44,3,87,67.5945945945946
11/18/2018,5,5,1.4914851718219027,209,1.984144531606016,4,6,3,92,266.75
10/16/2018,5,6,0.9156963604877254,128,0.9672231446976886,3,2,10,84,240.66666666666666
11/21/2018,5,4,4.946218039826968,281,2.888074653302307,10,9,8,84,143.8
