Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
5,4,28.0,4.269109682988802,691,8.527076908512981,6,10,2,93,685.6666666666666
1,1,337.0,-0.1612656625786554,1,-0.5208484105173147,1,0,0,100,7.0
5,1,260.0,2.496959544761819,177,1.7870281925976592,4,6,3,92,246.0
5,917,,-0.1612656625786554,44,0.04300780501645736,1,0,4,91,254.0
5,968,,-0.1612656625786554,50,0.12168541648628602,1,0,4,93,295.0
5,625,,-0.1612656625786554,35,-0.07500861218828563,1,0,4,91,193.0
1,529,,-0.1612656625786554,6,-0.4552837342924575,1,0,3,93,34.0
1,394,,-0.1612656625786554,29,-0.1536862236581143,1,0,3,93,146.0
1,350,,-0.1612656625786554,14,-0.35038025233268594,1,0,3,94,77.0
1,344,,-0.1612656625786554,5,-0.4683966695374289,1,0,5,95,24.0
5,317,,-0.1612656625786554,30,-0.14057328841314284,1,0,4,90,194.0
1,311,,-0.1612656625786554,29,-0.1536862236581143,1,0,2,95,149.0
5,307,,-0.1612656625786554,25,-0.20613796463800005,1,0,3,94,142.0
1,298,,-0.1612656625786554,18,-0.2979285113528002,1,0,1,96,87.0
1,316,,-0.1612656625786554,114,0.9609132721644583,1,0,2,95,573.0
5,250,,-0.1612656625786554,28,-0.16679915890308572,1,0,5,90,153.0
5,236,,-0.1612656625786554,73,0.4232829271206292,1,0,3,92,397.0
1,240,,-0.1612656625786554,1,-0.5208484105173147,1,0,17,67,6.0
5,216,,-0.1612656625786554,7,-0.442170799047486,1,0,5,90,46.0
1,234,,-0.1612656625786554,11,-0.38971905806760027,1,0,2,96,59.0
1,223,,-0.1612656625786554,7,-0.442170799047486,1,0,2,94,58.0
5,203,,-0.1612656625786554,37,-0.04878274169834274,1,0,4,92,205.0
5,226,,-0.1612656625786554,1,-0.5208484105173147,1,0,9,55,11.0
5,203,,-0.1612656625786554,24,-0.2192508998829715,1,0,3,94,125.0
5,193,,-0.1612656625786554,76,0.46262173285554353,1,0,3,94,440.0
1,203,,-0.1612656625786554,1,-0.5208484105173147,1,0,10,70,10.0
1,199,,-0.1612656625786554,6,-0.4552837342924575,1,0,3,95,43.0
1,178,,-0.1612656625786554,5,-0.4683966695374289,1,0,7,86,33.0
1,192,,-0.1612656625786554,3,-0.4946225400273718,1,0,10,80,12.0
5,165,,4.269109682988802,304,3.4523709687090327,6,5,3,93,268.1666666666667
5,170,,-0.1612656625786554,8,-0.4290578638025146,1,0,3,94,41.0
1,156,,-0.1612656625786554,4,-0.48150960478240035,1,0,8,85,16.0
1,174,,-0.1612656625786554,13,-0.36349318757765736,1,0,11,84,67.0
5,174,,-0.1612656625786554,26,-0.19302502939302862,1,0,3,94,144.0
1,167,,-0.1612656625786554,38,-0.0356698064533713,1,0,3,92,224.0
1,156,,-0.1612656625786554,6,-0.4552837342924575,1,0,0,100,30.0
