Words_Title,Chars_Title,Upper_percentage,Lower_percentage
11,61,2,98
4,37,6,91
8,53,2,98
4,35,12,88
3,19,6,88
7,37,3,97
1,13,8,92
6,29,21,79
4,32,3,97
9,50,5,93
5,33,3,97
6,36,10,87
9,43,9,91
11,51,24,73
2,14,8,92
9,57,2,96
10,57,2,90
9,60,8,87
5,26,5,91
1,4,25,75
12,57,4,91
21,98,4,87
4,19,12,88
5,33,17,79
3,10,12,88
10,50,20,68
1,10,10,90
4,28,4,92
3,22,5,90
5,32,14,86
1,13,8,92
6,37,3,97
5,30,4,96
6,35,13,87
6,32,19,67
4,24,19,81
8,34,4,81
9,49,2,95
3,17,20,80
10,39,20,73
8,36,24,72
6,41,11,83
11,63,2,94
3,20,17,83
1,12,8,92
13,65,4,89
2,18,12,71
3,13,27,73
7,36,3,97
4,31,11,89
3,14,8,58
2,20,5,89
6,29,4,92
2,17,6,94
4,27,12,88
8,44,19,78
4,18,13,87
12,65,22,70
4,21,17,50
5,26,23,77
2,13,17,83
3,22,15,85
5,28,4,96
12,59,4,91
3,18,0,94
10,51,7,88
4,27,4,96
3,29,4,96
8,35,11,89
14,71,10,86
8,45,3,97
9,46,5,92
4,16,31,69
6,32,4,96
3,15,23,69
7,46,15,82
3,16,21,79
4,19,6,75
4,18,27,73
4,25,9,91
8,35,4,93
3,15,23,77
3,15,8,92
9,40,9,84
7,50,5,91
3,20,6,78
10,56,2,96
9,50,2,98
5,28,12,75
11,55,4,91
12,62,4,88
10,53,16,77
5,32,0,93
6,39,15,74
5,31,4,89
5,30,4,96
4,34,13,84
5,23,21,79
10,56,6,85
5,31,4,93
1,10,10,90
1,11,9,45
6,31,19,81
3,11,33,67
4,23,5,90
4,33,3,83
12,62,2,98
2,23,5,95
2,10,11,89
3,17,7,87
5,40,3,97
2,15,14,79
2,15,14,79
3,29,4,81
2,15,7,86
3,23,5,95
7,30,25,71
6,40,3,94
4,29,4,92
6,25,5,95
9,63,2,96
3,20,11,72
11,60,2,94
11,63,4,91
6,34,3,86
1,13,8,92
4,24,19,67
5,29,4,96
3,24,14,77
10,47,16,82
6,19,7,93
7,55,2,92
9,56,2,98
6,27,14,82
7,33,11,85
1,13,8,85
8,52,2,96
3,15,8,92
3,20,100,0
2,10,11,89
7,31,4,96
2,7,17,83
2,11,10,80
5,26,5,95
2,7,17,83
9,33,4,84
8,43,25,61
8,33,8,92
2,17,6,94
8,58,8,86
1,6,17,83
5,24,5,95
2,13,8,92
5,21,12,53
6,33,4,86
7,43,6,86
7,40,6,94
3,16,14,79
4,20,53,41
1,7,14,86
1,5,20,60
5,23,5,84
6,31,15,85
2,17,0,100
3,22,10,80
6,28,4,96
