Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
11/10/2015,1,2190,1.6362120324379792,184,2.865553134636545,3,4,4,89,337.3333333333333
09/28/2016,1,179,-0.25165231790006065,74,0.5921542692051553,1,0,1,97,355.0
10/23/2016,2,66,0.6922798572689592,143,2.018195375703027,2,2,2,93,374.0
02/7/2017,4,49,4.468008557945038,154,2.245535262246166,6,10,3,90,136.5
12/3/2014,1,193,-0.25165231790006065,25,-0.4205415890324636,1,0,1,97,140.0
03/16/2015,2,1163,3.524076382776019,127,1.687519177094825,5,8,1,93,146.0
02/29/2016,5,55,2.580144207606999,170,2.5762114608543683,4,5,4,90,236.5
03/7/2015,5,64,-0.25165231790006065,67,0.44748343231406695,1,0,7,83,395.0
12/21/2016,1,21,0.6922798572689592,129,1.7288537019208503,2,2,2,93,322.5
10/3/2017,3,12,7.299805083452098,235,3.919583517700189,9,10,2,90,147.22222222222223
12/22/2017,5,10,0.6922798572689592,238,3.981585304939227,2,1,3,93,641.5
04/20/2017,5,47,4.468008557945038,241,4.043587092178265,6,10,2,91,220.66666666666666
12/22/2018,5,6,2.580144207606999,220,3.6095745815049995,4,5,3,91,322.5
09/22/2018,5,6,12.019465959297197,301,5.283622836959023,14,23,2,90,115.0
12/17/2017,5,8,-0.25165231790006065,152,2.2042007374201407,1,0,6,90,811.0
08/3/2017,1,12,-0.25165231790006065,127,1.687519177094825,1,0,3,95,636.0
03/13/2017,1,13,-0.25165231790006065,55,0.19947628335791534,1,0,1,97,274.0
11/19/2015,1,134,0.6922798572689592,163,2.4315406239632797,2,2,3,92,410.5
12/12/2014,5,14,20.514855535818377,460,8.56971756062803,23,34,5,86,108.47826086956522
01/21/2015,4,15,10.131601608959159,266,4.560268652503581,12,12,7,84,121.0
01/4/2018,5,3,1.6362120324379792,122,1.5841828650297618,3,4,2,92,207.0
05/22/2018,1,2,1.6362120324379792,150,2.1628662125941154,3,4,5,88,253.66666666666666
02/19/2018,5,2,7.299805083452098,163,2.4315406239632797,9,12,4,88,90.66666666666667
03/28/2016,1,10,-0.25165231790006065,114,1.4188447657256609,1,0,5,91,550.0
05/1/2018,5,1,0.6922798572689592,245,4.126256141830315,2,2,3,91,628.5
04/30/2014,5,10,2.580144207606999,337,6.027644283827477,4,6,2,91,476.75
12/29/2017,5,1,2.580144207606999,223,3.6715763687440375,4,6,9,86,312.75
07/25/2016,5,3,-0.25165231790006065,197,3.134227546005709,1,0,5,85,1350.0
02/6/2018,3,1,0.6922798572689592,183,2.844885872223532,2,2,2,95,537.0
06/14/2016,1,13,6.355872908283078,211,3.423569219787886,8,13,5,86,133.875
12/4/2018,4,0,3.524076382776019,234,3.8989162552871766,5,8,3,92,253.6
02/12/2017,3,3,1.6362120324379792,183,2.844885872223532,3,4,2,92,353.6666666666667
06/3/2015,1,135,-0.25165231790006065,39,-0.13119991525028676,1,0,1,99,199.0
05/25/2017,5,2,-0.25165231790006065,182,2.8242186098105195,1,0,2,94,975.0
