Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
02/23/2017,5,1130,1.3004430232165018,132,1.7198041625353273,2,2,3,89,358.0
09/19/2017,1,192,1.3004430232165018,218,3.400580148474542,2,2,3,92,574.5
08/23/2017,5,170,-0.2219944839325951,176,2.5797360623181818,1,0,3,90,931.0
04/25/2018,5,113,-0.2219944839325951,303,5.06181222760051,1,0,3,93,1617.0
11/8/2017,5,127,-0.2219944839325951,58,0.2735550583550731,1,0,3,82,318.0
02/23/2017,5,354,-0.2219944839325951,59,0.2930989651683198,1,0,3,90,305.0
08/7/2016,5,263,-0.2219944839325951,55,0.21492333791533305,1,0,4,91,289.0
01/30/2017,5,401,-0.2219944839325951,36,-0.15641089153635385,1,0,4,89,196.0
03/8/2017,5,152,-0.2219944839325951,30,-0.27367433241583394,1,0,2,95,178.0
06/7/2017,5,82,2.822880530365599,147,2.0129627647340276,3,4,3,88,299.3333333333333
02/1/2018,5,127,-0.2219944839325951,258,4.182336421004409,1,0,3,92,1307.0
02/6/2017,5,73,-0.2219944839325951,34,-0.19549870516284723,1,0,1,95,199.0
05/23/2017,5,72,-0.2219944839325951,181,2.677455596384415,1,0,3,93,949.0
01/4/2019,1,27,-0.2219944839325951,312,5.23770738891973,1,0,2,95,1719.0
04/29/2018,5,43,10.435068066111084,206,3.166053266715582,8,9,3,90,143.25
06/11/2017,5,345,5.867755544663793,243,3.889177818805709,5,8,2,93,266.6
08/17/2017,5,36,2.822880530365599,387,6.7035003999132305,3,2,4,93,711.0
06/6/2018,5,20,1.3004430232165018,137,1.8175236966015609,2,2,3,92,351.5
03/11/2017,5,65,-0.2219944839325951,80,0.7035210082465001,1,0,2,96,461.0
05/2/2017,5,26,-0.2219944839325951,203,3.107421546275842,1,0,2,95,1182.0
02/5/2017,5,242,-0.2219944839325951,72,0.5471697537405266,1,0,4,92,348.0
09/29/2016,5,173,2.822880530365599,57,0.2540111515418264,3,2,3,87,100.66666666666667
04/24/2018,1,17,-0.2219944839325951,87,0.8403283559392268,1,0,4,91,484.0
12/2/2017,1,20,-0.2219944839325951,34,-0.19549870516284723,1,0,3,86,180.0
01/12/2016,5,262,-0.2219944839325951,45,0.019484269782866256,1,0,2,95,232.0
01/24/2018,1,20,-0.2219944839325951,34,-0.19549870516284723,1,0,2,93,202.0
11/25/2017,5,17,-0.2219944839325951,76,0.6253453809935133,1,0,8,88,427.0
08/9/2017,5,16,-0.2219944839325951,186,2.7751751304506485,1,0,2,95,1009.0
07/19/2017,5,16,-0.2219944839325951,150,2.0715944851737675,1,0,3,94,861.0
07/3/2017,4,16,-0.2219944839325951,75,0.6058014741802666,1,0,3,93,419.0
03/14/2018,3,10,1.3004430232165018,172,2.5015604350651945,2,2,2,94,498.5
12/6/2017,5,11,-0.2219944839325951,185,2.7556312236374016,1,0,4,90,987.0
11/7/2017,5,20,10.435068066111084,354,6.058551475076091,8,10,2,92,267.0
05/31/2018,5,10,-0.2219944839325951,108,1.2507503990174071,1,0,4,92,576.0
11/29/2017,1,29,-0.2219944839325951,155,2.169314019240001,1,0,2,95,872.0
12/6/2017,4,11,-0.2219944839325951,87,0.8403283559392268,1,0,3,93,531.0
08/18/2017,5,21,-0.2219944839325951,75,0.6058014741802666,1,0,3,93,454.0
