Words_Title,Chars_Title,Upper_percentage,Lower_percentage
2,17,6,69
10,47,3,84
8,47,8,88
8,38,3,94
6,37,3,97
6,38,3,94
5,38,15,74
10,54,2,96
2,9,0,100
3,28,12,88
8,42,17,83
3,10,100,0
4,27,4,96
2,14,8,92
5,26,5,91
2,18,6,94
4,19,25,69
5,25,5,90
2,17,12,81
6,31,12,88
13,64,2,96
12,56,2,98
3,25,13,83
21,110,3,96
4,26,9,83
2,22,5,90
2,12,18,73
9,45,3,97
1,11,82,0
6,37,3,97
7,30,8,79
7,35,3,93
12,71,5,93
2,13,17,75
4,25,14,86
4,18,27,73
5,24,5,70
8,38,6,81
2,15,7,93
4,20,6,88
9,45,3,95
5,23,16,84
20,95,4,92
3,16,7,93
12,65,4,93
10,62,2,94
6,34,28,69
1,9,11,89
4,22,21,79
6,28,4,91
8,42,6,86
9,59,12,88
4,23,20,80
2,9,12,62
5,29,0,100
7,29,4,91
6,22,6,82
9,44,19,81
3,19,18,82
14,79,2,97
3,30,4,93
5,28,4,96
3,20,17,78
9,62,13,87
5,32,4,96
2,17,12,88
7,39,3,97
15,90,3,93
8,55,2,94
15,87,3,95
6,40,3,94
10,58,2,94
12,75,50,44
2,16,7,93
4,25,18,82
7,36,3,93
1,5,20,40
21,109,4,80
3,20,11,89
1,7,14,86
4,22,5,79
5,27,9,91
1,3,33,67
4,17,7,93
4,19,6,94
6,39,3,94
7,38,0,81
2,9,25,75
2,16,7,73
11,65,11,87
25,128,2,98
12,66,4,93
3,16,14,86
4,29,12,85
8,48,12,88
6,51,4,91
9,42,18,74
18,101,25,69
8,53,4,91
9,58,6,86
11,62,6,88
11,67,5,89
4,20,7,80
6,31,15,77
7,32,4,88
12,80,1,93
10,55,2,96
4,21,6,94
3,18,12,88
4,25,5,95
6,37,6,88
3,23,14,86
4,29,15,81
9,62,2,96
3,16,21,79
6,31,25,62
9,46,3,95
6,35,30,63
3,21,0,89
7,36,20,73
3,16,7,93
5,24,15,85
3,24,9,91
10,59,2,96
2,13,17,83
3,12,10,90
2,22,5,90
5,35,3,94
7,40,3,88
6,38,12,88
9,59,2,96
4,22,5,95
9,43,3,94
6,39,18,65
2,14,15,85
12,50,5,90
8,42,3,94
3,18,6,75
2,10,22,56
2,21,10,85
5,37,3,88
2,10,11,78
8,48,2,98
3,18,6,94
4,23,20,80
1,9,11,89
4,25,18,82
6,33,4,96
5,26,5,91
2,23,9,91
2,13,8,92
2,14,8,92
8,57,16,71
2,16,13,87
7,39,12,88
9,55,2,94
4,25,5,95
1,7,14,86
6,43,5,87
7,40,3,91
19,104,5,91
2,16,7,87
5,26,23,77
6,29,8,88
2,10,11,89
2,10,11,78
10,53,2,91
14,73,20,75
2,12,18,82
5,30,4,92
12,63,4,96
5,20,6,88
3,11,44,56
2,9,12,88
6,36,3,94
3,15,85,0
2,20,5,95
5,20,6,94
6,30,4,96
3,18,12,88
2,20,11,89
3,21,5,79
20,93,16,81
2,10,11,78
3,17,13,87
2,13,8,83
7,32,15,85
2,13,17,83
7,38,19,75
6,37,9,88
9,42,3,97
4,24,19,76
2,10,22,78
2,14,8,85
7,42,8,83
2,24,4,91
2,19,11,78
3,11,33,67
2,16,7,93
4,25,5,91
4,19,6,88
9,43,9,91
4,21,6,94
12,56,2,91
3,19,18,82
2,15,14,86
4,21,100,0
2,9,12,75
9,59,2,98
4,24,38,52
3,20,6,89
2,7,17,83
11,50,2,90
3,22,15,80
12,53,2,98
7,40,3,82
10,53,2,95
8,35,11,89
2,16,7,87
7,42,3,94
12,61,0,88
1,11,9,73
2,14,8,92
10,55,4,96
2,10,11,89
4,21,6,94
7,34,0,96
8,42,3,94
11,59,2,98
6,33,4,86
12,67,2,93
4,35,12,84
20,87,1,88
20,103,1,90
3,17,7,87
2,20,5,84
10,48,5,90
10,65,0,93
2,10,11,89
2,10,22,78
8,55,2,96
4,36,6,88
4,46,2,93
3,25,4,96
3,17,20,80
7,42,14,83
3,19,6,94
6,33,4,96
15,72,2,95
1,10,10,80
5,30,4,96
4,26,13,87
2,12,9,91
6,31,12,88
10,61,6,94
3,17,20,80
5,34,3,90
6,37,9,81
12,59,8,79
5,30,4,96
8,51,9,91
4,27,4,92
3,19,6,94
15,75,3,84
3,15,8,85
4,16,8,92
13,68,2,89
2,16,7,93
8,32,4,96
5,24,5,80
3,14,8,83
9,54,4,87
1,12,8,92
2,14,8,92
3,17,7,87
6,40,14,80
4,17,21,79
8,50,7,86
3,14,8,92
4,25,5,95
6,41,3,94
1,4,25,50
3,13,9,91
3,23,14,86
7,37,3,90
2,10,11,89
5,21,29,71
9,44,8,81
4,18,7,87
3,21,11,84
15,68,4,93
4,18,14,64
7,32,8,88
9,45,8,92
1,2,50,50
3,22,5,95
3,16,21,71
2,16,7,93
3,20,6,94
2,18,12,88
2,14,8,92
13,71,3,90
3,20,6,94
8,50,2,95
10,46,11,84
1,9,11,89
4,32,3,93
3,26,8,92
8,42,0,94
7,39,12,88
5,25,14,76
8,47,2,98
2,13,8,92
3,23,10,67
6,38,3,94
2,14,8,92
1,9,11,89
5,41,0,97
3,24,18,77
2,12,9,82
4,20,6,88
1,8,12,88
11,51,5,88
1,9,11,89
3,19,12,82
1,4,25,50
10,58,2,96
2,17,6,88
2,10,0,100
5,25,5,95
6,41,3,92
10,69,0,97
2,9,12,88
3,21,16,74
2,9,12,88
2,9,12,88
8,49,2,95
3,18,6,94
7,43,11,89
1,14,7,93
3,19,6,94
2,10,11,89
2,10,11,89
5,23,26,74
5,34,10,90
2,11,20,80
3,29,4,93
2,11,10,90
7,32,4,88
11,53,0,88
7,40,3,97
5,35,3,90
7,38,3,91
3,18,12,88
4,24,5,95
3,14,8,92
11,48,3,95
7,44,16,82
3,16,7,93
4,21,11,89
2,10,11,78
2,9,12,88
3,15,8,85
11,49,13,82
3,16,7,93
6,32,96,0
8,34,4,96
1,7,100,0
7,31,4,92
3,19,12,76
6,37,6,91
3,18,19,81
7,40,3,97
3,21,16,79
2,14,100,0
5,25,5,95
3,15,8,85
10,57,2,96
16,71,0,95
7,32,4,92
8,40,3,97
5,33,17,83
6,34,3,93
8,42,6,89
7,40,9,88
6,28,13,74
6,28,9,87
2,14,15,85
8,56,14,82
14,76,2,94
2,11,20,80
6,27,18,82
12,65,6,94
3,15,15,85
4,27,4,96
4,22,0,100
2,10,22,78
1,9,11,89
5,25,5,90
9,52,5,86
1,7,14,86
5,30,4,92
3,13,27,73
5,30,8,92
2,13,17,83
2,14,8,92
2,7,17,83
3,13,9,91
14,63,4,94
11,66,9,88
3,23,14,86
2,8,100,0
2,13,8,92
2,14,0,85
1,8,12,88
7,34,4,96
2,16,7,93
2,13,8,92
5,19,7,93
2,15,7,93
