Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
03/9/2016,5,19,0.7160349675744999,242,0.6795633580812336,4,6,4,91,325.5
10/23/2015,5,13,-0.06167217652727032,340,1.2358269235623873,2,2,3,93,908.0
08/9/2016,5,8,0.32718139552361475,84,-0.217269737286341,3,2,2,94,149.66666666666666
12/15/2018,5,2,-0.4505257485781554,144,0.12329979260007971,1,0,18,77,827.0
02/17/2017,5,3,-0.4505257485781554,118,-0.024280337017369258,1,0,3,93,668.0
06/24/2015,5,5,-0.06167217652727032,137,0.0835666807799973,2,2,5,91,370.0
02/6/2018,5,2,0.7160349675744999,144,0.12329979260007971,4,6,6,87,186.0
07/14/2016,5,4,-0.4505257485781554,72,-0.28538364326362514,1,0,4,94,422.0
07/26/2017,5,1,0.7160349675744999,91,-0.1775366254662586,4,3,3,92,118.25
09/30/2017,5,1,-0.4505257485781554,88,-0.1945651019605796,1,0,2,95,478.0
11/16/2015,5,2,0.32718139552361475,99,-0.1321273548147358,3,4,3,90,187.33333333333334
12/4/2013,5,3,-0.06167217652727032,220,0.5546878637895459,2,2,2,94,605.5
02/3/2018,5,1,-0.4505257485781554,58,-0.36484986690378995,1,0,2,94,325.0
06/9/2017,5,2,-0.4505257485781554,49,-0.4159352963867531,1,0,3,93,258.0
04/10/2009,3,0,0.7160349675744999,455,1.888585189178027,4,6,3,93,620.25
07/1/2006,4,6,0.7160349675744999,548,2.416467960501979,4,6,3,93,788.75
07/20/2005,5,6,1.4937421116762701,404,1.5991010887745694,6,10,2,92,365.3333333333333
08/1/2009,5,1,0.32718139552361475,287,0.9349905054960491,3,3,3,94,499.0
01/22/2011,4,0,0.7160349675744999,251,0.7306487875641966,4,6,3,91,320.75
09/10/2005,5,4,0.7160349675744999,260,0.7817342170471597,4,6,3,90,364.75
11/13/2018,4,0,-0.4505257485781554,64,-0.3307929139151479,1,0,2,95,301.0
10/18/2016,5,5,-0.4505257485781554,5,-0.6656862849701283,1,0,6,88,39.0
07/3/2016,5,2,-0.4505257485781554,66,-0.31944059625226723,1,0,3,94,358.0
08/20/2017,5,1,-0.4505257485781554,60,-0.35349754924090926,1,0,2,94,312.0
08/19/2005,5,0,1.4937421116762701,247,0.7079441522384353,6,10,3,92,210.0
08/15/2005,4,5,0.7160349675744999,206,0.4752216401493811,4,6,3,91,293.75
06/5/2006,5,2,-0.4505257485781554,263,0.7987626935414808,1,0,5,90,1411.0
11/19/2017,5,0,-0.4505257485781554,66,-0.31944059625226723,1,0,3,95,359.0
08/22/2006,5,1,-0.4505257485781554,247,0.7079441522384353,1,0,3,95,1243.0
12/27/2017,5,0,-0.4505257485781554,66,-0.31944059625226723,1,0,4,93,348.0
01/28/2008,5,0,2.27144925577804,166,0.24817528689176732,8,9,6,86,125.0
07/18/2005,5,0,0.32718139552361475,179,0.3219653517004918,3,4,1,93,357.0
08/4/2013,5,0,-0.4505257485781554,143,0.11762363376863937,1,0,4,93,806.0
07/24/2005,4,3,1.4937421116762701,170,0.2708799222175287,6,10,3,90,158.0
01/1/2019,5,0,-0.06167217652727032,92,-0.17186046663481824,2,2,4,88,260.0
03/1/2009,5,0,-0.4505257485781554,227,0.5944209756096284,1,0,3,93,1235.0
07/16/2005,5,2,-0.06167217652727032,169,0.26520376338608836,2,2,3,93,486.0
09/9/2005,5,1,0.7160349675744999,178,0.31628919286905144,4,6,4,90,244.25
10/9/2018,5,0,-0.4505257485781554,47,-0.4272876140496338,1,0,6,90,248.0
06/28/2014,5,0,-0.4505257485781554,124,0.009776615971272813,1,0,98,0,632.0
01/7/2019,5,0,0.32718139552361475,33,-0.5067538376897986,3,2,4,88,63.66666666666667
07/16/2005,5,6,1.104888539625385,409,1.6274818829317712,5,8,3,93,479.0
03/2/2019,5,0,-0.4505257485781554,41,-0.46134456703827587,1,0,3,92,203.0
08/21/2005,5,0,-0.4505257485781554,215,0.5263070696323442,1,0,2,96,1167.0
01/5/2010,5,0,0.7160349675744999,164,0.23682296922888663,4,6,4,90,225.5
07/18/2005,4,6,2.660302827828925,552,2.4391725958277406,9,16,2,93,366.1111111111111
07/18/2005,5,7,1.104888539625385,364,1.3720547355169557,5,8,5,89,409.8
01/27/2006,4,9,2.27144925577804,468,1.9623752539867516,8,14,2,92,324.625
07/16/2005,5,2,1.8825956837271551,672,3.120311655600582,7,12,2,93,561.2857142857143
07/21/2005,5,4,-0.06167217652727032,384,1.4855779121457626,2,2,4,92,1052.0
07/19/2005,5,1,1.4937421116762701,444,1.8261474420321833,6,10,4,91,410.1666666666667
07/21/2005,5,1,4.604570688083351,377,1.44584480032568,14,22,3,87,145.71428571428572
07/18/2005,5,1,1.104888539625385,384,1.4855779121457626,5,8,4,90,411.6
08/25/2005,5,7,-0.4505257485781554,186,0.3616984635205742,1,0,2,95,1008.0
03/28/2016,5,0,1.104888539625385,85,-0.21159357845490065,5,4,5,89,82.4
01/6/2006,4,3,1.8825956837271551,378,1.4515209591571205,7,12,4,91,311.85714285714283
