Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
04/5/2018,1,130,-0.2984488354446349,40,-0.26934367652707303,1,0,2,91,199.0
06/6/2018,3,83,-0.2984488354446349,36,-0.3085155257300301,1,0,1,96,198.0
10/4/2016,5,640,4.452030041509364,318,2.453099843078447,9,11,5,89,206.11111111111111
05/19/2015,5,70,4.452030041509364,330,2.570615390687318,9,16,2,91,197.77777777777777
07/13/2018,5,23,-0.2984488354446349,115,0.46512849602837303,1,0,3,93,613.0
09/25/2018,5,13,-0.2984488354446349,129,0.602229968238723,1,0,1,96,701.0
08/12/2018,5,12,-0.2984488354446349,181,1.1114640078771656,1,0,2,95,995.0
10/19/2017,5,10,0.8891708837938647,223,1.5227684245082151,3,4,5,90,394.6666666666667
09/7/2018,1,11,-0.2984488354446349,27,-0.39665218643668365,1,0,2,94,152.0
10/3/2017,5,17,1.4829807434131144,174,1.0429132717719907,4,6,3,91,234.5
12/13/2018,5,4,1.4829807434131144,224,1.5325613868089545,4,6,3,91,300.25
07/7/2017,1,18,-0.2984488354446349,108,0.39657775992319805,1,0,3,88,587.0
12/5/2018,5,6,-0.2984488354446349,104,0.3574059107202409,1,0,4,91,596.0
07/17/2018,1,10,-0.2984488354446349,18,-0.4847888471433372,1,0,3,93,90.0
08/29/2018,1,10,-0.2984488354446349,13,-0.5337536586470336,1,0,5,77,74.0
07/20/2018,1,10,-0.2984488354446349,7,-0.5925114324514693,1,0,4,78,33.0
11/25/2018,1,5,-0.2984488354446349,61,-0.06369146821154811,1,0,4,93,330.0
01/3/2017,5,14,-0.2984488354446349,142,0.7295384781483336,1,0,3,93,725.0
07/8/2018,3,5,-0.2984488354446349,107,0.38678479762245876,1,0,2,96,636.0
12/11/2016,4,15,1.4829807434131144,108,0.39657775992319805,4,3,3,90,141.5
12/7/2016,5,5,-0.2984488354446349,175,1.0527062340727298,1,0,6,91,888.0
03/17/2017,5,5,-0.2984488354446349,95,0.2692692500135874,1,0,2,94,496.0
12/4/2018,5,3,-0.2984488354446349,84,0.16154666470545534,1,0,3,93,490.0
11/11/2014,5,9,0.2953610241746149,137,0.6805736666446371,2,2,3,93,386.5
10/4/2016,5,48,-0.2984488354446349,50,-0.1714140535196802,1,0,3,94,306.0
08/9/2018,5,1,-0.2984488354446349,148,0.7882962519527693,1,0,1,96,832.0
11/20/2018,4,3,0.8891708837938647,115,0.46512849602837303,3,4,2,92,207.33333333333334
10/27/2018,5,1,-0.2984488354446349,106,0.3769918353217195,1,0,4,91,589.0
06/20/2017,5,2,2.670600462651614,105,0.3671988730209802,6,7,5,85,93.16666666666667
09/14/2018,5,1,1.4829807434131144,302,2.2964124462666184,4,6,3,93,439.5
03/24/2018,2,3,-0.2984488354446349,61,-0.06369146821154811,1,0,2,96,300.0
12/6/2014,5,5,0.8891708837938647,187,1.1702217816816012,3,4,3,91,335.6666666666667
10/7/2016,5,33,3.858220181890114,398,3.236536827137589,8,14,5,90,282.125
03/18/2017,5,4,-0.2984488354446349,53,-0.14203516661746235,1,0,3,93,317.0
11/3/2013,5,5,2.670600462651614,490,4.137489358805603,6,10,2,94,450.0
02/18/2018,5,1,2.0767906030323644,141,0.7197455158475943,5,8,2,90,158.4
03/15/2014,5,3,1.4829807434131144,408,3.334466450144982,4,6,3,92,622.0
11/25/2018,4,1,0.2953610241746149,76,0.08320296629954109,2,2,2,92,203.5
03/23/2018,5,3,-0.2984488354446349,51,-0.16162109121894092,1,0,3,95,241.0
09/30/2018,1,3,-0.2984488354446349,31,-0.3574803372337265,1,0,3,92,178.0
