Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
04/8/2018,1,461,-0.2372698350778781,116,0.8109092556210666,1,0,4,89,625.0
09/7/2016,5,6648,18.476970678106873,1476,18.925416931933547,29,50,4,89,283.2413793103448
07/13/2018,1,105,0.4310958975358631,310,3.394890497683288,2,2,2,93,895.5
11/21/2017,2,1855,-0.2372698350778781,205,1.9963439491444568,1,0,3,95,1044.0
06/27/2018,1,65,-0.2372698350778781,152,1.2904109294058088,1,0,4,92,782.0
04/25/2017,5,93,-0.2372698350778781,75,0.2648101271439992,1,0,4,90,404.0
02/6/2018,1,156,-0.2372698350778781,147,1.2238134747134835,1,0,4,92,788.0
08/25/2018,1,26,1.7678273627633454,160,1.3969668569135294,4,6,3,90,203.5
11/21/2017,1,118,0.4310958975358631,183,1.7033151484982256,2,2,3,93,500.0
03/27/2017,2,34,9.78821615412824,663,8.096670798961455,16,23,3,91,220.0625
06/25/2018,1,22,3.7729245606045687,114,0.7842702737441366,7,8,6,84,114.57142857142857
08/8/2018,1,27,4.44129029321831,501,5.938913266930115,8,14,5,86,349.125
01/25/2018,5,30,2.4361930953770865,364,4.114143008360402,5,8,2,93,372.8
06/21/2017,4,32,2.4361930953770865,583,7.031111523884249,5,8,2,94,671.0
09/21/2017,1,13,-0.2372698350778781,135,1.0639795834519028,1,0,3,95,708.0
02/28/2017,5,16,-0.2372698350778781,114,0.7842702737441366,1,0,4,93,577.0
04/21/2018,1,42,0.4310958975358631,440,5.126424319683746,2,1,3,93,1039.0
06/4/2018,2,11,-0.2372698350778781,120,0.8641872193749269,1,0,3,89,588.0
01/22/2018,5,12,-0.2372698350778781,88,0.437963509344045,1,0,12,80,499.0
06/22/2018,2,17,-0.2372698350778781,222,2.222775295098363,1,0,3,94,1281.0
09/9/2018,1,7,-0.2372698350778781,166,1.4768838025443196,1,0,3,93,903.0
09/25/2017,1,10,-0.2372698350778781,91,0.4779219821594402,1,0,3,93,499.0
06/25/2017,4,8,1.7678273627633454,137,1.090618565328833,4,3,5,91,177.75
01/29/2017,1,482,0.4310958975358631,104,0.651075364359486,2,1,2,92,268.0
11/9/2017,3,5,3.7729245606045687,306,3.341612533929428,7,12,2,91,237.57142857142858
05/5/2017,5,25,-0.2372698350778781,150,1.2637719475288787,1,0,3,92,795.0
12/28/2016,1,6,3.7729245606045687,396,4.540366718391283,7,11,5,87,311.7142857142857
03/26/2018,1,3,8.451484688900758,417,4.82007602809905,14,16,3,90,164.21428571428572
03/12/2018,1,5,-0.2372698350778781,239,2.449206641052269,1,0,4,91,1322.0
05/11/2018,1,3,1.0994616301496043,194,1.8498295488213412,3,4,2,93,363.0
12/26/2016,5,5,4.44129029321831,429,4.97990991936063,8,13,4,89,279.375
07/13/2017,3,6,1.0994616301496043,121,0.877506710313392,3,4,2,91,218.0
01/7/2018,5,4,-0.2372698350778781,152,1.2904109294058088,1,0,3,93,740.0
05/19/2018,1,3,-0.2372698350778781,161,1.4102863478519945,1,0,4,92,880.0
03/27/2019,1,4,-0.2372698350778781,93,0.5045609640363703,1,0,3,91,512.0
11/25/2017,5,3,1.7678273627633454,443,5.1663827924991415,4,6,2,94,614.25
08/2/2017,3,4,0.4310958975358631,186,1.7432736213136206,2,2,3,92,500.5
01/25/2018,1,6,-0.2372698350778781,105,0.6643948552979511,1,0,5,91,524.0
06/23/2018,1,5,-0.2372698350778781,138,1.103938056267298,1,0,0,97,726.0
01/31/2017,2,4,0.4310958975358631,280,2.9953057695293364,2,2,3,91,778.0
06/14/2018,1,4,-0.2372698350778781,92,0.4912414730979052,1,0,4,90,479.0
06/21/2017,5,3,1.7678273627633454,330,3.661280316452589,4,6,3,92,445.0
03/13/2018,1,3,1.0994616301496043,270,2.8621108601446856,3,4,3,92,464.6666666666667
03/24/2019,1,2,-0.2372698350778781,266,2.8088328963908253,1,0,2,94,1398.0
11/1/2018,1,2,1.7678273627633454,397,4.553686209329748,4,6,5,90,531.75
04/25/2018,1,2,0.4310958975358631,206,2.009663440082922,2,2,3,92,505.5
03/19/2017,3,3,-0.2372698350778781,256,2.675637987006175,1,0,3,94,1396.0
03/29/2019,2,3,-0.2372698350778781,160,1.3969668569135294,1,0,3,94,877.0
03/31/2019,5,1,11.124947619355721,603,7.29750134265355,18,26,2,91,183.0
01/10/2018,1,4,1.0994616301496043,94,0.5178804549748354,3,2,2,93,168.33333333333334
08/5/2017,5,2,3.7729245606045687,467,5.486050575022302,7,12,2,93,355.85714285714283
07/9/2017,5,2,3.1045588279908274,631,7.6704470889305725,6,10,3,91,527.6666666666666
02/1/2018,4,2,1.7678273627633454,177,1.6233982028674354,4,3,4,91,237.75
06/12/2017,2,6,1.0994616301496043,72,0.22485165432860404,3,4,3,90,122.66666666666667
09/16/2017,3,2,1.0994616301496043,220,2.196136313221433,3,4,4,91,399.0
12/11/2016,5,5,-0.2372698350778781,117,0.8242287465595317,1,0,2,95,650.0
04/19/2018,3,2,3.1045588279908274,443,5.1663827924991415,6,9,2,92,400.5
11/29/2017,2,2,3.7729245606045687,194,1.8498295488213412,7,10,6,85,143.57142857142858
03/6/2017,3,68,10.456581886741981,465,5.459411593145372,17,24,3,86,145.94117647058823
07/29/2017,2,3,-0.2372698350778781,142,1.1572160200211583,1,0,2,94,793.0
06/1/2017,5,2,1.7678273627633454,242,2.489165113867664,4,6,3,91,316.25
07/11/2018,3,1,3.1045588279908274,343,3.834433698652635,6,6,3,88,298.5
09/25/2017,2,4,1.7678273627633454,230,2.329331222606083,4,6,2,94,305.5
01/31/2017,5,2,10.456581886741981,337,3.7545167530218446,17,26,3,88,112.52941176470588
08/22/2018,2,2,3.1045588279908274,470,5.5260090478376975,6,10,4,89,433.1666666666667
12/31/2018,1,1,-0.2372698350778781,225,2.262733767913758,1,0,2,93,1234.0
10/19/2017,2,2,0.4310958975358631,194,1.8498295488213412,2,2,4,91,510.0
