Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
06/13/2018,1,1528,5.419949823172148,738,6.858488491769988,16,19,4,90,252.3125
11/19/2017,5,2184,3.900841726370952,360,2.9667619671879355,12,13,4,90,178.66666666666666
08/28/2017,5,345,5.419949823172148,270,2.040160413716018,16,24,4,84,95.6875
04/3/2018,2,147,5.419949823172148,470,4.099274976986946,16,20,5,88,157.875
06/3/2017,5,842,4.280618750571251,580,5.231787986785956,13,24,2,92,241.30769230769232
02/9/2018,1,121,0.4828485085682603,176,1.0723765689786826,3,2,2,94,336.0
07/16/2018,5,192,0.10307148436796121,110,0.39286876309927665,2,1,6,88,271.5
11/20/2017,1,264,-0.27670553983233787,249,1.8239533845725708,1,0,4,91,1432.0
06/29/2017,3,497,-0.27670553983233787,144,0.7429182388553343,1,0,3,92,741.0
04/16/2018,1,75,0.4828485085682603,498,4.387551015844876,3,4,3,92,858.0
02/9/2018,5,129,-0.27670553983233787,204,1.3606526078366123,1,0,3,92,1105.0
12/28/2017,1,325,-0.27670553983233787,123,0.5267112097118869,1,0,2,95,694.0
04/8/2018,1,113,-0.27670553983233787,125,0.5473023553445961,1,0,4,93,725.0
01/6/2018,1,83,0.10307148436796121,171,1.0208987048969094,2,1,3,94,462.0
07/23/2017,4,171,-0.27670553983233787,27,-0.46166378065815816,1,0,1,96,128.0
12/19/2017,1,164,-0.27670553983233787,85,0.13547944269041073,1,0,3,95,516.0
09/29/2017,1,359,0.8626255327685594,235,1.679815365143606,4,6,2,93,313.0
06/14/2018,1,44,-0.27670553983233787,110,0.39286876309927665,1,0,2,93,603.0
12/20/2017,1,138,0.10307148436796121,175,1.062080996162328,2,2,4,93,484.5
01/18/2018,1,40,-0.27670553983233787,74,0.02222814171050972,1,0,4,91,421.0
12/19/2017,1,97,0.4828485085682603,67,-0.049840868003972735,3,3,4,89,144.0
07/15/2018,3,210,1.2424025569688584,205,1.3709481806529669,5,7,3,85,287.0
08/10/2018,1,28,0.4828485085682603,276,2.101933850614146,3,3,1,95,488.6666666666667
12/19/2017,1,125,-0.27670553983233787,27,-0.46166378065815816,1,0,3,94,201.0
12/21/2017,1,37,-0.27670553983233787,44,-0.28663904278012936,1,0,6,90,256.0
10/2/2017,1,109,0.8626255327685594,223,1.5562684913473503,4,6,3,91,304.25
07/12/2018,1,33,1.2424025569688584,189,1.2062190155912929,5,8,9,83,202.8
11/21/2018,1,21,-0.27670553983233787,518,4.593462472171968,1,0,3,93,2871.0
07/8/2017,2,31,-0.27670553983233787,150,0.8046916757534621,1,0,6,89,752.0
08/27/2017,5,68,0.8626255327685594,25,-0.48225492629086747,4,3,12,78,36.5
05/21/2018,2,24,0.10307148436796121,135,0.6502580835081425,2,2,2,93,379.5
03/15/2018,1,22,0.4828485085682603,126,0.5575979281609508,3,4,3,92,227.66666666666666
10/20/2017,5,24,0.8626255327685594,162,0.9282385495497177,4,4,2,91,225.75
12/19/2017,2,40,-0.27670553983233787,147,0.7738049573043981,1,0,2,95,842.0
08/6/2018,1,17,0.4828485085682603,138,0.6811448019572065,3,4,4,88,243.66666666666666
10/26/2018,5,14,-0.27670553983233787,213,1.453312763183804,1,0,4,84,1371.0
07/27/2017,3,19,8.83794304097484,943,8.969080919122689,25,29,2,94,205.24
01/25/2018,4,27,-0.27670553983233787,120,0.495824491262823,1,0,4,92,602.0
10/12/2017,4,54,-0.27670553983233787,166,0.9694208408151362,1,0,2,97,859.0
04/2/2018,1,16,-0.27670553983233787,109,0.38257319028292197,1,0,3,94,577.0
01/5/2018,1,27,-0.27670553983233787,29,-0.4410726350254489,1,0,11,86,167.0
09/6/2017,4,70,1.2424025569688584,234,1.6695197923272513,5,8,3,91,253.6
06/20/2017,4,24,-0.27670553983233787,137,0.6708492291408518,1,0,4,88,735.0
