Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
05/24/2018,3,853,8.94928352787539,732,8.414446152845535,17,31,2,89,226.58823529411765
06/30/2018,1,436,-0.24561882921374348,387,4.115695828946736,1,0,2,97,2113.0
04/29/2018,5,1714,1.478425362740469,407,4.364898746274203,4,6,3,93,505.0
04/28/2018,5,509,-0.24561882921374348,362,3.804192182287403,1,0,4,94,1732.0
06/24/2018,1,226,-0.24561882921374348,93,0.45241294423297607,1,0,5,91,486.0
06/8/2018,5,253,3.7771509520127524,219,2.022391323396016,8,9,2,92,141.625
05/1/2018,5,352,-0.24561882921374348,62,0.06614842237540272,1,0,3,94,321.0
04/18/2018,1,865,2.0531067600585398,501,5.536152457713296,5,5,3,88,529.8
04/21/2018,1,118,-0.24561882921374348,123,0.8262173202241759,1,0,4,92,655.0
06/22/2018,5,110,-0.24561882921374348,18,-0.48209799574502393,1,0,6,69,382.0
07/8/2018,5,89,7.225239335921177,643,7.305493170738309,14,25,3,90,251.42857142857142
06/13/2018,1,237,-0.24561882921374348,80,0.2904310479701227,1,0,2,93,471.0
04/23/2018,5,105,-0.24561882921374348,122,0.8137571743578026,1,0,4,92,605.0
05/1/2018,5,193,-0.24561882921374348,169,1.3993840300773492,1,0,4,92,946.0
06/1/2018,2,61,4.926513746648894,437,4.738703122265403,10,18,3,90,249.5
04/17/2018,5,231,-0.24561882921374348,151,1.1751014044826293,1,0,3,94,822.0
09/7/2018,2,51,-0.24561882921374348,128,0.8885180495560426,1,0,3,93,674.0
06/3/2018,1,342,-0.24561882921374348,418,4.50196035080431,1,0,3,94,2033.0
06/5/2018,1,54,-0.24561882921374348,85,0.3527317773019894,1,0,4,92,454.0
05/17/2018,5,44,0.3290625681043274,200,1.7856485519349226,2,1,4,93,509.5
12/8/2018,1,37,-0.24561882921374348,266,2.6080181791155623,1,0,3,93,1484.0
06/19/2018,1,84,0.3290625681043274,217,1.9974710316632693,2,2,3,92,671.0
05/5/2018,1,105,-0.24561882921374348,346,3.6048298484254295,1,0,3,93,1904.0
06/20/2018,1,40,-0.24561882921374348,153,1.200021696215376,1,0,4,93,861.0
07/7/2018,5,26,-0.24561882921374348,221,2.0473116151287627,1,0,3,92,1179.0
06/21/2018,1,68,-0.24561882921374348,88,0.39011221490110937,1,0,8,88,495.0
04/17/2018,5,39,2.6277881573766106,74,0.21567017277188272,6,5,4,88,70.83333333333333
05/30/2018,3,23,0.3290625681043274,171,1.424304321810096,2,2,3,93,446.5
06/14/2018,1,20,6.650557938603106,355,3.7169711612227894,13,16,3,89,143.46153846153845
