Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
11/13/2018,5,4314,691,8.208740304509218,6,0.058403954802259885,10,2,93,685.6666666666666,4.154442110818013,56.147734295470855
11/13/2018,1,1505,1,-0.5340124036785483,1,0.0,0,0,100,7.0,-0.16823873866175254,19.535279658348383
11/13/2018,5,1374,177,1.6960230697142733,4,0.2278645833333333,6,3,92,246.0,2.4253697710261064,17.827828053697957
11/13/2018,5,993,44,0.010825808570834221,1,0.0,0,4,91,254.0,-0.16823873866175254,12.861881020325349
12/13/2018,1,790,6,-0.4706591231844341,1,-0.65,0,3,93,34.0,-0.16823873866175254,10.215982732202935
11/13/2018,5,1043,50,0.08684974516377132,1,0.315,0,4,93,295.0,-0.16823873866175254,13.513580106069785
11/13/2018,5,694,35,-0.10321009631857143,1,-0.1,0,4,91,193.0,-0.16823873866175254,8.964720487573615
12/11/2018,1,668,29,-0.17923403291150852,1,-0.18666666666666668,0,3,93,146.0,-0.16823873866175254,8.625836962986508
12/11/2018,1,522,5,-0.4833297792832569,1,-0.9,0,5,95,24.0,-0.16823873866175254,6.722875632612753
12/11/2018,1,512,14,-0.3692938743938513,1,0.1,0,3,94,77.0,-0.16823873866175254,6.592535815463864
12/11/2018,1,419,18,-0.3186112499985599,1,-0.4874999999999999,0,1,96,87.0,-0.16823873866175254,5.380375515979212
11/17/2018,1,359,29,-0.17923403291150852,1,0.2472727272727273,0,2,95,149.0,-0.16823873866175254,4.598336613085888
12/11/2018,1,370,11,-0.40730584269031983,1,-0.15000000000000002,0,2,96,59.0,-0.16823873866175254,4.741710411949664
11/13/2018,5,346,30,-0.16656337681268568,1,0.24375,0,4,90,194.0,-0.16823873866175254,4.428894850792334
12/10/2018,1,355,1,-0.5340124036785483,1,-1.0,0,17,67,6.0,-0.16823873866175254,4.546200686226332
12/4/2018,1,372,114,0.8977717354884337,1,0.04404761904761905,0,2,95,573.0,-0.16823873866175254,4.767778375379441
11/13/2018,5,338,25,-0.2299166573067999,1,0.25,0,3,94,142.0,-0.16823873866175254,4.324622997073224
12/12/2018,1,308,7,-0.4579884670856113,1,-0.2,0,2,94,58.0,-0.16823873866175254,3.933603545626562
11/14/2018,5,278,28,-0.19190468901033134,1,0.4716666666666667,0,5,90,153.0,-0.16823873866175254,3.5425840941798996
11/14/2018,5,265,73,0.3782748354366969,1,0.08356481481481481,0,3,92,397.0,-0.16823873866175254,3.373142331886346
12/12/2018,1,264,6,-0.4706591231844341,1,0.35,0,3,95,43.0,-0.16823873866175254,3.3601083501714575
12/10/2018,1,264,1,-0.5340124036785483,1,-1.0,0,10,70,10.0,-0.16823873866175254,3.3601083501714575
12/11/2018,1,252,3,-0.5086710914809026,1,0.0,0,10,80,12.0,-0.16823873866175254,3.2037005695927925
11/13/2018,5,227,7,-0.4579884670856113,1,0.5,0,5,90,46.0,-0.16823873866175254,2.877851026720574
12/12/2018,1,234,13,-0.38196453049267415,1,0.4,0,11,84,67.0,-0.16823873866175254,2.969088898724795
12/14/2018,1,231,38,-0.06519812802210287,1,0.08000000000000003,0,3,92,224.0,-0.16823873866175254,2.929986953580129
11/18/2018,5,212,37,-0.07786878412092572,1,0.3333333333333333,0,4,92,205.0,-0.16823873866175254,2.6823413009972428
11/13/2018,5,232,1,-0.5340124036785483,1,1.0,0,9,55,11.0,-0.16823873866175254,2.9430209352950176
11/13/2018,5,210,24,-0.2425873134056228,1,0.5,0,3,94,125.0,-0.16823873866175254,2.656273337567465
11/24/2018,1,204,5,-0.4833297792832569,1,0.5,0,7,86,33.0,-0.16823873866175254,2.578069447278133
11/13/2018,5,202,76,0.4162868037331654,1,0.4375,0,3,94,440.0,-0.16823873866175254,2.5520014838483553
12/19/2018,1,201,4,-0.4960004353820798,1,-0.4375,0,8,85,16.0,-0.16823873866175254,2.538967502133467
12/10/2018,1,212,42,-0.014515503626811482,3,-0.2819444444444444,2,2,93,78.0,1.5608336011301536,2.6823413009972428
12/10/2018,1,202,6,-0.4706591231844341,1,-0.15,0,0,100,30.0,-0.16823873866175254,2.5520014838483553
11/15/2018,5,176,304,3.305196394264775,6,0.19306397306397308,5,3,93,268.1666666666667,4.154442110818013,2.213117959261248
12/13/2018,1,191,32,-0.14122206461503994,1,-0.08472222222222221,0,1,96,168.0,-0.16823873866175254,2.4086276849845794
11/13/2018,5,175,8,-0.4453178109867884,1,0.8125,0,3,94,41.0,-0.16823873866175254,2.2000839775463596
12/12/2018,1,183,3,-0.5086710914809026,1,-0.15,0,0,100,17.0,-0.16823873866175254,2.3043558312654695
11/13/2018,5,178,26,-0.21724600120797707,1,0.4892857142857143,0,3,94,144.0,-0.16823873866175254,2.239185922691026
11/16/2018,5,143,67,0.3022508988437598,1,0.1357142857142857,0,3,95,370.0,-0.16823873866175254,1.7829965626699198
11/15/2018,5,140,31,-0.15389272071386284,1,0.3208333333333333,0,5,91,150.0,-0.16823873866175254,1.7438946175252537
12/11/2018,1,159,4,-0.4960004353820798,1,-0.2,0,5,85,23.0,-0.16823873866175254,1.9915402701081397
11/16/2018,5,132,478,5.509890555459951,5,0.18429612282071287,8,2,92,525.0,3.2899059409220595,1.6396227638061438
12/14/2018,1,148,13,-0.38196453049267415,1,0.8,0,2,96,64.0,-0.16823873866175254,1.8481664712443635
12/13/2018,1,148,8,-0.4453178109867884,1,-0.2,0,5,91,50.0,-0.16823873866175254,1.8481664712443635
12/11/2018,1,145,3,-0.5086710914809026,1,-1.0,0,7,93,16.0,-0.16823873866175254,1.8090645260996974
11/18/2018,5,123,14,-0.3692938743938513,1,0.3125,0,3,93,74.0,-0.16823873866175254,1.5223169283721452
12/10/2018,1,143,1,-0.5340124036785483,1,-0.2,0,0,100,5.0,-0.16823873866175254,1.7829965626699198
12/6/2018,1,118,12,-0.394635186591497,1,0.8,0,2,94,62.0,-0.16823873866175254,1.4571470197977014
11/14/2018,5,115,62,0.2388976183496455,1,0.13854166666666667,0,3,94,383.0,-0.16823873866175254,1.4180450746530353
11/13/2018,5,116,3,-0.5086710914809026,1,0.0,0,11,78,20.0,-0.16823873866175254,1.431079056367924
12/12/2018,1,134,10,-0.41997649878914267,1,0.06904761904761905,0,2,94,63.0,-0.16823873866175254,1.6656907272359214
12/11/2018,1,134,4,-0.4960004353820798,1,-0.2916666666666667,0,3,90,34.0,-0.16823873866175254,1.6656907272359214
12/10/2018,1,104,41,-0.027186159725634332,1,-0.2704761904761905,0,2,95,214.0,-0.16823873866175254,1.274671275789259
12/31/2018,1,101,8,-0.4453178109867884,1,-0.30000000000000004,0,6,88,58.0,-0.16823873866175254,1.235569330644593
11/14/2018,5,101,26,-0.21724600120797707,1,0.13333333333333333,0,4,94,133.0,-0.16823873866175254,1.235569330644593
11/13/2018,5,121,11,-0.40730584269031983,1,0.25,0,2,96,61.0,-0.16823873866175254,1.4962489649423678
12/12/2018,1,97,33,-0.12855140851621713,1,0.04642857142857143,0,1,93,167.0,-0.16823873866175254,1.183433403785038
11/13/2018,5,94,35,-0.10321009631857143,1,0.2416666666666667,0,3,94,176.0,-0.16823873866175254,1.144331458640372
02/19/2019,1,89,24,-0.2425873134056228,1,0.31666666666666665,0,4,88,124.0,-0.16823873866175254,1.0791615500659282
11/18/2018,5,114,65,0.2769095866461141,1,0.5,0,1,97,346.0,-0.16823873866175254,1.4050110929381465
11/21/2018,5,89,90,0.5936759891166853,1,0.19375,0,3,93,449.0,-0.16823873866175254,1.0791615500659282
