Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
01/4/2018,4,146,268,6.431560564372572,8,0.1323529411764706,14,3,90,166.125,11.644499073104862,6.515420895974392
04/11/2018,1,80,130,2.6951052315586685,2,0.11023809523809523,2,2,94,352.5,1.4840961822565737,3.557805356793728
11/4/2017,1,80,110,2.153589965933465,1,0.07723214285714286,0,3,90,556.0,-0.20930429955147464,3.557805356793728
07/5/2015,5,1563,110,2.153589965933465,3,0.12593795093795093,4,3,92,188.66666666666663,3.1774966640646216,70.01453027505013
07/14/2017,1,53,39,0.2312107729639931,1,-0.1805555555555555,0,3,96,216.0,-0.20930429955147464,2.3478717271289113
09/11/2017,1,36,82,1.3954685940581804,2,0.2481481481481481,1,3,89,201.5,1.4840961822565737,1.5860616640066194
02/26/2018,1,22,128,2.640953704996148,1,-0.08982683982683982,0,3,92,663.0,-0.20930429955147464,0.9586886708470848
08/12/2017,5,20,236,5.565136139372246,1,0.003703703703703707,0,3,94,1147.0,-0.20930429955147464,0.8690639575385799
07/24/2018,1,14,228,5.348530033122165,4,0.06921966921966921,6,3,92,330.25,4.87089714587267,0.600189817613065
11/27/2018,1,9,108,2.0994384393709447,1,-0.10386363636363637,0,4,90,615.0,-0.20930429955147464,0.3761280343418027
12/6/2018,2,5,342,8.435167047185825,2,-0.006216203387256019,2,1,93,902.0,1.4840961822565737,0.1968786077247928
01/24/2019,1,8,70,1.0705594346830585,1,0.1218356643356643,0,2,92,361.0,-0.20930429955147464,0.3313156776875502
08/6/2017,3,8,74,1.178862487808099,1,-0.01060606060606061,0,2,93,395.0,-0.20930429955147464,0.3313156776875502
04/26/2018,3,4,132,2.749256758121189,1,0.16183830971659918,0,3,90,725.0,-0.20930429955147464,0.15206625107054034
04/14/2018,5,3,156,3.3990750768714326,2,0.05833333333333333,2,2,95,425.5,1.4840961822565737,0.10725389441628785
09/29/2016,5,28,44,0.366589589370294,2,0.14610389610389607,1,3,91,116.0,1.4840961822565737,1.2275628107725995
01/31/2019,5,1,224,5.240226979997124,5,0.004177777777777772,8,2,93,234.4,6.564297627680718,0.017629181107782922
03/19/2019,1,1,176,3.9405903424966366,1,0.1144230769230769,0,2,94,952.0,-0.20930429955147464,0.017629181107782922
10/1/2017,4,3,125,2.5597264151523675,1,0.018444444444444444,0,3,93,674.0,-0.20930429955147464,0.10725389441628785
01/20/2019,2,2,100,1.882832333120864,1,0.04375000000000001,0,2,92,559.0,-0.20930429955147464,0.06244153776203539
04/4/2018,3,1,175,3.9135145792153763,1,0.171780303030303,0,2,94,868.0,-0.20930429955147464,0.017629181107782922
05/16/2015,4,15,246,5.835893772184847,1,0.282,0,2,93,1220.0,-0.20930429955147464,0.6450021742673175
09/1/2016,1,10,246,5.835893772184847,3,0.15885416666666666,3,7,89,417.33333333333326,3.1774966640646216,0.4209403909960551
08/14/2016,4,1,295,7.162606172966597,1,0.0945319044099532,0,2,93,1528.0,-0.20930429955147464,0.017629181107782922
05/7/2018,5,1,147,3.1553932073400914,2,-0.00703703703703704,2,3,92,332.0,1.4840961822565737,0.017629181107782922
03/5/2016,1,7,65,0.9351806182767576,2,0.125,2,3,90,174.0,1.4840961822565737,0.28650332103329773
06/7/2017,5,8,218,5.077772400309564,6,0.12466666666666665,8,4,87,196.83333333333331,8.257698109488766,0.3313156776875502
07/15/2017,2,1,159,3.4803023667152133,3,0.027734848484848484,4,2,93,276.0,3.1774966640646216,0.017629181107782922
08/8/2016,5,4,84,1.4496201206207011,2,0.13532467532467532,1,2,93,219.0,1.4840961822565737,0.15206625107054034
06/10/2017,5,2,121,2.4514233620273265,1,0.4272727272727272,0,6,92,581.0,-0.20930429955147464,0.06244153776203539
