Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
11/10/2016,5,301,181,3.679211885451695,3,0.10452797202797202,4,3,90,329.3333333333333,1.9928626632784008,19.395332854210743
09/25/2015,5,953,295,6.463477698941157,10,0.1530990783410138,10,5,88,171.3,9.653509913662148,61.51379645979305
06/25/2017,2,51,38,0.1866679264254384,1,0.09633699633699633,0,1,95,193.0,-0.19589369397409875,3.2456152140334806
06/12/2016,5,54,251,5.388848788471542,2,0.21990147783251232,2,1,94,742.5,0.8984844846521509,3.439411825715608
09/9/2017,5,22,229,4.851534333236732,3,0.13704146730462524,3,2,95,470.66666666666674,1.9928626632784008,1.372247967772918
04/4/2018,4,17,71,0.9926396092776514,2,0.2083333333333333,2,2,92,200.5,0.8984844846521509,1.0492536149693727
12/2/2018,5,10,187,3.825752191424826,4,0.2731944444444445,6,2,91,260.0,3.0872408419046504,0.5970615210444095
08/4/2017,5,14,188,3.85017557575368,2,0.13083333333333336,2,3,95,507.5,0.8984844846521509,0.8554570032872456
02/11/2018,4,13,102,1.7497645234721546,3,0.16171236171236172,3,4,88,192.0,1.9928626632784008,0.7908581327265366
06/16/2016,1,27,78,1.163603299579636,1,-0.06272727272727273,0,3,88,412.0,-0.19589369397409875,1.6952423205764633
01/24/2018,1,19,111,1.9695749824318487,1,-0.0050000000000000044,0,4,87,548.0,-0.19589369397409875,1.178451356090791
11/25/2018,1,8,54,0.5774420756871174,2,-0.0033333333333333435,2,3,90,150.5,0.8984844846521509,0.4678637799229914
01/17/2017,1,18,37,0.16224454209658334,1,0.06187500000000001,0,5,92,195.0,-0.19589369397409875,1.1138524855300818
05/29/2017,1,13,8,-0.5460336034402099,1,-0.20000000000000004,0,0,90,38.0,-0.19589369397409875,0.7908581327265366
03/23/2019,5,2,158,3.1174740458880312,1,0.1036706349206349,0,2,93,818.0,-0.19589369397409875,0.08027055655873706
02/21/2017,5,5,174,3.50824819514971,1,0.16488839285714285,0,3,93,956.0,-0.19589369397409875,0.27406716824086425
11/11/2017,1,7,75,1.090333146593071,1,0.03416666666666667,0,1,96,517.0,-0.19589369397409875,0.4032649093622823
07/18/2018,5,2,115,2.0672685197472687,2,0.20343137254901966,2,2,95,337.0,0.8984844846521509,0.08027055655873706
01/6/2017,5,4,152,2.9709337399149014,2,0.08560606060606063,2,2,94,412.5,0.8984844846521509,0.20946829768015515
04/9/2018,1,5,53,0.5530186913582624,1,-0.175,0,3,92,253.0,-0.19589369397409875,0.27406716824086425
07/28/2016,3,6,114,2.0428451354184136,1,0.1322916666666667,0,3,91,584.0,-0.19589369397409875,0.3386660388015733
01/3/2017,5,6,75,1.090333146593071,1,0.0,0,1,93,403.0,-0.19589369397409875,0.3386660388015733
03/15/2019,5,1,281,6.121550318337189,4,0.12655454545454548,6,2,93,397.0,3.0872408419046504,0.01567168599802802
08/19/2017,5,3,92,1.505530680183605,1,0.3267234848484849,0,1,96,501.0,-0.19589369397409875,0.14486942711944611
10/19/2018,5,1,113,2.018421751089559,1,0.24772727272727274,0,2,95,609.0,-0.19589369397409875,0.01567168599802802
01/16/2017,5,2,160,3.166320814545741,6,0.2826666666666667,10,3,90,141.5,5.275997199157151,0.08027055655873706
05/24/2017,5,3,104,1.7986112921298645,1,0.17467592592592596,0,2,92,560.0,-0.19589369397409875,0.14486942711944611
03/31/2018,5,0,195,4.021139266055664,2,0.14207251082251082,2,3,93,544.5,0.8984844846521509,-0.04892718456268103
08/31/2017,2,5,40,0.2355146950831482,1,-0.15397727272727274,0,3,89,241.0,-0.19589369397409875,0.27406716824086425
04/25/2016,4,4,182,3.7036352697805497,1,0.1631578947368421,0,2,94,954.0,-0.19589369397409875,0.20946829768015515
01/12/2019,5,1,89,1.4322605271970403,1,0.3215277777777778,0,2,94,467.0,-0.19589369397409875,0.01567168599802802
02/27/2019,5,1,157,3.0930506615591766,1,0.3616666666666665,0,2,96,823.0,-0.19589369397409875,0.01567168599802802
02/28/2015,1,4,181,3.679211885451695,2,-0.1110930735930736,1,3,92,497.5,0.8984844846521509,0.20946829768015515
09/12/2016,4,1,181,3.679211885451695,5,0.1255555555555556,6,2,93,190.4,4.1816190205309,0.01567168599802802
02/26/2019,5,0,137,2.6045829749820766,2,0.2660189075630252,1,4,92,359.5,0.8984844846521509,-0.04892718456268103
10/6/2018,5,1,80,1.2124500682373458,1,0.35651041666666666,0,3,94,445.0,-0.19589369397409875,0.01567168599802802
01/19/2019,5,1,63,0.7972525346468118,1,0.2816666666666667,0,2,96,368.0,-0.19589369397409875,0.01567168599802802
09/21/2018,4,1,74,1.0659097622642162,1,0.016258741258741258,0,3,94,380.0,-0.19589369397409875,0.01567168599802802
03/4/2016,5,2,131,2.458042669008948,11,0.2946969696969697,10,2,88,65.27272727272727,10.7478880922884,0.08027055655873706
07/22/2017,5,3,54,0.5774420756871174,1,0.3642857142857143,0,2,95,290.0,-0.19589369397409875,0.14486942711944611
03/2/2016,5,3,103,1.7741879078010094,1,0.20486111111111108,0,2,95,552.0,-0.19589369397409875,0.14486942711944611
07/30/2016,5,2,105,1.8230346764587195,4,0.3888888888888889,3,3,90,144.25,3.0872408419046504,0.08027055655873706
05/9/2017,5,0,168,3.3617078891765804,2,0.0437037037037037,2,9,86,420.0,0.8984844846521509,-0.04892718456268103
10/10/2017,1,4,54,0.5774420756871174,1,0.057272727272727274,0,2,92,315.0,-0.19589369397409875,0.20946829768015515
09/4/2018,5,1,57,0.6507122286736822,1,0.05833333333333333,0,2,94,349.0,-0.19589369397409875,0.01567168599802802
08/13/2016,5,1,136,2.5801595906532224,3,0.20486452762923352,4,2,92,245.0,1.9928626632784008,0.01567168599802802
10/27/2018,5,0,83,1.2857202212239107,2,0.5339814814814816,2,2,94,244.5,0.8984844846521509,-0.04892718456268103
11/17/2016,3,1,192,3.9478691130690993,3,0.15401022450560806,4,3,85,350.0,1.9928626632784008,0.01567168599802802
11/9/2017,5,1,91,1.4811072958547502,1,-0.01875000000000001,0,3,92,484.0,-0.19589369397409875,0.01567168599802802
08/12/2018,1,2,40,0.2355146950831482,1,0.25,0,4,89,186.0,-0.19589369397409875,0.08027055655873706
05/21/2018,5,0,88,1.4078371428681853,10,0.03730158730158732,9,3,85,48.5,9.653509913662148,-0.04892718456268103
02/23/2018,5,0,114,2.0428451354184136,1,0.05416666666666667,0,3,92,547.0,-0.19589369397409875,-0.04892718456268103
01/1/2019,1,4,33,0.06455100478116363,1,-0.125,0,4,86,205.0,-0.19589369397409875,0.20946829768015515
07/25/2017,4,1,86,1.3589903742104754,1,0.2833333333333333,0,2,95,449.0,-0.19589369397409875,0.01567168599802802
03/9/2019,5,0,85,1.3345669898816206,1,0.2171604938271605,0,2,96,458.0,-0.19589369397409875,-0.04892718456268103
02/10/2015,5,1,169,3.3861312735054354,5,0.15833333333333333,6,1,93,186.6,4.1816190205309,0.01567168599802802
01/18/2017,5,2,143,2.751123280955207,1,0.2978888888888889,0,2,95,792.0,-0.19589369397409875,0.08027055655873706
07/12/2018,5,1,57,0.6507122286736822,1,0.3819444444444445,0,3,95,330.0,-0.19589369397409875,0.01567168599802802
11/13/2018,5,0,119,2.1649620570626884,1,0.22032967032967032,0,1,94,658.0,-0.19589369397409875,-0.04892718456268103
01/2/2016,5,1,132,2.4824660533378027,1,0.27930555555555553,0,5,91,684.0,-0.19589369397409875,0.01567168599802802
11/21/2018,5,0,97,1.6276476018278798,1,0.17272727272727273,0,3,95,516.0,-0.19589369397409875,-0.04892718456268103
11/11/2016,5,1,109,1.9207282137741395,1,0.1918650793650794,0,4,93,573.0,-0.19589369397409875,0.01567168599802802
12/2/2018,1,2,25,-0.13083606984967588,1,-0.55,0,3,85,115.0,-0.19589369397409875,0.08027055655873706
01/30/2019,3,1,64,0.8216759189756667,1,0.4666666666666667,0,3,93,336.0,-0.19589369397409875,0.01567168599802802
10/17/2018,5,0,73,1.0414863779353611,1,0.13333333333333333,0,6,87,435.0,-0.19589369397409875,-0.04892718456268103
09/12/2017,5,0,100,1.7009177548144443,1,0.1537698412698413,0,2,96,562.0,-0.19589369397409875,-0.04892718456268103
11/5/2015,4,1,126,2.3359257473646733,3,0.18333333333333326,3,1,95,236.66666666666663,1.9928626632784008,0.01567168599802802
12/7/2018,5,0,80,1.2124500682373458,1,0.3629629629629629,0,2,96,419.0,-0.19589369397409875,-0.04892718456268103
07/2/2018,5,0,60,0.723982381660247,10,-0.05505952380952382,9,3,88,37.3,9.653509913662148,-0.04892718456268103
07/16/2016,5,1,89,1.4322605271970403,1,0.2,0,1,98,540.0,-0.19589369397409875,0.01567168599802802
03/1/2019,2,0,73,1.0414863779353611,1,0.04684343434343433,0,5,93,372.0,-0.19589369397409875,-0.04892718456268103
08/13/2018,4,0,78,1.163603299579636,1,0.21685185185185185,0,2,96,441.0,-0.19589369397409875,-0.04892718456268103
12/28/2017,5,1,67,0.8949460719622316,1,0.45625,0,6,89,349.0,-0.19589369397409875,0.01567168599802802
02/2/2017,5,0,118,2.1405386727338334,1,0.33205128205128204,0,3,92,588.0,-0.19589369397409875,-0.04892718456268103
02/17/2016,5,1,122,2.2382322100492527,2,0.22095238095238096,2,3,87,305.0,0.8984844846521509,0.01567168599802802
12/9/2018,1,1,45,0.3576316167274229,1,-0.13055555555555556,0,4,89,240.0,-0.19589369397409875,0.01567168599802802
09/13/2015,5,1,123,2.2626555943781077,1,0.2948717948717949,0,3,94,680.0,-0.19589369397409875,0.01567168599802802
04/8/2019,3,0,62,0.7728291503179568,1,0.1625,0,1,95,346.0,-0.19589369397409875,-0.04892718456268103
11/7/2016,5,1,108,1.896304829445284,1,0.25,0,3,95,506.0,-0.19589369397409875,0.01567168599802802
03/29/2019,5,0,62,0.7728291503179568,1,0.2791666666666667,0,2,95,342.0,-0.19589369397409875,-0.04892718456268103
01/4/2018,1,4,43,0.308784848069713,1,0.2454545454545455,0,4,90,219.0,-0.19589369397409875,0.20946829768015515
03/21/2019,4,1,33,0.06455100478116363,1,0.6600000000000001,0,1,95,184.0,-0.19589369397409875,0.01567168599802802
12/13/2016,5,0,111,1.9695749824318487,1,0.28518518518518515,0,2,92,577.0,-0.19589369397409875,-0.04892718456268103
11/14/2015,5,1,116,2.091691904076124,1,0.07857142857142857,0,3,92,625.0,-0.19589369397409875,0.01567168599802802
12/24/2018,1,1,61,0.7484057659891019,1,-0.026969696969696973,0,2,95,338.0,-0.19589369397409875,0.01567168599802802
05/17/2018,5,2,26,-0.10641268552082096,1,0.6885714285714286,0,2,90,148.0,-0.19589369397409875,0.08027055655873706
01/7/2016,5,0,136,2.5801595906532224,5,0.3083333333333333,7,3,91,151.0,4.1816190205309,-0.04892718456268103
05/16/2015,5,1,128,2.3847725160223834,1,0.1746031746031746,0,3,95,679.0,-0.19589369397409875,0.01567168599802802
08/21/2016,2,3,51,0.5041719227005526,1,0.10075757575757574,0,5,83,284.0,-0.19589369397409875,0.14486942711944611
04/13/2016,2,2,86,1.3589903742104754,3,0.04583333333333333,2,2,90,171.66666666666666,1.9928626632784008,0.08027055655873706
01/26/2019,5,0,66,0.8705226876333767,1,0.5259259259259259,0,3,94,338.0,-0.19589369397409875,-0.04892718456268103
09/26/2018,5,0,61,0.7484057659891019,1,0.15156250000000002,0,2,96,370.0,-0.19589369397409875,-0.04892718456268103
05/26/2017,4,1,68,0.9193694562910866,1,0.31666666666666665,0,3,95,364.0,-0.19589369397409875,0.01567168599802802
04/1/2019,5,0,89,1.4322605271970403,3,0.3611111111111111,2,3,91,144.66666666666666,1.9928626632784008,-0.04892718456268103
07/4/2015,2,4,51,0.5041719227005526,4,-0.018749999999999958,6,5,83,78.25,3.0872408419046504,0.20946829768015515
10/2/2017,1,3,16,-0.3506465288093704,2,0.13333333333333336,2,2,88,47.5,0.8984844846521509,0.14486942711944611
12/1/2016,5,1,78,1.163603299579636,1,0.31912202380952376,0,2,96,400.0,-0.19589369397409875,0.01567168599802802
11/5/2018,5,0,98,1.6520709861567346,1,0.1405,0,2,96,548.0,-0.19589369397409875,-0.04892718456268103
08/20/2017,5,0,130,2.433619284680093,2,-0.04675324675324675,2,4,89,369.5,0.8984844846521509,-0.04892718456268103
12/17/2018,5,0,55,0.6018654600159723,1,0.5095238095238095,0,6,90,312.0,-0.19589369397409875,-0.04892718456268103
11/6/2018,5,0,108,1.896304829445284,1,0.13787878787878788,0,2,94,666.0,-0.19589369397409875,-0.04892718456268103
04/10/2019,5,0,82,1.2612968368950557,1,0.2763888888888889,0,2,93,427.0,-0.19589369397409875,-0.04892718456268103
12/30/2015,5,0,124,2.2870789787069628,4,0.3525,6,2,92,189.5,3.0872408419046504,-0.04892718456268103
01/9/2019,5,0,52,0.5285953070294075,1,-0.016666666666666666,0,3,94,273.0,-0.19589369397409875,-0.04892718456268103
09/14/2016,3,1,157,3.0930506615591766,1,-0.06435185185185184,0,5,87,1029.0,-0.19589369397409875,0.01567168599802802
04/2/2018,5,0,67,0.8949460719622316,1,0.2750925925925926,0,2,95,372.0,-0.19589369397409875,-0.04892718456268103
01/30/2013,4,3,144,2.775546665284062,2,0.17653061224489794,1,2,93,366.0,0.8984844846521509,0.14486942711944611
12/8/2018,1,1,27,-0.08198930119196601,1,-0.08124999999999998,0,2,95,171.0,-0.19589369397409875,0.01567168599802802
07/12/2016,5,0,98,1.6520709861567346,1,0.17913165266106446,0,2,95,557.0,-0.19589369397409875,-0.04892718456268103
10/28/2018,5,0,57,0.6507122286736822,2,0.30092592592592593,2,4,90,141.5,0.8984844846521509,-0.04892718456268103
05/25/2014,5,0,148,2.8732402025994817,1,0.21331168831168834,0,2,96,770.0,-0.19589369397409875,-0.04892718456268103
11/18/2013,5,2,142,2.7266998966263523,2,0.2074074074074074,2,3,89,387.0,0.8984844846521509,0.08027055655873706
08/12/2015,5,0,275,5.9750100123640575,1,0.13946759259259262,0,2,94,1579.0,-0.19589369397409875,-0.04892718456268103
08/17/2018,4,1,30,-0.008719148205401197,1,0.25,0,3,92,183.0,-0.19589369397409875,0.01567168599802802
01/22/2017,4,0,96,1.6032242174990248,1,0.019444444444444448,0,1,97,489.0,-0.19589369397409875,-0.04892718456268103
02/17/2019,5,0,49,0.4553251540428427,1,0.6347222222222223,0,2,96,269.0,-0.19589369397409875,-0.04892718456268103
12/26/2017,1,2,31,0.015704236123453744,1,0.125,0,1,96,166.0,-0.19589369397409875,0.08027055655873706
12/29/2015,5,0,107,1.8718814451164287,1,0.05555555555555555,0,2,95,570.0,-0.19589369397409875,-0.04892718456268103
12/17/2014,5,0,124,2.2870789787069628,3,0.012500000000000023,4,3,92,217.33333333333331,1.9928626632784008,-0.04892718456268103
01/1/2019,5,0,49,0.4553251540428427,1,0.5349393939393939,0,2,94,263.0,-0.19589369397409875,-0.04892718456268103
01/1/2019,5,1,50,0.4797485383716976,1,0.42,0,2,96,277.0,-0.19589369397409875,0.01567168599802802
07/29/2018,5,0,59,0.699558997331392,1,0.01979166666666668,0,2,93,310.0,-0.19589369397409875,-0.04892718456268103
09/3/2014,5,0,127,2.3603491316935283,3,0.20936639118457293,4,2,93,235.33333333333331,1.9928626632784008,-0.04892718456268103
