Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
09/8/2018,1,188,121,2.277756385776048,1,-0.0599652777777778,0,2,94,662.0,-0.2371597417707157,28.760924637826786
03/25/2017,5,249,309,7.219720213868303,1,0.12901416459884205,0,3,93,1559.0,-0.2371597417707157,38.120337913662475
12/3/2017,1,71,28,-0.16693848663129082,1,0.007500000000000019,0,4,91,145.0,-0.2371597417707157,10.809263108764895
03/14/2018,2,44,106,1.8834507611942195,1,0.2437710437710437,0,2,96,510.0,-0.2371597417707157,6.66657198667369
06/23/2017,4,51,164,3.4080991762439576,4,0.2705200501253133,6,2,93,223.75,4.629319227532611,7.740603018326965
11/23/2018,1,13,151,3.0663676349397058,1,-0.08825757575757574,0,2,94,821.0,-0.2371597417707157,1.9101488464948984
01/30/2017,4,18,162,3.3555250929663805,1,0.1903846153846154,0,1,97,868.0,-0.2371597417707157,2.6773138691043807
02/21/2018,2,16,167,3.486960301160324,1,0.18879419191919192,0,4,91,921.0,-0.2371597417707157,2.370447860060588
01/30/2018,1,20,38,0.09593192975659508,2,0.35,1,4,88,100.5,1.3849999146637268,2.984179878148174
02/16/2017,5,46,178,3.7761177591869983,1,0.16733506944444446,0,3,93,954.0,-0.2371597417707157,6.973437995717482
04/11/2018,1,19,34,-0.00921623679855928,1,0.04375000000000001,0,3,93,226.0,-0.2371597417707157,2.8307468736262775
03/19/2018,1,24,139,2.7509231352742427,4,0.1275132275132275,6,2,91,189.75,4.629319227532611,3.5979118962357597
02/12/2018,2,9,73,1.0159783871141956,2,0.09458333333333334,2,2,93,200.5,1.3849999146637268,1.2964168284073123
09/8/2017,3,8,142,2.8297842601906087,1,0.30347985347985346,0,2,95,766.0,-0.2371597417707157,1.1429838238854158
08/16/2018,1,9,22,-0.3246607364640224,1,0.09999999999999998,0,3,93,107.0,-0.2371597417707157,1.2964168284073123
01/14/2018,4,21,201,4.380719716879136,8,0.15,14,4,89,138.0,11.117957853270381,3.13761288267007
12/11/2018,3,5,101,1.7520155530002763,1,0.25555555555555554,0,2,95,505.0,-0.2371597417707157,0.6826848103197263
01/12/2018,1,24,52,0.4639505126996353,1,0.009999999999999998,0,3,94,288.0,-0.2371597417707157,3.5979118962357597
11/9/2018,1,4,63,0.7531079707263099,3,0.09285714285714286,2,7,88,123.66666666666669,3.0071595710981693,0.5292518057978297
04/27/2015,5,7,277,6.3785348814270675,2,0.1354160654160654,2,4,92,822.5,1.3849999146637268,0.9895508193635192
11/13/2016,3,6,118,2.198895260859682,1,0.020734126984126997,0,2,95,708.0,-0.2371597417707157,0.8361178148416227
09/12/2018,5,1,184,3.9338400090197294,3,0.058756684491978614,2,3,93,329.6666666666667,3.0071595710981693,0.06895279223214029
10/16/2017,5,3,104,1.8308766779166417,1,0.07076923076923075,0,5,92,558.0,-0.2371597417707157,0.37581880127593326
02/25/2019,2,1,125,2.3829045523312025,1,-0.1238095238095238,0,3,92,724.0,-0.2371597417707157,0.06895279223214029
05/5/2016,1,112,41,0.17479305467296086,1,-0.4800000000000001,0,4,94,238.0,-0.2371597417707157,17.10001629416265
09/5/2018,3,3,45,0.2799412212281152,5,0.17777777777777778,4,2,89,55.6,6.251478883967054,0.37581880127593326
07/23/2015,4,4,236,5.3007661742367365,3,0.245,4,2,93,439.33333333333326,3.0071595710981693,0.5292518057978297
08/18/2016,5,3,162,3.3555250929663805,1,0.1830609668109668,0,3,94,861.0,-0.2371597417707157,0.37581880127593326
09/11/2016,4,1,243,5.484775465708257,1,0.1857487922705314,0,2,94,1467.0,-0.2371597417707157,0.06895279223214029
08/17/2017,4,1,149,3.0137935516621286,2,0.11643790849673198,2,2,94,409.5,1.3849999146637268,0.06895279223214029
09/11/2018,5,0,147,2.9612194683845514,1,0.4779513888888889,0,3,92,812.0,-0.2371597417707157,-0.0844802122897562
06/22/2018,5,1,101,1.7520155530002763,1,0.2616798941798942,0,5,88,531.0,-0.2371597417707157,0.06895279223214029
07/5/2018,3,2,76,1.0948395120305616,1,0.05714285714285715,0,2,96,386.0,-0.2371597417707157,0.22238579675403677
01/16/2018,5,1,113,2.0674600526657394,1,0.3424159663865546,0,4,92,640.0,-0.2371597417707157,0.06895279223214029
07/18/2018,5,0,160,3.3029510096888037,1,0.20789141414141413,0,5,90,791.0,-0.2371597417707157,-0.0844802122897562
08/17/2017,4,1,136,2.6720620103578767,3,0.2346153846153846,2,4,90,228.33333333333331,3.0071595710981693,0.06895279223214029
03/31/2014,5,4,381,9.112387211861082,7,0.24484788359788365,12,3,93,305.7142857142857,9.495798196835937,0.5292518057978297
04/25/2016,4,2,129,2.488052718886357,1,0.1492647058823529,0,2,93,713.0,-0.2371597417707157,0.22238579675403677
