Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
11/10/2015,1,2197,184,2.864979679849828,3,0.1238095238095238,4,4,89,337.3333333333333,1.6362120324379792,61.72139248381512
09/28/2016,1,184,74,0.5913929728442523,1,0.3986363636363636,0,1,97,355.0,-0.25165231790006065,5.139811250122027
10/23/2016,2,70,143,2.0175519072386594,2,0.1317099567099567,2,2,93,374.0,0.6922798572689592,1.9354892130425367
02/7/2017,4,52,154,2.244910577939217,6,0.26202614379084965,10,3,90,136.5,4.468008557945038,1.429543628240512
12/3/2014,1,197,25,-0.4213865602764135,1,0.06826923076923078,0,1,97,140.0,-0.25165231790006065,5.505216394701267
03/16/2015,2,1166,127,1.6868483862196662,5,0.007291666666666659,8,1,93,146.0,3.5240763827760184,32.74195370987693
02/29/2016,5,58,170,2.575614098958209,4,0.221875,5,4,90,236.5,2.580144207606999,1.5981921565078536
03/7/2015,5,68,67,0.4467101823984429,1,0.3196428571428571,0,7,83,395.0,-0.25165231790006065,1.879273036953423
12/21/2016,1,24,129,1.7281863263470405,2,0.1282051282051282,2,2,93,322.5,0.6922798572689592,0.642517162992918
10/3/2017,3,15,235,3.919097153097868,9,0.08175574425574425,10,2,90,147.22222222222226,7.299805083452097,0.3895443705919056
12/22/2017,5,12,238,3.981104063288929,2,0.09687149270482603,1,3,93,641.5,0.6922798572689592,0.30522010645823483
12/22/2018,5,8,220,3.609062602142562,4,0.1515401785714286,5,3,91,322.5,2.580144207606999,0.19278775428000708
09/22/2018,5,8,301,5.283249177301213,14,0.2303312629399585,23,2,90,115.0,12.019465959297195,0.19278775428000708
04/20/2017,5,49,241,4.04311097347999,6,0.11586452762923352,10,2,91,220.66666666666663,4.468008557945038,1.3452193641068413
12/17/2017,5,10,152,2.2035726378118428,1,0.06750915750915752,0,6,90,811.0,-0.25165231790006065,0.24900393036912094
