Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
03/9/2016,5,20,242,0.6791951714946171,4,0.29530226507499235,6,4,91,325.5,0.7146881035340948,4.024708769368441
10/23/2015,5,14,340,1.2352270192038854,2,0.08340548340548341,2,3,93,908.0,-0.06248469282746981,2.7033992587419013
12/15/2018,5,3,144,0.12316332378534875,1,0.3923942487874779,0,18,77,827.0,-0.4510710910082521,0.2809984892599109
08/9/2016,5,9,84,-0.21726433807746864,3,-0.009672619047619044,2,2,94,149.66666666666666,0.3261017053533125,1.6023079998864511
02/17/2017,5,4,118,-0.02435532968853879,1,0.2502564102564103,0,3,93,668.0,-0.4510710910082521,0.5012167410310009
06/24/2015,5,6,137,0.08344676323468671,2,0.12454545454545456,2,5,91,370.0,-0.06248469282746981,0.941653244573181
02/6/2018,5,2,144,0.12316332378534875,4,0.026262626262626262,6,6,87,186.0,0.7146881035340948,0.06078023748882086
09/30/2017,5,2,88,-0.19456916061994747,1,0.23613636363636364,0,2,95,478.0,-0.4510710910082521,0.06078023748882086
07/14/2016,5,5,72,-0.2853498704500321,1,0.2751190476190476,0,4,94,422.0,-0.4510710910082521,0.721434992802091
07/26/2017,5,1,91,-0.1775477775268066,4,0.3027777777777779,3,3,92,118.25,0.7146881035340948,-0.1594380142822692
11/16/2015,5,2,99,-0.13215742261176427,3,0.22755555555555554,4,3,90,187.33333333333331,0.3261017053533125,0.06078023748882086
12/4/2013,5,4,220,0.5543716954782507,2,0.13159523809523813,2,2,94,605.5,-0.06248469282746981,0.5012167410310009
02/3/2018,5,1,58,-0.3647829915513561,1,0.20380952380952386,0,2,94,325.0,-0.4510710910082521,-0.1594380142822692
06/9/2017,5,2,49,-0.4158471408307787,1,0.55,0,3,93,258.0,-0.4510710910082521,0.06078023748882086
04/10/2009,3,0,455,1.8877133711076184,4,0.0656397797214124,6,3,93,620.25,0.7146881035340948,-0.3796562660533592
07/1/2006,4,6,548,2.4153762469949847,4,0.020124579124579125,6,3,93,788.75,0.7146881035340948,0.941653244573181
07/20/2005,5,6,404,1.5983498585242242,6,0.20878314393939398,10,2,92,365.33333333333326,1.4918608998956595,0.941653244573181
08/1/2009,5,1,287,0.9345159178917299,3,0.2497023809523809,3,3,94,499.0,0.3261017053533125,-0.1594380142822692
01/22/2011,4,0,251,0.7302593207740397,4,0.2773617511520737,6,3,91,320.75,0.7146881035340948,-0.3796562660533592
04/4/2019,5,0,61,-0.3477616084582153,1,0.4560606060606061,0,2,95,294.0,-0.4510710910082521,-0.3796562660533592
09/10/2005,5,4,260,0.7813234700534623,4,0.325,6,3,90,364.75,0.7146881035340948,0.5012167410310009
10/18/2016,5,5,5,-0.6654940928635115,1,-1.0,0,6,88,39.0,-0.4510710910082521,0.721434992802091
07/3/2016,5,2,66,-0.31939263663631384,1,0.07573696145124716,0,3,94,358.0,-0.4510710910082521,0.06078023748882086
08/20/2017,5,1,60,-0.3534354028225956,1,0.2682539682539683,0,2,94,312.0,-0.4510710910082521,-0.1594380142822692
08/19/2005,5,0,247,0.7075641433165185,6,0.10956666666666667,10,3,92,210.0,1.4918608998956595,-0.3796562660533592
08/15/2005,4,5,206,0.4749385743769266,4,0.15329861111111112,6,3,91,293.75,0.7146881035340948,0.721434992802091
06/5/2006,5,2,263,0.7983448531466032,1,0.16854166666666665,0,5,90,1411.0,-0.4510710910082521,0.06078023748882086
11/13/2018,4,0,64,-0.3307402253650744,1,0.22000000000000008,0,2,95,301.0,-0.4510710910082521,-0.3796562660533592
11/19/2017,5,0,66,-0.31939263663631384,1,0.30625,0,3,95,359.0,-0.4510710910082521,-0.3796562660533592
08/22/2006,5,1,247,0.7075641433165185,1,0.19445473251028808,0,3,95,1243.0,-0.4510710910082521,-0.1594380142822692
12/27/2017,5,0,66,-0.31939263663631384,1,0.205,0,4,93,348.0,-0.4510710910082521,-0.3796562660533592
01/28/2008,5,0,166,0.2479867998017151,8,-0.0027777777777777827,9,6,86,125.0,2.269033696257224,-0.3796562660533592
07/18/2005,5,0,179,0.3217461265386589,3,0.06549382716049383,4,1,93,357.0,0.3261017053533125,-0.3796562660533592
08/4/2013,5,0,143,0.11748952942096845,1,0.18409090909090908,0,4,93,806.0,-0.4510710910082521,-0.3796562660533592
07/24/2005,4,3,170,0.27068197725923626,6,0.16,10,3,90,158.0,1.4918608998956595,0.2809984892599109
01/1/2019,5,0,92,-0.1718739831624263,2,0.22970085470085475,2,4,88,260.0,-0.06248469282746981,-0.3796562660533592
03/1/2009,5,0,227,0.5940882560289127,1,0.2520833333333333,0,3,93,1235.0,-0.4510710910082521,-0.3796562660533592
07/16/2005,5,2,169,0.26500818289485595,2,0.11438792688792687,2,3,93,486.0,-0.06248469282746981,0.06078023748882086
09/9/2005,5,1,178,0.3160723321742785,4,0.3676373106060606,6,4,90,244.25,0.7146881035340948,-0.1594380142822692
10/9/2018,5,0,47,-0.4271947295595393,1,0.15421626984126985,0,6,90,248.0,-0.4510710910082521,-0.3796562660533592
06/28/2014,5,0,124,0.009687436497742943,1,0.2071428571428572,0,98,0,632.0,-0.4510710910082521,-0.3796562660533592
01/7/2019,5,0,33,-0.5066278506608634,3,0.261875,2,4,88,63.66666666666667,0.3261017053533125,-0.3796562660533592
