Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
04/26/2018,5,58,115,2.012568838808182,1,0.0987494926948052,0,10,84,583.0,-0.1804702344740996,9.589385231878394
05/7/2017,4,64,422,9.37925418688754,5,0.10917598605098604,5,3,92,452.4,6.6684950207099485,10.590751650210986
05/14/2018,1,38,140,2.612461782462853,1,0.05472064393939395,0,6,92,765.0,-0.1804702344740996,6.251497170769757
01/6/2018,1,21,42,0.26088144333654323,1,-0.06757369614512472,0,2,98,203.0,-0.1804702344740996,3.4142923188274144
03/13/2017,1,25,42,0.26088144333654323,1,-0.11875,0,3,91,224.0,-0.1804702344740996,4.081869931049142
08/9/2018,1,13,73,1.004748693468335,1,-0.175,0,3,92,397.0,-0.1804702344740996,2.0791370943839595
10/18/2016,1,293,184,3.6682733632950737,3,0.1212121212121212,4,3,91,353.66666666666674,3.244012393117925,48.80956994990489
07/23/2018,4,8,198,4.00421341174169,6,0.31807359307359306,10,4,90,172.33333333333337,8.380736334505961,1.2446650791068
08/7/2017,2,12,126,2.276521734016237,1,-0.04594907407407407,0,2,97,658.0,-0.1804702344740996,1.9122426913285278
09/23/2017,1,50,42,0.26088144333654323,1,0.10000000000000002,0,5,93,216.0,-0.1804702344740996,8.25423000743494
12/30/2017,1,14,53,0.5248343385445984,1,-0.17605442176870748,0,1,96,300.0,-0.1804702344740996,2.2460314974393913
02/6/2018,3,8,311,6.715729517060804,6,0.08057575757575756,10,2,92,276.1666666666667,8.380736334505961,1.2446650791068
10/27/2017,1,16,144,2.7084446534476,2,-0.0017857142857142874,1,2,94,411.0,1.5317710793219124,2.5798203035502554
12/4/2017,5,7,155,2.9723975486556538,6,0.23670522186147186,5,4,90,130.33333333333334,8.380736334505961,1.0777706760513681
09/26/2018,5,5,174,3.4283161858332054,3,0.1361111111111111,3,3,92,306.6666666666667,3.244012393117925,0.7439818699405043
