Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
06/13/2018,1,1626,738,6.852654635133492,16,-0.01534757513018384,19,4,90,252.3125,5.3917059780980985,37.58800884401042
11/19/2017,5,2221,360,2.9613305620457715,12,0.10902678571428573,13,4,90,178.66666666666663,3.879687699936036,51.363861444262895
08/28/2017,5,369,270,2.0348248303582186,16,0.3532093132093133,24,4,84,95.6875,5.3917059780980985,8.485073182636716
04/3/2018,2,159,470,4.0937264563305575,16,0.13208333333333333,20,5,88,157.875,5.3917059780980985,3.6230075590181974
06/3/2017,5,853,580,5.226122350615344,13,0.15445446528779866,24,2,92,241.3076923076923,4.257692269476552,19.69097681040511
07/16/2018,5,213,110,0.3877035295803472,2,0.2233766233766234,1,6,88,271.5,0.09964200453087993,4.873253005091531
02/9/2018,1,132,176,1.067141066151219,3,0.2153508771929825,2,2,94,336.0,0.4776465740713955,2.9978848359815307
11/20/2017,1,272,249,1.818640159631123,1,0.010113378684807243,0,4,91,1432.0,-0.27836256500963563,6.2392619183938764
06/29/2017,3,500,144,0.7377168059956448,1,0.06433982683982682,0,3,92,741.0,-0.27836256500963563,11.51807602403684
02/9/2018,5,141,204,1.3553872937873468,1,0.10643873802964716,0,3,92,1105.0,-0.27836256500963563,3.206259076993753
04/16/2018,1,76,498,4.381972683966685,3,0.23881922675026124,4,3,92,858.0,0.4776465740713955,1.701334003016592
12/28/2017,1,326,123,0.5215321352685492,1,-0.029722222222222237,0,2,95,694.0,-0.27836256500963563,7.48950736446721
04/8/2018,1,114,125,0.5421211515282727,1,0.01787878787878787,0,4,93,725.0,-0.27836256500963563,2.5811363539570857
01/6/2018,1,86,171,1.015668525501911,2,0.06813186813186813,1,3,94,462.0,0.09964200453087993,1.9328609374746168
07/23/2017,4,181,27,-0.4667406451981735,1,0.1,0,1,96,128.0,-0.27836256500963563,4.132366814825851
12/19/2017,1,165,85,0.13034082633380484,1,-0.05476190476190476,0,3,95,516.0,-0.27836256500963563,3.761923719693012
09/29/2017,1,363,235,1.6745170458130594,4,-0.024289772727272733,6,2,93,313.0,0.8556511436119112,8.346157021961902
06/14/2018,1,45,110,0.3877035295803472,1,-0.03166666666666667,0,2,93,603.0,-0.27836256500963563,0.9836005061967155
12/20/2017,1,140,175,1.0568465580213575,2,0.2512987012987013,2,4,93,484.5,0.09964200453087993,3.1831063835479507
01/18/2018,1,42,74,0.017101236905326184,1,0.20208333333333334,0,4,91,421.0,-0.27836256500963563,0.914142425859308
07/15/2018,3,216,205,1.3656818019172083,5,0.019874338624338617,7,3,85,287.0,1.2336557131524268,4.942711085428939
