Words_Title,Chars_Title,Upper_percentage,Lower_percentage
11,51,2,95
16,110,2,94
4,29,4,96
9,42,6,88
8,52,4,93
16,74,3,90
5,35,3,90
9,58,2,90
6,39,3,97
3,15,15,85
4,20,6,94
1,13,8,92
3,16,21,79
15,81,91,0
13,68,18,82
3,23,10,90
4,28,4,92
3,35,9,85
9,59,2,96
1,10,10,90
11,67,14,84
3,11,33,67
4,31,4,79
6,42,3,92
6,47,5,95
5,40,14,78
5,40,3,94
6,34,3,93
8,47,8,92
9,54,4,96
3,15,23,77
2,16,13,87
6,27,9,77
9,52,98,0
16,94,4,95
5,30,4,96
5,23,5,95
7,40,15,76
8,40,6,94
13,71,15,83
1,9,11,89
18,120,3,95
12,70,2,97
3,19,6,94
15,96,2,94
2,11,20,80
3,16,21,79
8,39,3,97
13,70,3,95
2,19,6,89
7,49,2,95
13,64,2,92
3,16,21,79
9,41,3,97
1,9,11,89
13,69,2,93
3,21,5,74
7,37,3,94
11,64,2,94
11,65,5,95
13,76,2,97
8,45,11,84
2,17,6,88
8,42,9,89
8,36,3,97
3,15,23,77
19,111,3,92
24,148,2,95
2,16,13,87
2,9,25,75
11,42,3,97
7,42,6,75
5,25,19,81
19,107,1,99
3,29,15,78
7,41,3,97
11,53,2,98
20,122,2,96
5,33,3,86
7,36,3,87
3,20,17,83
6,34,3,97
2,16,7,93
7,47,2,98
11,59,2,92
6,40,9,86
4,31,11,86
6,27,5,95
14,60,4,91
3,23,10,90
9,64,2,96
4,26,4,96
12,52,5,95
14,70,5,93
7,37,13,87
3,21,5,95
5,40,3,94
11,60,2,92
4,26,4,91
2,10,22,78
3,18,6,88
7,45,15,77
20,104,2,93
14,58,7,84
5,25,33,57
15,65,2,96
3,12,60,30
15,75,2,93
4,36,3,91
3,11,11,89
4,18,20,80
3,38,3,86
5,30,4,92
20,99,1,99
6,30,8,92
1,10,10,90
3,19,6,71
12,53,2,88
6,27,27,73
3,17,7,93
8,32,4,92
2,11,10,80
6,31,12,85
3,18,6,94
6,34,3,97
6,29,4,96
33,179,0,98
10,57,4,88
2,14,15,85
11,59,2,92
2,12,9,91
4,21,6,94
7,39,15,85
11,49,5,87
10,46,8,92
1,10,10,80
2,9,12,88
1,12,8,83
14,96,6,90
11,58,4,94
5,39,3,91
4,29,4,96
1,8,12,88
10,50,7,83
11,56,2,91
1,10,10,90
5,36,3,91
3,16,7,93
3,14,25,75
8,38,16,84
4,20,6,88
5,39,3,97
11,55,7,87
7,45,15,77
1,9,11,89
1,11,9,91
21,93,1,96
16,85,0,100
4,20,24,65
9,40,6,91
22,109,2,94
5,28,4,92
2,19,6,89
3,14,25,75
10,68,3,93
7,46,10,88
8,37,10,90
13,53,5,85
9,43,3,94
2,16,13,87
2,16,7,87
8,38,3,97
1,1,0,100
6,37,6,91
7,38,6,91
4,20,12,88
2,8,14,86
13,76,0,94
10,49,5,92
10,61,2,98
2,10,11,78
2,8,14,57
4,21,6,94
10,56,6,85
1,4,25,75
3,16,7,64
8,35,4,96
2,10,22,78
20,110,3,92
6,25,30,70
5,33,3,93
5,25,10,86
11,65,2,93
10,59,2,98
7,38,12,88
12,71,7,92
2,12,9,91
8,39,3,91
3,13,9,91
3,16,7,93
2,12,9,91
8,43,8,92
10,53,25,75
2,16,7,93
2,10,11,89
3,19,100,0
4,16,31,69
3,12,10,90
3,16,7,93
7,45,5,92
11,60,2,92
7,40,6,94
4,32,3,97
2,10,22,67
10,41,3,97
13,76,3,91
8,52,2,93
3,12,10,80
3,16,7,86
13,77,2,98
2,19,17,78
2,10,22,78
4,18,13,87
3,15,23,69
4,20,18,76
2,17,6,94
1,4,25,75
12,50,3,95
4,17,7,93
1,10,10,80
3,20,17,83
1,10,10,90
2,19,6,94
2,13,8,83
15,79,2,94
4,23,15,75
13,66,24,74
5,23,5,95
15,93,1,97
13,53,5,85
4,37,3,88
15,69,0,95
1,11,9,91
8,47,2,98
6,40,3,91
5,24,5,75
2,10,22,78
3,21,5,89
3,20,6,94
5,28,4,96
10,47,5,84
14,79,2,98
2,17,19,75
5,32,7,93
6,36,6,94
4,31,11,86
2,11,20,70
2,14,15,85
12,66,20,80
2,10,22,78
12,64,2,92
10,54,2,89
3,17,7,80
9,43,9,89
6,42,3,97
3,20,17,78
2,10,22,78
4,32,100,0
4,17,21,79
2,13,17,83
3,20,11,89
4,18,7,87
11,65,2,96
4,25,5,95
11,68,7,88
1,10,10,90
2,9,12,88
6,27,5,91
9,55,2,91
13,62,2,98
5,32,0,96
11,62,4,90
3,12,30,70
