Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
09/17/2018,3,416,5.590164193404227,632,4.699964978650274,11,13,2,93,326.27272727272725
09/11/2018,5,2554,0.9295391942983245,174,0.9590236914361895,3,4,4,89,326.0
12/5/2018,4,1684,6.755320443180703,486,3.5074378434248232,13,24,5,88,215.46153846153845
09/25/2018,2,62,0.9295391942983245,314,2.10254286220032,3,2,2,95,587.6666666666666
09/24/2018,2,40,-0.23561705547815115,102,0.37092811790035085,1,0,2,96,591.0
09/10/2018,5,1370,-0.23561705547815115,20,-0.2988473964043542,1,0,1,96,101.0
09/11/2018,5,641,22.484929815163124,2695,21.550536759267427,40,78,4,91,420.225
09/11/2018,5,66,2.677273568963038,388,2.706974423889932,6,10,3,93,394.0
09/11/2018,5,288,1.5121173191865624,237,1.4736073182800482,4,6,2,94,327.0
09/10/2018,4,730,-0.23561705547815115,26,-0.24983943194303432,1,0,5,92,135.0
09/11/2018,5,87,0.3469610694100867,67,0.08504832520931822,2,2,3,93,201.5
09/11/2018,5,51,-0.23561705547815115,33,-0.19266347340482778,1,0,2,94,209.0
09/11/2018,5,248,-0.23561705547815115,21,-0.29067940232746753,1,0,6,88,126.0
09/11/2018,5,84,1.5121173191865624,364,2.5109425660446525,4,6,2,95,533.5
09/11/2018,5,91,-0.23561705547815115,93,0.29741617120837105,1,0,2,91,486.0
09/11/2018,5,138,0.9295391942983245,29,-0.22533544971237437,3,2,3,90,53.666666666666664
09/23/2018,2,19,3.842429818739514,151,0.7711598276677966,8,7,2,92,110.5
09/11/2018,5,78,2.677273568963038,377,2.6171264890441788,6,10,3,93,356.5
09/25/2018,2,18,0.3469610694100867,135,0.6404719224376102,2,2,2,93,361.5
09/11/2018,5,74,-0.23561705547815115,33,-0.19266347340482778,1,0,3,91,174.0
09/11/2018,5,82,-0.23561705547815115,7,-0.4050313194038806,1,0,1,90,78.0
09/11/2018,5,264,0.9295391942983245,150,0.7629918335909099,3,4,5,89,294.3333333333333
10/22/2018,1,25,2.0946954440748002,422,2.984686222504078,5,8,2,93,501.4
09/11/2018,4,87,-0.23561705547815115,16,-0.3315193727119008,1,0,7,88,72.0
09/12/2018,5,39,3.842429818739514,801,6.080355977644118,8,14,3,92,652.625
09/11/2018,5,42,-0.23561705547815115,87,0.24840820674705116,1,0,5,88,468.0
09/12/2018,5,23,2.0946954440748002,246,1.547119264972028,5,8,3,91,284.2
10/6/2018,1,42,0.3469610694100867,49,-0.06197556817464142,2,1,3,90,142.5
09/12/2018,5,23,-0.23561705547815115,132,0.6159679402069502,1,0,3,93,704.0
09/24/2018,2,15,0.3469610694100867,201,1.179559531512129,2,1,3,93,563.5
09/11/2018,5,48,-0.23561705547815115,107,0.4117680882847841,1,0,3,94,602.0
09/11/2018,5,58,-0.23561705547815115,36,-0.16815949117416784,1,0,4,90,218.0
09/13/2018,5,25,-0.23561705547815115,5,-0.4213673075576539,1,0,39,58,35.0
09/11/2018,5,24,-0.23561705547815115,7,-0.4050313194038806,1,0,10,76,27.0
09/11/2018,5,55,0.3469610694100867,65,0.06871233705554493,2,1,4,90,168.0
09/11/2018,5,55,-0.23561705547815115,20,-0.2988473964043542,1,0,2,95,128.0
09/11/2018,5,44,-0.23561705547815115,67,0.08504832520931822,1,0,2,95,361.0
09/12/2018,5,20,1.5121173191865624,67,0.08504832520931822,4,6,3,88,98.25
09/11/2018,5,39,-0.23561705547815115,7,-0.4050313194038806,1,0,29,55,37.0
09/12/2018,5,25,0.9295391942983245,274,1.7758230991248543,3,4,3,92,552.0
09/12/2018,5,23,-0.23561705547815115,40,-0.13548751486662125,1,0,5,93,216.0
09/12/2018,5,19,1.5121173191865624,103,0.3790961119772375,4,5,14,77,146.5
10/9/2018,1,13,-0.23561705547815115,54,-0.02113559779020819,1,0,8,81,270.0
09/11/2018,5,21,-0.23561705547815115,59,0.019704372594225045,1,0,5,93,318.0
09/19/2018,3,10,0.3469610694100867,137,0.6568079105913835,2,2,2,94,388.0
09/11/2018,5,30,-0.23561705547815115,14,-0.3478553608656741,1,0,5,92,74.0
09/11/2018,5,37,-0.23561705547815115,18,-0.3151833845581275,1,0,3,93,122.0
01/21/2019,5,10,3.842429818739514,241,1.506279294587595,8,14,2,92,206.5
09/11/2018,5,21,-0.23561705547815115,36,-0.16815949117416784,1,0,1,96,220.0
09/11/2018,5,20,-0.23561705547815115,62,0.044208354824884985,1,0,5,90,348.0
09/11/2018,5,36,-0.23561705547815115,14,-0.3478553608656741,1,0,3,90,76.0
09/11/2018,5,36,-0.23561705547815115,45,-0.09464754448218801,1,0,4,93,242.0
09/11/2018,5,36,-0.23561705547815115,30,-0.21716745563548773,1,0,2,95,154.0
09/12/2018,5,24,-0.23561705547815115,213,1.2775754604347687,1,0,3,93,1270.0
09/15/2018,3,19,0.3469610694100867,62,0.044208354824884985,2,1,2,93,172.5
09/27/2018,4,8,9.668211067621893,1068,8.261210396172853,18,34,3,91,355.77777777777777
09/12/2018,5,23,-0.23561705547815115,211,1.2612394722809954,1,0,3,94,1254.0
09/12/2018,4,15,0.9295391942983245,445,3.1725500862724707,3,4,2,94,879.6666666666666
09/11/2018,5,23,1.5121173191865624,108,0.41993608236167074,4,6,2,92,158.0
09/11/2018,5,26,-0.23561705547815115,40,-0.13548751486662125,1,0,2,95,219.0
09/11/2018,5,33,-0.23561705547815115,16,-0.3315193727119008,1,0,3,95,93.0
09/12/2018,5,14,0.9295391942983245,213,1.2775754604347687,3,4,1,94,420.3333333333333
09/11/2018,5,34,-0.23561705547815115,9,-0.3886953312501073,1,0,5,95,63.0
09/11/2018,5,32,-0.23561705547815115,59,0.019704372594225045,1,0,2,95,295.0
09/11/2018,5,27,-0.23561705547815115,12,-0.3641913490194474,1,0,3,95,89.0
09/13/2018,5,20,2.677273568963038,272,1.7594871109710808,6,8,3,91,276.6666666666667
