Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
01/4/2018,4,145,11.641648210500875,268,6.434068980805406,8,14,3,90,166.125
04/11/2018,1,77,1.4834373872256288,130,2.6963829519936335,2,2,2,94,352.5
11/4/2017,1,77,-0.20959774998691244,110,2.1546893246296084,1,0,3,90,556.0
07/5/2015,5,1559,3.17647252443817,110,2.1546893246296084,3,4,3,92,188.66666666666666
07/14/2017,1,51,-0.20959774998691244,39,0.23167694748731982,1,0,3,96,216.0
09/11/2017,1,35,1.4834373872256288,82,1.3963182463199735,2,1,3,89,201.5
02/26/2018,1,20,-0.20959774998691244,128,2.642213589257231,1,0,3,92,663.0
08/12/2017,5,20,-0.20959774998691244,236,5.567359177022966,1,0,3,94,1147.0
07/24/2018,1,13,4.869507661650711,228,5.350681726077356,4,6,3,92,330.25
11/27/2018,1,8,-0.20959774998691244,108,2.100519961893206,1,0,4,90,615.0
12/6/2018,2,5,1.4834373872256288,342,8.4383354020523,2,2,1,93,902.0
01/24/2019,1,8,-0.20959774998691244,70,1.0713020699015585,1,0,2,92,361.0
08/6/2017,3,8,-0.20959774998691244,74,1.1796407953743635,1,0,2,93,395.0
04/26/2018,3,4,-0.20959774998691244,132,2.750552314730036,1,0,3,90,725.0
04/14/2018,5,3,1.4834373872256288,156,3.400584667566866,2,2,2,95,425.5
09/29/2016,5,28,1.4834373872256288,44,0.36710035432832605,2,1,3,91,116.0
01/31/2019,5,1,6.5625427988632525,224,5.242343000604551,5,8,2,93,234.4
03/19/2019,1,1,-0.20959774998691244,176,3.9422782949308908,1,0,2,94,952.0
10/1/2017,4,3,-0.20959774998691244,125,2.560959545152627,1,0,3,93,674.0
01/20/2019,2,2,-0.20959774998691244,100,1.883842510947596,1,0,2,92,559.0
04/4/2018,3,1,-0.20959774998691244,175,3.9151936135626895,1,0,2,94,868.0
06/7/2017,5,8,8.255577936075793,218,5.079834912395343,6,8,4,87,196.83333333333334
05/16/2015,4,15,-0.20959774998691244,246,5.838205990704979,1,0,2,93,1220.0
09/1/2016,1,10,3.17647252443817,246,5.838205990704979,3,3,7,89,417.3333333333333
08/14/2016,4,1,-0.20959774998691244,295,7.165355377746841,1,0,2,93,1528.0
05/7/2018,5,1,1.4834373872256288,147,3.156822535253055,2,2,3,92,332.0
03/5/2016,1,7,1.4834373872256288,65,0.9358786630605522,2,2,3,90,174.0
07/15/2017,2,1,3.17647252443817,159,3.4818387116714695,3,4,2,93,276.0
08/8/2016,5,4,1.4834373872256288,84,1.4504876090563759,2,1,2,93,219.0
06/10/2017,5,2,-0.20959774998691244,121,2.4526208196798223,1,0,6,92,581.0
04/9/2018,5,2,1.4834373872256288,120,2.425536138311621,2,2,1,95,306.5
07/15/2016,4,1,-0.20959774998691244,198,4.538141285031318,1,0,2,95,974.0
06/12/2017,5,3,-0.20959774998691244,127,2.6151289078890296,1,0,2,94,634.0
01/31/2019,5,0,-0.20959774998691244,133,2.777636996098237,1,0,4,91,638.0
01/28/2019,5,0,-0.20959774998691244,100,1.883842510947596,1,0,1,96,579.0
08/25/2017,5,1,-0.20959774998691244,118,2.3713667755752184,1,0,2,93,584.0
05/8/2017,3,4,-0.20959774998691244,43,0.3400156729601248,1,0,4,87,221.0
08/24/2016,5,0,-0.20959774998691244,230,5.404851088813758,1,0,2,95,1152.0
02/13/2019,3,0,-0.20959774998691244,105,2.0192659177886023,1,0,2,93,569.0
07/30/2016,5,0,4.869507661650711,235,5.5402744956547645,4,6,3,94,300.0
04/5/2017,1,9,-0.20959774998691244,119,2.3984514569434197,1,0,9,86,607.0
01/17/2015,1,5,1.4834373872256288,155,3.3734999861986648,2,2,4,90,426.0
05/10/2018,5,0,4.869507661650711,131,2.723467633361835,4,3,2,93,165.75
03/11/2018,4,0,-0.20959774998691244,143,3.0484838097802496,1,0,2,95,720.0
04/7/2017,5,2,-0.20959774998691244,90,1.6129956972655835,1,0,2,94,447.0
03/11/2019,1,0,-0.20959774998691244,105,2.0192659177886023,1,0,2,93,523.0
08/18/2015,3,0,6.5625427988632525,423,10.6321945928766,5,6,3,90,434.8
06/16/2017,5,1,1.4834373872256288,108,2.100519961893206,2,2,1,91,286.0
07/4/2017,5,0,4.869507661650711,140,2.967229765675646,4,6,3,89,175.25
06/12/2017,2,6,-0.20959774998691244,41,0.2858463102237223,1,0,0,93,214.0
01/29/2019,1,0,3.17647252443817,214,4.971496186922538,3,4,2,93,381.3333333333333
01/12/2016,5,2,3.17647252443817,140,2.967229765675646,3,4,2,94,222.0
07/6/2017,5,1,-0.20959774998691244,103,1.9650965550521997,1,0,2,94,512.0
11/3/2016,4,0,-0.20959774998691244,202,4.646480010504123,1,0,5,81,949.0
03/9/2016,1,4,-0.20959774998691244,75,1.2067254767425648,1,0,2,94,453.0
06/9/2015,5,0,1.4834373872256288,241,5.702782583863972,2,2,3,92,638.0
02/17/2019,5,0,3.17647252443817,216,5.025665549658941,3,4,1,95,356.3333333333333
01/27/2019,1,0,-0.20959774998691244,160,3.508923393039671,1,0,1,95,893.0
04/17/2017,5,2,-0.20959774998691244,81,1.3692335649517722,1,0,3,96,376.0
