Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
05/27/2018,3,16,-0.38443252587573007,304,1.554144290915685,1,0,2,94,1652.0
08/25/2018,2,15,-0.38443252587573007,133,0.26471087713832814,1,0,4,92,796.0
08/31/2015,3,18,-0.38443252587573007,44,-0.40639774172824933,1,0,1,96,250.0
06/7/2018,4,4,-0.38443252587573007,117,0.1440621366679322,1,0,2,95,626.0
01/24/2014,5,16,0.4169694459310868,165,0.50600835807912,3,2,5,91,300.0
12/17/2017,4,4,-0.38443252587573007,86,-0.08969479799345996,1,0,3,95,478.0
09/24/2014,3,7,-0.38443252587573007,205,0.8076302092551099,1,0,2,94,1202.0
02/7/2019,4,1,-0.38443252587573007,108,0.07619722015333447,1,0,5,92,588.0
10/14/2011,2,8,1.2183714177379037,283,1.3957928190482902,5,8,2,92,339.0
10/18/2009,1,18,1.619072403641312,286,1.4184144578864895,6,10,4,90,273.5
04/15/2014,3,2,-0.38443252587573007,316,1.644630846268482,1,0,3,93,1615.0
01/12/2019,5,0,-0.38443252587573007,94,-0.029370427758261985,1,0,2,96,486.0
01/3/2014,4,2,1.2183714177379037,216,0.8905762183285071,5,4,4,86,269.8
07/17/2010,3,7,2.0197733895447203,493,2.9793075377222373,7,12,4,90,378.2857142857143
07/7/2016,5,2,0.016268460027678372,84,-0.10477589055225946,2,2,5,90,233.5
04/13/2014,5,2,-0.38443252587573007,170,0.5437110894761188,1,0,4,93,952.0
01/26/2017,4,1,-0.38443252587573007,106,0.061116127594534976,1,0,2,95,557.0
10/2/2009,3,5,2.420474375448129,656,4.208416581264395,8,14,4,91,467.625
05/6/2013,3,0,0.8176704318344953,249,1.1394142455486989,4,6,4,92,342.0
11/14/2009,2,4,0.8176704318344953,457,2.707847871663846,4,6,3,87,725.75
01/19/2011,5,1,1.2183714177379037,666,4.283822044058393,5,8,3,93,754.0
08/15/2017,5,2,-0.38443252587573007,59,-0.2932895475372531,1,0,5,94,298.0
12/6/2009,4,4,3.622577333158354,360,1.9764148825620709,11,15,4,88,179.0909090909091
11/18/2009,4,4,1.2183714177379037,413,2.3760638353702572,5,8,4,91,485.0
10/14/2009,2,4,0.4169694459310868,387,2.1800096321058637,3,4,3,92,720.3333333333334
06/10/2011,5,1,5.626082262675396,357,1.9537932437238716,16,17,7,81,146.1875
07/20/2012,3,0,0.4169694459310868,244,1.1017115141517002,3,4,4,91,443.0
12/30/2009,3,1,2.420474375448129,521,3.19044283354543,8,10,4,91,352.0
01/24/2019,5,0,-0.38443252587573007,81,-0.1273975293904587,1,0,4,93,436.0
12/5/2009,4,1,1.2183714177379037,459,2.7229289642226457,5,4,3,92,525.0
10/20/2011,3,2,-0.38443252587573007,234,1.0263060513577027,1,0,3,93,1238.0
10/12/2009,4,1,3.2218763472549456,606,3.8313892672944085,10,18,2,91,336.7
11/24/2009,4,1,0.8176704318344953,382,2.1423069007088653,4,6,2,93,586.25
03/23/2018,5,0,-0.38443252587573007,79,-0.1424786219492582,1,0,3,93,432.0
11/16/2009,3,1,-0.38443252587573007,410,2.353442196532058,1,0,4,89,2253.0
10/10/2009,2,1,1.2183714177379037,630,4.012362378000002,5,8,3,94,739.4
11/5/2009,2,2,0.8176704318344953,428,2.4891720295612534,4,6,4,91,588.75
04/8/2010,4,0,2.0197733895447203,422,2.443928751884855,7,12,4,91,349.57142857142856
09/27/2009,3,4,0.4169694459310868,254,1.1771169769456977,3,4,2,93,466.0
09/24/2009,3,3,0.8176704318344953,282,1.3882522727688906,4,6,5,91,379.25
06/17/2010,3,0,0.8176704318344953,477,2.858658797251841,4,6,3,94,623.75
