Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
07/28/2017,5,452,-0.1973186188750704,235,3.7661181532952672,1,0,2,95,1230.0
03/30/2017,1,396,-0.1973186188750704,37,-0.009446539134493386,1,0,1,94,187.0
12/3/2017,1,98,3.4033861051225625,144,2.0308838754613876,4,6,9,85,187.0
09/28/2016,2,400,-0.1973186188750704,141,1.9736783498185124,1,0,3,94,783.0
08/8/2017,5,89,23.807379541109146,1064,19.573911739276436,21,29,4,89,274.4761904761905
09/12/2015,1,310,-0.1973186188750704,74,0.6960882771276337,1,0,6,91,369.0
02/22/2018,1,65,4.603621013121773,340,5.7683115507958975,5,8,6,88,365.4
01/10/2018,1,36,1.0029162891241405,109,1.3634860762945107,2,1,2,94,295.0
11/10/2017,5,25,10.604795553117826,307,5.139050768724271,10,9,6,86,172.6
02/2/2018,1,46,-0.1973186188750704,83,0.8677048540562591,1,0,3,92,446.0
04/5/2018,1,25,-0.1973186188750704,92,1.0393214309848846,1,0,5,92,492.0
12/28/2017,1,30,-0.1973186188750704,172,2.564802114794889,1,0,3,94,879.0
12/6/2016,2,28,-0.1973186188750704,87,0.9439788882467594,1,0,6,87,452.0
07/16/2017,3,15,4.603621013121773,298,4.967434191795645,5,6,2,94,310.2
04/29/2016,5,77,-0.1973186188750704,120,1.5732396703183862,1,0,3,95,587.0
10/17/2016,5,37,4.603621013121773,397,6.855216538010525,5,8,2,93,436.6
06/30/2018,2,11,-0.1973186188750704,95,1.0965269566277598,1,0,3,92,515.0
12/4/2016,5,14,1.0029162891241405,353,6.016202161915023,2,2,1,95,960.5
05/26/2018,5,10,7.004090829120194,127,1.7067192301517615,7,6,3,91,90.57142857142857
10/28/2017,4,11,8.204325737119404,294,4.891160157605145,8,8,7,80,231.25
03/8/2017,5,15,-0.1973186188750704,61,0.4481976660085079,1,0,2,94,356.0
10/27/2016,5,63,-0.1973186188750704,163,2.3931855378662634,1,0,2,95,825.0
10/18/2018,1,7,-0.1973186188750704,468,8.209080644891904,1,0,15,81,2473.0
03/4/2018,1,9,-0.1973186188750704,70,0.6198142429371334,1,0,3,89,407.0
11/23/2018,2,5,2.2031511971233515,250,4.052145781509643,3,2,3,91,432.6666666666667
06/19/2017,1,11,-0.1973186188750704,86,0.9249103796991343,1,0,4,89,465.0
07/23/2017,3,9,-0.1973186188750704,297,4.94836568324802,1,0,2,97,1564.0
02/5/2019,1,4,2.2031511971233515,187,2.850829743009265,3,2,3,92,338.0
09/10/2018,1,6,-0.1973186188750704,94,1.0774584480801346,1,0,6,91,467.0
11/17/2018,1,7,-0.1973186188750704,96,1.1155954651753848,1,0,3,93,557.0
09/25/2018,1,5,-0.1973186188750704,104,1.2681435335563853,1,0,4,93,529.0
03/14/2016,1,29,-0.1973186188750704,52,0.27658108907988244,1,0,3,91,292.0
03/30/2017,5,7,-0.1973186188750704,87,0.9439788882467594,1,0,4,92,466.0
01/14/2017,5,14,-0.1973186188750704,177,2.660144657533014,1,0,6,83,1139.0
03/11/2017,3,5,-0.1973186188750704,160,2.3359800122233882,1,0,2,94,835.0
04/1/2016,5,54,4.603621013121773,335,5.672969008057772,5,8,3,91,362.2
12/10/2018,4,1,2.2031511971233515,206,3.2131314054141407,3,4,4,90,354.3333333333333
10/3/2017,1,6,2.2031511971233515,92,1.0393214309848846,3,4,4,90,156.33333333333334
08/24/2017,3,3,2.2031511971233515,156,2.2597059780328883,3,4,5,89,272.3333333333333
06/8/2018,5,3,1.0029162891241405,99,1.17280099081826,2,2,2,92,250.5
