Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
12/24/2014,4,715,0.692305460212042,98,1.2609520788202495,2,2,4,91,250.0
01/8/2018,1,72,-0.24858263466705827,91,1.1036628146750513,1,0,3,93,474.0
02/4/2012,5,1092,5.3967459346075435,216,3.9123996744107337,7,10,4,87,179.28571428571428
04/14/2016,2,70,0.692305460212042,241,4.47414704635787,2,2,2,93,661.0
07/10/2016,5,52,7.278522124365744,158,2.609145771493377,9,16,4,86,92.22222222222223
02/21/2018,4,14,15.746514978277647,372,7.417703275360864,18,27,3,88,119.66666666666667
02/25/2018,1,12,1.6331935550911423,224,4.0921588334338175,3,3,3,92,393.0
07/15/2016,1,29,-0.24858263466705827,74,0.7216746017509985,1,0,3,93,363.0
12/21/2017,1,8,-0.24858263466705827,99,1.283421973698135,1,0,1,93,519.0
10/16/2016,2,8,3.514969744849343,249,4.653906205380953,5,8,2,92,270.0
03/15/2017,5,6,4.455857839728443,153,2.4967962971039497,6,5,2,91,134.83333333333334
05/22/2018,3,3,0.692305460212042,179,3.0810135639289715,2,2,9,80,617.0
09/22/2017,4,4,2.5740816499702426,195,3.4405318819751387,4,6,6,88,252.5
01/25/2017,1,6,2.5740816499702426,147,2.3619769278366367,4,5,3,88,205.5
02/18/2019,5,1,7.278522124365744,282,5.395412736351173,9,11,3,90,175.11111111111111
04/7/2016,1,14,-0.24858263466705827,27,-0.334410457509618,1,0,5,91,148.0
06/29/2018,4,2,-0.24858263466705827,170,2.8787845100280025,1,0,2,95,983.0
02/6/2016,3,6,1.6331935550911423,260,4.9010750490376935,3,4,2,93,476.0
08/4/2016,5,5,2.5740816499702426,216,3.9123996744107337,4,6,3,89,285.5
07/5/2017,3,4,3.514969744849343,118,1.7103499763779586,5,4,3,92,134.4
12/30/2016,4,2,-0.24858263466705827,202,3.597821146120337,1,0,3,87,1100.0
12/3/2018,2,1,-0.24858263466705827,200,3.552881356364566,1,0,3,93,1075.0
09/3/2015,5,3,-0.24858263466705827,548,11.372404773868706,1,0,3,95,2782.0
06/27/2016,2,3,5.3967459346075435,147,2.3619769278366367,7,9,2,90,116.0
01/25/2018,1,2,0.692305460212042,98,1.2609520788202495,2,2,6,88,268.0
08/22/2018,2,0,-0.24858263466705827,254,4.766255679770381,1,0,3,94,1313.0
03/18/2018,4,2,-0.24858263466705827,185,3.2158329331962845,1,0,2,93,1064.0
05/13/2017,5,4,-0.24858263466705827,165,2.766435035638575,1,0,3,94,827.0
01/10/2019,3,0,2.5740816499702426,162,2.6990253510049187,4,6,2,91,226.0
02/27/2016,5,2,7.278522124365744,228,4.182038412945359,9,13,3,90,144.33333333333334
10/24/2017,2,0,0.692305460212042,405,8.159209806331084,2,2,3,93,1059.0
01/20/2018,5,1,3.514969744849343,268,5.080834208060777,5,4,2,94,290.2
09/20/2018,1,0,1.6331935550911423,155,2.5417360868597205,3,4,4,89,283.6666666666667
09/6/2016,2,2,-0.24858263466705827,161,2.6765554561270335,1,0,3,94,883.0
01/17/2016,3,2,1.6331935550911423,242,4.4966169412357555,3,4,2,94,418.6666666666667
12/2/2016,2,2,-0.24858263466705827,142,2.2496274534472094,1,0,2,94,774.0
03/4/2019,1,1,-0.24858263466705827,96,1.2160122890644784,1,0,2,93,486.0
01/13/2019,5,0,1.6331935550911423,150,2.429386612470293,3,4,2,92,264.3333333333333
07/4/2018,2,0,1.6331935550911423,163,2.7214952458828043,3,2,3,91,307.0
07/9/2017,2,1,-0.24858263466705827,185,3.2158329331962845,1,0,3,96,904.0
11/10/2018,2,0,-0.24858263466705827,143,2.272097348325095,1,0,4,92,792.0
01/10/2017,2,2,-0.24858263466705827,139,2.1822177688135533,1,0,3,94,743.0
09/6/2017,2,1,3.514969744849343,124,1.8451693456452714,5,8,5,88,141.2
11/4/2018,5,0,1.6331935550911423,120,1.7552897661337294,3,3,6,87,235.33333333333334
05/21/2017,5,2,1.6331935550911423,111,1.5530607122327604,3,4,3,93,200.66666666666666
08/31/2016,4,1,1.6331935550911423,198,3.507941566608795,3,4,3,89,363.6666666666667
05/4/2016,3,1,8.219410219244843,322,6.294208531466591,10,18,3,89,177.7
12/2/2016,5,1,0.692305460212042,171,2.9012544049058877,2,2,3,92,454.0
12/1/2016,5,1,-0.24858263466705827,180,3.103483458806857,1,0,6,90,960.0
09/13/2015,5,1,11.042074503882144,365,7.260414011215666,13,18,4,89,152.0
12/29/2018,3,0,-0.24858263466705827,132,2.024928504668355,1,0,3,92,690.0
12/13/2015,5,1,5.3967459346075435,231,4.249448097579015,7,9,3,91,186.28571428571428
11/26/2018,1,1,1.6331935550911423,199,3.530411461486681,3,4,3,92,349.3333333333333
11/4/2017,1,2,-0.24858263466705827,74,0.7216746017509985,1,0,2,93,427.0
03/24/2016,4,1,0.692305460212042,216,3.9123996744107337,2,2,3,91,567.0
04/7/2017,5,1,-0.24858263466705827,129,1.9575188200346987,1,0,3,94,731.0
11/20/2014,4,2,3.514969744849343,361,7.170534431704124,5,8,2,93,400.0
08/27/2015,4,2,-0.24858263466705827,199,3.530411461486681,1,0,2,95,1029.0
04/11/2016,4,2,0.692305460212042,145,2.317037138080866,2,2,3,92,400.0
02/8/2016,4,1,1.6331935550911423,212,3.8225200948991915,3,3,3,92,344.3333333333333
02/22/2016,4,4,0.692305460212042,115,1.6429402917443023,2,2,2,93,311.5
04/6/2018,4,0,0.692305460212042,124,1.8451693456452714,2,2,3,92,340.0
11/13/2016,3,1,0.692305460212042,139,2.1822177688135533,2,2,3,94,394.5
09/24/2016,4,2,0.692305460212042,108,1.485651027599104,2,2,3,92,298.5
10/25/2017,3,0,2.5740816499702426,125,1.8676392405231568,4,4,3,90,188.25
01/26/2016,5,1,2.5740816499702426,195,3.4405318819751387,4,6,5,90,283.75
11/17/2014,3,2,5.3967459346075435,233,4.2943878873347865,7,9,4,86,186.42857142857142
02/13/2016,3,1,1.6331935550911423,172,2.9237242997837734,3,4,2,92,301.6666666666667
07/18/2018,4,0,1.6331935550911423,103,1.3733015532096768,3,4,2,91,192.33333333333334
09/5/2016,4,1,0.692305460212042,147,2.3619769278366367,2,2,1,95,409.0
10/2/2014,5,5,1.6331935550911423,113,1.5980005019885313,3,4,3,91,212.66666666666666
11/30/2015,4,2,-0.24858263466705827,146,2.3395070329587515,1,0,3,95,833.0
11/12/2018,3,0,-0.24858263466705827,109,1.5081209224769896,1,0,3,94,551.0
08/5/2018,5,0,-0.24858263466705827,111,1.5530607122327604,1,0,5,91,594.0
