Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
11/10/2016,5,299,1.9928626632784008,181,3.680384311437138,3,4,3,90,329.3333333333333
09/25/2015,5,949,9.653509913662148,295,6.4651380724655,10,10,5,88,171.3
06/25/2017,2,51,-0.19589369397409875,38,0.18722827786647353,1,0,1,95,193.0
06/12/2016,5,54,0.898484484652151,251,5.390320831366834,2,2,1,94,742.5
09/9/2017,5,21,1.9928626632784008,229,4.852912210817501,3,3,2,95,470.6666666666667
04/4/2018,4,17,0.898484484652151,71,0.9933412086904729,2,2,2,92,200.5
12/2/2018,5,10,3.0872408419046504,187,3.8269502988596833,4,6,2,91,260.0
08/4/2017,5,14,0.898484484652151,188,3.8513779634301075,2,2,3,95,507.5
02/11/2018,4,13,1.9928626632784008,102,1.750598810373624,3,3,4,88,192.0
06/16/2016,1,27,-0.19589369397409875,78,1.1643348606834425,1,0,3,88,412.0
01/24/2018,1,18,-0.19589369397409875,111,1.970447791507442,1,0,4,87,548.0
01/17/2017,1,18,-0.19589369397409875,37,0.1628006132960493,1,0,5,92,195.0
11/25/2018,1,7,0.898484484652151,54,0.5780709109932611,2,2,3,90,150.5
05/29/2017,1,12,-0.19589369397409875,8,-0.5456016592462533,1,0,0,90,38.0
03/23/2019,5,2,-0.19589369397409875,158,3.118548026317381,1,0,2,93,818.0
02/21/2017,5,5,-0.19589369397409875,174,3.5093906594441684,1,0,3,93,956.0
11/11/2017,1,7,-0.19589369397409875,75,1.0910518669721698,1,0,1,96,517.0
07/18/2018,5,2,0.898484484652151,115,2.068158449789139,2,2,2,95,337.0
01/6/2017,5,4,0.898484484652151,152,2.9719820388948355,2,2,2,94,412.5
04/9/2018,1,5,-0.19589369397409875,53,0.5536432464228369,1,0,3,92,253.0
07/28/2016,3,6,-0.19589369397409875,114,2.043730785218715,1,0,3,91,584.0
01/3/2017,5,6,-0.19589369397409875,75,1.0910518669721698,1,0,1,93,403.0
03/15/2019,5,1,3.0872408419046504,281,6.123150768479561,4,6,2,93,397.0
08/19/2017,5,3,-0.19589369397409875,92,1.5063221646693816,1,0,1,96,501.0
10/19/2018,5,1,-0.19589369397409875,113,2.0193031206482908,1,0,2,95,609.0
