Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
09/8/2018,1,163,-0.2368794328924158,121,2.2771582833770516,1,0,2,94,662.0
03/25/2017,5,247,-0.2368794328924158,309,7.2209396336993095,1,0,3,93,1559.0
12/3/2017,1,59,-0.2368794328924158,28,-0.1684356824738517,1,0,4,91,145.0
03/14/2018,2,34,-0.2368794328924158,106,1.88270764372368,1,0,2,96,510.0
06/23/2017,4,49,4.630506174485994,164,3.4079167837167166,4,6,2,93,223.75
01/30/2017,4,18,-0.2368794328924158,162,3.3553233650962673,1,0,1,97,868.0
11/23/2018,1,8,-0.2368794328924158,151,3.0660595626837948,1,0,2,94,821.0
02/16/2017,5,45,-0.2368794328924158,178,3.7760707140598635,1,0,3,93,954.0
01/14/2018,4,21,11.120353650990541,201,4.380895028195034,8,14,4,89,138.0
02/21/2018,2,13,-0.2368794328924158,167,3.486806911647391,1,0,4,91,921.0
09/8/2017,3,7,-0.2368794328924158,142,2.829389178891772,1,0,2,95,766.0
01/30/2018,1,16,1.3855824362337208,38,0.09453141062839598,2,1,4,88,100.5
02/12/2018,2,7,1.3855824362337208,73,1.014916236486263,2,2,2,93,200.5
12/11/2018,3,4,-0.2368794328924158,101,1.7512240971725563,1,0,2,95,505.0
03/19/2018,1,20,4.630506174485994,139,2.7504990509610976,4,6,2,91,189.75
04/11/2018,1,15,-0.2368794328924158,34,-0.010655426612503094,1,0,3,93,226.0
04/27/2015,5,7,1.3855824362337208,277,6.379444935772115,2,2,4,92,822.5
11/13/2016,3,6,-0.2368794328924158,118,2.198268155446377,1,0,2,95,708.0
09/12/2018,5,1,3.0080443053598573,184,3.9338509699212123,3,2,3,93,329.6666666666667
08/16/2018,1,5,-0.2368794328924158,22,-0.32621593833520035,1,0,3,93,107.0
10/16/2017,5,3,-0.2368794328924158,104,1.8301142251032305,1,0,5,92,558.0
09/5/2018,3,3,6.252968043612131,45,0.2786083757999694,5,4,2,89,55.6
07/23/2015,4,4,3.0080443053598573,236,5.3012798540529005,3,4,2,93,439.3333333333333
01/12/2018,1,20,-0.2368794328924158,52,0.46268534097154274,1,0,3,94,288.0
08/18/2016,5,3,-0.2368794328924158,162,3.3553233650962673,1,0,3,94,861.0
05/5/2016,1,110,-0.2368794328924158,41,0.1734215385590703,1,0,4,94,238.0
11/9/2018,1,2,3.0080443053598573,63,0.7519491433840152,3,2,7,88,123.66666666666667
07/6/2017,2,5,-0.2368794328924158,41,0.1734215385590703,1,0,2,96,221.0
09/11/2016,4,1,-0.2368794328924158,243,5.4853568192244735,1,0,2,94,1467.0
08/17/2017,4,1,1.3855824362337208,149,3.013466144063345,2,2,2,94,409.5
