Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
07/22/2018,4,1338,4.795412989467893,295,5.004380482533609,5,8,4,89,329.8
06/3/2017,4,1228,1.0226659611442594,112,1.4083902193190143,2,2,4,81,441.5
08/6/2018,1,177,2.2802483039188037,107,1.310139119231184,3,2,6,88,202.33333333333334
02/16/2017,5,366,-0.234916381630285,126,1.6834932995649396,1,0,3,92,634.0
02/18/2018,1,220,-0.234916381630285,70,0.5830809785812386,1,0,2,95,409.0
01/11/2016,5,1256,7.310577675016981,150,2.1550985799865257,7,6,2,91,109.71428571428571
07/1/2017,5,165,1.0226659611442594,242,3.962918821602606,2,1,2,94,583.5
11/20/2017,1,75,-0.234916381630285,146,2.076497699916261,1,0,2,95,742.0
09/7/2018,1,46,-0.234916381630285,81,0.7992333987744655,1,0,2,95,445.0
01/20/2015,5,1644,7.310577675016981,755,14.04348169061401,7,12,2,94,564.5714285714286
12/28/2017,4,46,4.795412989467893,608,11.154899348031794,5,8,2,94,615.4
09/13/2016,5,238,1.0226659611442594,454,8.128765465326616,2,2,2,94,1126.5
05/8/2018,1,41,-0.234916381630285,70,0.5830809785812386,1,0,3,91,450.0
12/11/2018,1,32,-0.234916381630285,100,1.1725875791082212,1,0,1,93,573.0
02/6/2018,5,36,1.0226659611442594,216,3.4520131011458877,2,2,2,93,590.0
01/3/2018,3,32,2.2802483039188037,178,2.7053047404783763,3,3,2,93,296.0
04/5/2017,5,75,-0.234916381630285,177,2.68565452046081,1,0,3,92,943.0
06/19/2018,1,30,-0.234916381630285,97,1.113636919055523,1,0,3,91,547.0
11/7/2017,5,28,4.795412989467893,217,3.4716633211634536,5,8,3,92,232.8
10/6/2016,5,41,3.5378306466933487,242,3.962918821602606,4,6,2,92,316.25
04/11/2018,4,11,4.795412989467893,272,4.552425422129589,5,8,2,93,274.8
03/24/2017,5,33,1.0226659611442594,338,5.849339943288951,2,2,3,94,891.5
03/31/2018,3,11,-0.234916381630285,190,2.941107380689169,1,0,2,94,984.0
07/9/2017,5,17,-0.234916381630285,59,0.36692855838801164,1,0,5,90,309.0
07/9/2016,5,21,-0.234916381630285,72,0.6223814186163708,1,0,2,93,369.0
05/10/2017,3,15,1.0226659611442594,182,2.7839056205486408,2,2,4,91,477.5
