Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
06/23/2018,5,318,1.5116808644336028,373,2.922035910596841,4,6,3,93,470.25
01/13/2018,5,269,0.901689393029518,235,1.5598467528781004,3,4,2,93,413.6666666666667
01/13/2018,5,1745,3.341655278645857,942,8.538598452205271,7,12,4,91,742.0
04/1/2018,4,265,0.2916979216254333,276,1.9645551258235232,2,2,3,90,731.0
05/28/2018,1,698,0.2916979216254333,265,1.855974830643044,2,2,2,94,715.5
07/15/2017,5,234,2.7316638072417723,308,2.2804250754394633,6,9,4,86,342.0
03/7/2018,4,334,2.1216723358376877,375,2.9417777824478373,5,8,4,91,422.6
02/8/2018,3,318,5.171629692858111,222,1.4315245858466248,10,12,3,84,148.1
12/17/2017,5,165,0.2916979216254333,108,0.3062378903398387,2,1,4,90,276.5
07/13/2018,4,196,-0.31829354977865143,164,0.8590103021677336,1,0,6,91,895.0
02/24/2019,2,121,-0.31829354977865143,169,0.9083649817952242,1,0,4,92,827.0
01/4/2019,1,122,-0.31829354977865143,89,0.11869010775537445,1,0,2,93,456.0
11/16/2017,5,149,0.2916979216254333,343,2.6259078328318974,2,2,4,90,885.5
05/24/2017,5,154,-0.31829354977865143,111,0.3358506981163331,1,0,3,93,550.0
04/26/2018,1,205,1.5116808644336028,194,1.155138379932677,4,6,3,87,252.5
06/27/2017,5,648,0.901689393029518,453,3.711710784636691,3,4,3,91,854.3333333333334
08/28/2018,1,99,0.2916979216254333,378,2.9713905902243316,2,2,3,93,962.0
11/6/2017,1,168,-0.31829354977865143,119,0.4148181855203181,1,0,2,93,588.0
12/17/2017,5,396,2.1216723358376877,310,2.3001669472904593,5,8,2,93,337.6
08/15/2017,5,255,17.371459120939804,1138,10.473301893602905,30,57,4,89,213.46666666666667
06/2/2018,4,62,0.901689393029518,217,1.3821699062191342,3,3,3,90,388.6666666666667
01/17/2018,1,466,0.901689393029518,170,0.9182359177207222,3,3,3,89,283.0
02/27/2018,1,119,1.5116808644336028,180,1.0169452769757035,4,6,3,91,239.5
09/16/2017,1,400,-0.31829354977865143,149,0.7109462632852617,1,0,3,92,768.0
06/11/2018,1,29,1.5116808644336028,392,3.1095836931813055,4,6,2,93,512.0
08/4/2017,1,199,-0.31829354977865143,165,0.8688812380932317,1,0,2,95,862.0
01/14/2019,1,19,-0.31829354977865143,166,0.8787521740187297,1,0,3,91,819.0
05/15/2015,5,6698,3.341655278645857,583,4.994932454951447,7,12,3,92,488.7142857142857
06/13/2017,2,25,0.2916979216254333,90,0.12856104368087257,2,2,3,92,235.5
11/22/2017,1,341,1.5116808644336028,303,2.2310703958119724,4,6,3,92,402.0
07/20/2018,1,16,0.2916979216254333,130,0.5233984807007974,2,2,4,88,358.5
12/28/2017,3,54,5.781621164262195,196,1.1748802517836734,11,16,2,89,103.45454545454545
08/23/2018,2,13,0.2916979216254333,216,1.372298970293636,2,2,2,95,604.5
02/13/2018,2,17,0.901689393029518,273,1.9349423180470289,3,4,3,90,463.0
04/27/2018,1,26,-0.31829354977865143,132,0.5431403525517936,1,0,3,92,703.0
07/27/2017,1,28,0.2916979216254333,120,0.4246891214458162,2,1,3,94,297.5
09/15/2017,1,20,-0.31829354977865143,73,-0.03924486705259549,1,0,2,91,393.0
07/20/2018,1,14,0.2916979216254333,79,0.01998074850039323,2,2,3,90,219.5
12/20/2017,1,17,-0.31829354977865143,61,-0.15769609815857294,1,0,3,95,289.0
11/11/2018,2,11,4.561638221454026,402,3.2082930524362867,9,8,3,90,247.66666666666666
04/11/2018,1,22,-0.31829354977865143,102,0.24701227478685,1,0,4,93,507.0
02/23/2018,1,15,-0.31829354977865143,69,-0.07872861075458798,1,0,1,96,349.0
11/2/2018,3,10,0.2916979216254333,719,6.33737974081919,2,2,3,91,1883.0
08/30/2017,1,18,-0.31829354977865143,79,0.01998074850039323,1,0,2,95,452.0
02/17/2018,2,13,3.9516467500499415,106,0.2864960184888425,8,10,2,88,76.25
08/21/2018,1,9,-0.31829354977865143,158,0.7997846866147448,1,0,1,92,819.0
04/11/2018,1,11,-0.31829354977865143,85,0.07920636405338195,1,0,2,94,462.0
11/18/2017,1,29,0.901689393029518,71,-0.05898673890359174,3,4,4,89,136.33333333333334
05/24/2018,3,8,2.1216723358376877,285,2.0533935491530064,5,8,2,92,299.6
01/26/2018,1,14,-0.31829354977865143,82,0.04959355627688759,1,0,3,92,390.0
05/22/2018,3,9,3.341655278645857,140,0.6221078399557787,7,9,4,84,97.42857142857143
12/22/2017,1,36,0.901689393029518,80,0.029851684425891353,3,2,3,86,126.66666666666666
11/28/2016,1,592,-0.31829354977865143,47,-0.2958892011155467,1,0,3,92,252.0
11/3/2016,4,29,-0.31829354977865143,35,-0.4143404322215241,1,0,4,87,195.0
07/1/2017,3,10,0.2916979216254333,121,0.4345600573713143,2,2,2,94,331.0
11/19/2017,1,9,0.2916979216254333,143,0.651720647732273,2,2,2,93,377.5
03/2/2019,1,5,-0.31829354977865143,274,1.944813253972527,1,0,1,96,1463.0
07/22/2017,1,13,-0.31829354977865143,38,-0.3847276244450297,1,0,3,92,231.0
12/8/2015,3,78,0.901689393029518,287,2.0731354210040025,3,4,2,94,524.3333333333334
10/4/2018,1,7,-0.31829354977865143,185,1.066299956603194,1,0,3,91,951.0
01/20/2018,2,9,-0.31829354977865143,74,-0.029373931127097373,1,0,4,91,399.0
11/21/2017,2,30,-0.31829354977865143,157,0.7899137506892467,1,0,4,93,822.0
07/7/2018,3,5,-0.31829354977865143,282,2.023780741376512,1,0,3,90,1527.0
10/7/2017,4,6,1.5116808644336028,331,2.50745660172592,4,6,2,94,428.75
05/18/2017,4,18,-0.31829354977865143,99,0.21739946701035565,1,0,3,93,474.0
09/23/2018,1,6,-0.31829354977865143,236,1.5697176888035984,1,0,2,93,1290.0
12/12/2017,2,8,0.901689393029518,161,0.8293974943912392,3,4,2,91,282.6666666666667
11/28/2017,2,9,0.2916979216254333,70,-0.06885767482908986,2,2,6,88,158.5
09/27/2018,5,4,2.7316638072417723,195,1.1650093158581754,6,10,3,90,178.16666666666666
06/28/2016,5,41,0.901689393029518,150,0.7208171992107598,3,4,3,93,277.3333333333333
07/19/2018,1,5,2.1216723358376877,350,2.6950043843103844,5,4,2,90,352.4
12/18/2017,1,22,1.5116808644336028,118,0.40494724959482,4,6,4,86,160.0
04/13/2018,4,5,-0.31829354977865143,163,0.8491393662422354,1,0,10,75,1304.0
05/13/2018,5,5,3.9516467500499415,429,3.4748083224247357,8,14,2,92,298.125
01/26/2018,5,5,2.1216723358376877,174,0.9577196614227147,5,4,2,93,184.4
10/4/2017,5,6,-0.31829354977865143,157,0.7899137506892467,1,0,3,91,774.0
09/26/2018,4,3,5.171629692858111,618,5.34041521234388,10,14,7,86,320.6
01/16/2018,1,8,-0.31829354977865143,93,0.15817385145736693,1,0,1,91,461.0
09/16/2017,4,23,-0.31829354977865143,230,1.5104920732506097,1,0,2,93,1247.0
07/8/2018,5,3,0.901689393029518,290,2.102748228780497,3,4,4,90,509.0
11/10/2017,2,5,1.5116808644336028,171,0.9281068536462204,4,4,2,93,210.75
02/10/2018,5,4,-0.31829354977865143,210,1.3130733547406472,1,0,4,91,1068.0
02/14/2018,2,6,-0.31829354977865143,89,0.11869010775537445,1,0,2,93,438.0
07/13/2018,5,3,0.901689393029518,258,1.786878279164557,3,4,5,90,441.3333333333333
01/4/2017,1,273,5.171629692858111,167,0.8886231099442279,10,9,3,90,89.2
10/20/2018,1,5,-0.31829354977865143,72,-0.04911580297809362,1,0,6,91,389.0
01/17/2018,1,7,-0.31829354977865143,106,0.2864960184888425,1,0,3,95,521.0
04/23/2017,4,9,-0.31829354977865143,81,0.03972262035138947,1,0,2,96,407.0
11/26/2018,1,5,-0.31829354977865143,132,0.5431403525517936,1,0,2,96,709.0
02/7/2019,3,4,0.2916979216254333,192,1.135396508081681,2,1,3,93,537.0
02/12/2019,4,3,2.7316638072417723,326,2.4581019220984293,6,10,3,92,293.8333333333333
12/21/2017,5,5,0.2916979216254333,141,0.6319787758812767,2,2,3,92,385.0
03/31/2019,5,2,0.901689393029518,175,0.9675905973482128,3,2,3,90,324.6666666666667
07/15/2018,2,10,-0.31829354977865143,165,0.8688812380932317,1,0,3,92,867.0
07/25/2017,2,6,0.2916979216254333,92,0.1483029155318688,2,2,3,92,265.5
11/9/2018,1,4,-0.31829354977865143,163,0.8491393662422354,1,0,14,82,841.0
12/14/2017,4,3,0.901689393029518,505,4.224999452762593,3,2,2,92,866.0
11/26/2018,5,2,-0.31829354977865143,168,0.898494045869726,1,0,6,91,980.0
06/19/2017,4,4,0.901689393029518,180,1.0169452769757035,3,4,2,93,302.6666666666667
01/12/2018,5,3,2.1216723358376877,261,1.8164910869410513,5,8,3,90,306.6
04/27/2018,4,2,2.1216723358376877,269,1.8954585743450365,5,8,5,88,282.2
09/27/2017,1,28,0.901689393029518,105,0.2766250825633444,3,3,3,90,186.0
08/15/2018,4,2,1.5116808644336028,207,1.283460546964153,4,3,3,92,280.0
04/25/2018,5,2,6.39161263566628,397,3.158938372808796,12,21,2,89,163.41666666666666
05/28/2018,5,2,1.5116808644336028,297,2.1718447802589838,4,6,3,91,386.0
02/1/2019,1,2,-0.31829354977865143,161,0.8293974943912392,1,0,2,96,829.0
11/20/2018,1,7,-0.31829354977865143,22,-0.5426625992529996,1,0,4,89,135.0
01/10/2018,5,2,0.901689393029518,323,2.428489114321935,3,2,2,92,582.3333333333334
01/12/2018,4,2,3.9516467500499415,507,4.24474132461359,8,14,3,91,353.125
08/10/2017,3,4,-0.31829354977865143,210,1.3130733547406472,1,0,2,96,1019.0
10/8/2018,3,1,3.341655278645857,363,2.82332655134186,7,12,3,89,279.42857142857144
11/19/2018,5,3,-0.31829354977865143,235,1.5598467528781004,1,0,3,93,1287.0
04/18/2017,4,13,0.2916979216254333,193,1.145267444007179,2,2,4,91,477.0
01/17/2018,3,2,0.2916979216254333,243,1.6388142402820853,2,2,3,94,593.5
06/13/2016,3,7,-0.31829354977865143,114,0.3654635058928275,1,0,2,95,605.0
01/16/2019,1,2,2.7316638072417723,227,1.4808792654741154,6,8,3,90,191.16666666666666
07/10/2018,2,2,-0.31829354977865143,198,1.1946221236346697,1,0,3,93,1001.0
03/28/2019,2,1,-0.31829354977865143,262,1.8263620228665496,1,0,3,94,1380.0
01/4/2019,2,2,-0.31829354977865143,165,0.8688812380932317,1,0,2,93,910.0
11/19/2018,5,2,0.2916979216254333,147,0.6912043914342655,2,2,2,91,350.5
05/11/2017,1,30,-0.31829354977865143,139,0.6122369040302805,1,0,1,94,741.0
08/25/2017,5,3,-0.31829354977865143,195,1.1650093158581754,1,0,3,93,983.0
01/14/2019,2,2,-0.31829354977865143,131,0.5332694166262956,1,0,2,95,678.0
