Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
12/24/2017,1,154,-0.19393996184582557,80,1.1019229680625473,1,0,3,91,400.0
09/30/2017,1,126,-0.19393996184582557,111,1.808751556250326,1,0,4,92,577.0
05/29/2017,1,166,1.8220679575494516,159,2.9031958218314027,3,4,2,92,281.6666666666667
03/11/2018,2,81,-0.19393996184582557,141,2.492779222238499,1,0,2,94,767.0
08/23/2017,1,96,-0.19393996184582557,77,1.0335202014637301,1,0,3,94,363.0
07/26/2017,5,48,-0.19393996184582557,54,0.5090989908727974,1,0,3,91,280.0
10/24/2018,2,19,1.8220679575494516,107,1.717547867451903,3,4,3,84,183.66666666666666
12/7/2017,1,20,0.814063997851813,97,1.4895386454558452,2,2,3,92,272.5
08/14/2017,3,23,-0.19393996184582557,67,0.8055109794676725,1,0,2,92,332.0
08/2/2018,4,14,3.8380758769447283,229,4.4992603758038054,5,8,5,86,284.0
07/26/2013,5,103,1.8220679575494516,179,3.3592142658235176,3,4,3,91,349.0
12/1/2018,4,9,1.8220679575494516,354,7.349375650754525,3,3,3,91,612.6666666666666
09/12/2018,5,11,-0.19393996184582557,67,0.8055109794676725,1,0,2,96,360.0
02/3/2017,5,12,3.8380758769447283,230,4.522061298003411,5,7,3,89,239.2
03/28/2018,3,8,-0.19393996184582557,168,3.108404121627854,1,0,2,92,917.0
06/14/2018,2,8,0.814063997851813,86,1.2387285012601819,2,2,6,90,224.0
05/4/2018,2,5,23.9981550708975,1016,22.44358614689354,25,38,3,88,229.2
12/6/2018,5,6,0.814063997851813,126,2.1507653892444125,2,1,3,93,359.5
11/8/2016,1,17,-0.19393996184582557,157,2.857593977432191,1,0,1,95,854.0
06/8/2016,4,20,4.846079836642367,198,3.792431787616027,6,5,4,87,176.83333333333334
09/4/2018,4,6,1.8220679575494516,47,0.3494925354755571,3,2,6,87,100.0
12/30/2018,3,1,-0.19393996184582557,253,5.0464825085943446,1,0,1,96,1257.0
09/24/2018,5,4,-0.19393996184582557,85,1.2159275790605761,1,0,2,95,470.0
12/16/2018,1,2,-0.19393996184582557,118,1.9683580116475663,1,0,2,92,655.0
09/7/2016,4,4,2.83007191724709,226,4.430857609204988,4,4,4,88,364.5
08/23/2017,3,10,1.8220679575494516,182,3.427617032422335,3,3,4,92,315.6666666666667
01/27/2018,5,3,0.814063997851813,104,1.6491451008530855,2,2,2,92,299.0
04/21/2017,1,61,-0.19393996184582557,58,0.6003026796712205,1,0,2,97,312.0
05/23/2016,4,3,5.854083796340006,274,5.525301874786065,7,12,2,90,205.14285714285714
02/23/2019,4,0,3.8380758769447283,326,6.710949829165564,5,7,4,89,370.2
06/25/2017,1,4,-0.19393996184582557,108,1.7403487896515086,1,0,4,87,485.0
06/16/2017,5,3,-0.19393996184582557,122,2.059561700445989,1,0,4,93,589.0
07/21/2017,2,1,3.8380758769447283,211,4.0888437762109024,5,5,4,87,229.8
12/29/2017,5,1,-0.19393996184582557,163,2.9943995106298256,1,0,2,93,915.0
10/2/2016,5,2,1.8220679575494516,240,4.750070519999469,3,4,2,92,440.6666666666667
12/25/2017,5,1,-0.19393996184582557,148,2.6523856776357393,1,0,3,92,953.0
08/30/2017,5,2,-0.19393996184582557,124,2.1051635448452006,1,0,3,93,704.0
10/31/2017,5,1,3.8380758769447283,238,4.704468675600258,5,5,3,92,270.4
08/10/2017,3,2,-0.19393996184582557,129,2.2191681558432297,1,0,2,89,682.0
09/11/2017,1,3,-0.19393996184582557,82,1.1475248124617587,1,0,2,94,491.0
03/26/2016,4,2,3.8380758769447283,236,4.658866831201046,5,7,2,92,248.6
01/30/2019,3,1,-0.19393996184582557,99,1.5351404898550567,1,0,2,90,519.0
08/19/2018,4,4,0.814063997851813,28,-0.08372498631695237,2,1,4,91,72.5
02/23/2017,5,1,-0.19393996184582557,203,3.9064363986140562,1,0,1,96,1087.0
01/22/2019,3,1,1.8220679575494516,176,3.2908114992247004,3,4,2,88,296.0
01/28/2019,1,0,1.8220679575494516,153,2.766390288633768,3,2,2,93,254.66666666666669
08/27/2018,4,0,0.814063997851813,169,3.13120504382746,2,2,2,94,436.0
10/7/2018,4,0,1.8220679575494516,148,2.6523856776357393,3,2,1,94,273.6666666666667
02/28/2019,5,0,-0.19393996184582557,139,2.4471773778392873,1,0,4,90,723.0
07/14/2017,3,1,1.8220679575494516,176,3.2908114992247004,3,4,2,92,325.0
01/10/2017,4,1,2.83007191724709,171,3.176806888226672,4,6,1,93,229.75
11/15/2018,5,0,4.846079836642367,128,2.196367233643624,6,7,3,90,110.33333333333333
04/2/2019,3,0,-0.19393996184582557,123,2.082362622645595,1,0,2,93,646.0
06/29/2017,3,5,-0.19393996184582557,86,1.2387285012601819,1,0,3,88,486.0
03/24/2017,5,2,10.894103594828199,216,4.202848387208931,12,14,2,89,99.25
11/1/2018,5,0,-0.19393996184582557,129,2.2191681558432297,1,0,2,95,691.0
12/10/2018,4,0,2.83007191724709,136,2.37877461124047,4,4,2,91,177.75
06/10/2017,3,1,-0.19393996184582557,202,3.88363547641445,1,0,3,95,1061.0
04/11/2018,5,1,0.814063997851813,98,1.512339567655451,2,1,2,94,264.0
06/18/2017,3,1,0.814063997851813,237,4.681667753400652,2,1,2,95,657.5
03/15/2018,4,1,-0.19393996184582557,110,1.78595063405072,1,0,2,94,528.0
11/1/2016,5,1,0.814063997851813,148,2.6523856776357393,2,2,3,90,431.5
08/23/2017,2,1,-0.19393996184582557,127,2.1735663114440182,1,0,2,95,612.0
04/12/2018,5,0,3.8380758769447283,125,2.127964467044807,5,5,2,91,146.8
11/19/2018,4,2,2.83007191724709,96,1.4667377232562395,4,5,2,90,134.75
03/21/2016,5,1,5.854083796340006,177,3.313612421424306,7,6,4,85,136.85714285714286
