Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
01/15/2018,5,1035,-0.26413281802567873,218,3.3967543967312346,1,0,3,94,1205.0
11/25/2017,5,248,-0.26413281802567873,530,10.044398537038123,1,0,3,94,2930.0
05/18/2018,1,112,-0.26413281802567873,57,-0.033600432080974206,1,0,3,93,249.0
09/28/2017,5,107,4.313559002176728,456,8.467713708888413,5,4,2,92,480.2
08/20/2018,1,70,2.0247130920755247,137,1.6709237064592537,3,2,2,93,274.6666666666667
08/3/2018,1,64,-0.26413281802567873,169,2.352733361875345,1,0,3,95,863.0
07/20/2018,1,48,-0.26413281802567873,81,0.47775680948109417,1,0,1,96,466.0
09/6/2018,1,44,-0.26413281802567873,109,1.074340257970174,1,0,2,94,563.0
01/6/2018,5,129,0.880290137024923,174,2.4592661205341093,2,1,4,92,440.5
07/22/2018,3,41,10.035673777429736,261,4.312936121196607,10,9,3,91,135.6
09/22/2018,1,36,-0.26413281802567873,128,1.479164740873478,1,0,3,94,740.0
08/16/2018,5,35,-0.26413281802567873,211,3.2476085346089647,1,0,3,94,1097.0
09/23/2018,1,36,-0.26413281802567873,85,0.5629830164081056,1,0,2,95,463.0
08/14/2017,5,56,2.0247130920755247,172,2.4166530170706038,3,4,3,91,321.3333333333333
07/6/2018,5,32,0.880290137024923,196,2.9280102586326717,2,2,4,92,529.0
04/21/2018,3,34,0.880290137024923,148,1.9052957755085351,2,2,3,91,384.0
11/28/2017,5,34,3.169136047126126,217,3.375447844999482,4,3,3,91,323.0
10/23/2016,3,42,6.6024049122779305,363,6.486204397835398,7,12,7,87,275.14285714285717
05/12/2017,2,46,2.0247130920755247,125,1.4152450856782195,3,4,4,91,233.33333333333334
06/23/2016,5,1677,16.902211507733345,513,9.682187157598326,16,16,5,88,177.125
12/19/2017,5,4,12.32451968753094,313,5.420876811247755,12,14,4,88,151.5
11/12/2018,4,1,-0.26413281802567873,271,4.526001638514136,1,0,3,95,1443.0
11/20/2018,5,1,7.746827867328532,238,3.8228854313662914,8,10,3,90,175.5
10/10/2018,4,1,3.169136047126126,231,3.6737395692440216,4,4,7,88,324.75
08/15/2018,5,1,-0.26413281802567873,196,2.9280102586326717,1,0,2,95,1107.0
10/3/2017,5,2,0.880290137024923,217,3.375447844999482,2,2,1,95,606.5
