Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
10/6/2015,5,2617,5.10392250194249,310,2.548166992625576,9,11,4,89,202.55555555555554
10/7/2017,3,44,-0.2715981825857913,51,-0.06609748852655054,1,0,11,79,284.0
09/25/2018,5,18,-0.2715981825857913,129,0.7212099613957116,1,0,1,96,701.0
04/18/2018,5,16,-0.2715981825857913,160,1.0341142043135336,1,0,4,92,862.0
10/8/2017,5,16,0.4003419029802438,106,0.4890552005211984,2,1,5,89,280.5
08/1/2018,5,10,-0.2715981825857913,168,1.1148636863568426,1,0,3,93,927.0
10/6/2015,5,664,2.416162159678349,524,4.7082156372840895,5,8,3,92,600.6
07/27/2017,5,10,0.4003419029802438,97,0.39821203322247584,2,1,3,93,260.0
10/6/2015,5,520,-0.2715981825857913,70,0.1256825313263082,1,0,1,97,421.0
07/15/2017,5,4,1.0722819885462789,181,1.2460815946772197,3,4,3,93,338.0
02/21/2019,5,1,2.416162159678349,430,3.75940922327521,5,8,3,93,456.4
05/14/2018,5,3,-0.2715981825857913,104,0.46886783001037113,1,0,5,91,639.0
10/23/2018,3,3,-0.2715981825857913,222,1.6599226901491777,1,0,5,92,1224.0
06/3/2017,5,3,-0.2715981825857913,181,1.2460815946772197,1,0,7,88,967.0
09/7/2018,5,1,2.416162159678349,331,2.760134382989262,5,5,3,93,344.6
09/23/2016,5,3,1.7442220741123142,223,1.6700163754045914,4,6,2,93,314.25
02/26/2017,5,3,2.416162159678349,143,0.8625215549715022,5,4,2,93,163.8
10/5/2017,5,2,1.0722819885462789,140,0.8322404992052613,3,4,3,92,265.0
01/6/2017,5,3,1.0722819885462789,182,1.2561752799326331,3,4,3,91,297.0
04/13/2017,5,5,-0.2715981825857913,79,0.2165256986250307,1,0,12,85,424.0
07/26/2016,5,12,0.4003419029802438,202,1.4580489850409053,2,2,3,93,531.5
02/14/2016,5,41,1.7442220741123142,776,7.251824321648321,4,6,2,95,1086.0
07/6/2017,5,2,1.0722819885462789,157,1.0038331485472929,3,4,3,92,269.0
06/10/2016,5,3,2.416162159678349,180,1.235987909421806,5,8,3,90,200.0
03/4/2016,3,7,-0.2715981825857913,85,0.27708781015751244,1,0,4,92,436.0
12/28/2018,3,1,-0.2715981825857913,117,0.6000857383307482,1,0,3,95,624.0
03/7/2017,5,17,-0.2715981825857913,212,1.5589858375950416,1,0,2,93,1173.0
01/11/2019,5,0,-0.2715981825857913,173,1.1653321126339107,1,0,2,94,930.0
07/20/2017,5,2,0.4003419029802438,121,0.6404604793524026,2,2,2,94,339.5
08/8/2016,5,3,-0.2715981825857913,167,1.104770001101429,1,0,5,89,792.0
08/31/2018,5,1,0.4003419029802438,130,0.7313036466511251,2,2,2,94,343.0
06/29/2016,5,12,-0.2715981825857913,142,0.8524278697160885,1,0,3,96,801.0
03/17/2014,5,6,1.0722819885462789,330,2.7500406977338483,3,2,4,92,593.3333333333334
08/1/2017,5,3,1.0722819885462789,196,1.3974868735084236,3,2,4,93,337.3333333333333
08/3/2017,5,4,-0.2715981825857913,60,0.024745678772172014,1,0,12,85,322.0
