Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
04/4/2018,2,1720,1.4541095145009886,310,3.7088392691367695,3,2,2,93,581.3333333333334
04/14/2018,1,572,-0.22655335477893357,219,2.3439300698430108,1,0,2,96,1164.0
02/3/2018,1,2390,-0.22655335477893357,272,3.1388771859152,1,0,3,94,1433.0
08/24/2017,1,1666,2.2944409491409496,261,2.9738881618247457,4,6,4,89,378.5
02/17/2018,2,279,-0.22655335477893357,258,2.9288911552546217,1,0,8,88,1341.0
11/27/2018,1,127,4.815435253060833,759,10.443391252465315,7,12,4,90,600.2857142857143
12/28/2017,1,258,-0.22655335477893357,209,2.193940047942598,1,0,1,95,1160.0
01/20/2018,1,226,0.6137780798610275,116,0.7990328442687563,2,2,3,92,322.5
06/14/2017,5,1476,0.6137780798610275,208,2.1789410457525564,2,2,3,91,593.5
07/21/2018,1,147,6.496098122340754,303,3.60384625380648,9,16,6,87,181.77777777777777
11/5/2017,1,1131,-0.22655335477893357,271,3.1238781837251586,1,0,3,92,1527.0
12/4/2017,1,112,-0.22655335477893357,76,0.19907275666710417,1,0,3,93,388.0
12/5/2017,3,120,6.496098122340754,604,8.118545913008912,9,13,2,93,351.6666666666667
07/14/2018,5,86,-0.22655335477893357,51,-0.17590229808392843,1,0,1,95,272.0
08/3/2017,5,637,-0.22655335477893357,196,1.9989530194720608,1,0,3,92,1084.0
01/25/2018,1,55,-0.22655335477893357,138,1.1290108924496651,1,0,4,92,687.0
12/19/2017,2,176,3.9751038184208713,314,3.7688352778969345,6,8,5,89,319.3333333333333
06/13/2017,5,775,12.378418164820483,762,10.488388259035437,16,22,3,92,253.125
11/6/2017,1,44,0.6137780798610275,97,0.5140518026579716,2,2,2,94,267.0
01/25/2018,3,31,1.4541095145009886,432,5.538717536321808,3,4,3,92,714.3333333333334
05/22/2018,1,38,2.2944409491409496,221,2.3739280742230933,4,3,6,86,296.75
07/15/2018,5,21,0.6137780798610275,188,1.8789610019517302,2,2,2,95,517.5
12/26/2017,2,329,-0.22655335477893357,133,1.0540158814994587,1,0,13,82,696.0
02/8/2018,1,24,-0.22655335477893357,159,1.4439899384405326,1,0,2,95,838.0
05/21/2018,1,21,2.2944409491409496,258,2.9288911552546217,4,6,2,92,346.0
05/3/2018,1,18,2.2944409491409496,141,1.174007899019789,4,5,4,90,195.0
07/29/2017,5,22,-0.22655335477893357,85,0.3340637763774759,1,0,1,96,455.0
