Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
04/26/2018,5,56,-0.18077087225438415,115,2.0135806919782993,1,0,10,84,583.0
05/7/2017,4,64,6.666610652532899,422,9.382318055757615,5,5,3,92,452.4
05/14/2018,1,37,-0.18077087225438415,140,2.613640737888667,1,0,6,92,765.0
01/6/2018,1,21,-0.18077087225438415,42,0.2614053579200253,1,0,2,98,203.0
10/18/2016,1,292,3.2429198901392575,184,3.6697464186909143,3,4,3,91,353.6666666666667
03/13/2017,1,24,-0.18077087225438415,42,0.2614053579200253,1,0,3,91,224.0
08/9/2018,1,12,-0.18077087225438415,73,1.0054798148488813,1,0,3,92,397.0
07/23/2018,4,8,8.378456033729721,198,4.00578004440072,6,10,4,90,172.33333333333334
08/7/2017,2,12,-0.18077087225438415,126,2.277607112178861,1,0,2,97,658.0
09/23/2017,1,50,-0.18077087225438415,42,0.2614053579200253,1,0,5,93,216.0
12/30/2017,1,14,-0.18077087225438415,53,0.5254317781205871,1,0,1,96,300.0
02/6/2018,3,8,8.378456033729721,311,6.718051451915582,6,10,2,92,276.1666666666667
10/27/2017,1,16,1.5310745089424367,144,2.709650345234326,2,1,2,94,411.0
12/4/2017,5,7,8.378456033729721,155,2.9736767654348877,6,5,4,90,130.33333333333334
09/26/2018,5,5,3.2429198901392575,174,3.4297224003267672,3,3,3,92,306.6666666666667
01/8/2018,3,5,1.5310745089424367,188,3.7657560260365734,2,2,3,91,521.0
10/17/2017,1,9,-0.18077087225438415,79,1.1494942258673695,1,0,4,94,408.0
09/27/2018,3,3,-0.18077087225438415,239,4.989878519693724,1,0,3,94,1270.0
10/16/2017,1,13,-0.18077087225438415,25,-0.14663547329902477,1,0,1,98,132.0
04/25/2018,2,7,-0.18077087225438415,59,0.6694461891390754,1,0,7,88,325.0
01/13/2018,2,4,6.666610652532899,198,4.00578004440072,5,5,4,91,217.4
12/13/2017,1,14,-0.18077087225438415,90,1.4135206460679315,1,0,5,90,447.0
03/4/2018,5,4,-0.18077087225438415,150,2.853664756252814,1,0,4,94,824.0
11/23/2018,5,4,-0.18077087225438415,141,2.6376431397250815,1,0,2,94,749.0
