Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
09/13/2016,4,413,0.9458359907701409,90,1.0575640496200023,2,2,2,93,245.0
08/25/2016,5,321,2.1029634568456745,52,0.26658493867588245,3,2,5,88,88.33333333333333
08/11/2017,1,55,5.574345855072275,232,4.013328095779608,6,9,3,91,208.33333333333334
02/1/2018,1,52,-0.21129147530539252,166,2.639522271508242,1,0,2,93,844.0
09/3/2016,5,274,-0.21129147530539252,185,3.035011826980302,1,0,2,94,955.0
02/8/2017,5,54,2.1029634568456745,162,2.5562613124614924,3,3,2,91,273.3333333333333
10/3/2016,5,57,0.9458359907701409,105,1.3697926460453127,2,2,4,88,290.5
11/17/2016,1,37,2.1029634568456745,193,3.201533745073801,3,4,2,93,352.0
04/10/2017,4,19,11.359983185449941,319,5.82425395504641,11,10,3,91,152.9090909090909
11/18/2017,1,32,0.9458359907701409,129,1.8693584003258095,2,1,3,92,339.0
09/23/2016,5,22,-0.21129147530539252,23,-0.33705701441305114,1,0,4,93,119.0
09/12/2018,1,6,5.574345855072275,264,4.6794157681536035,6,10,16,78,226.16666666666666
01/29/2017,5,13,-0.21129147530539252,56,0.3498458977226319,1,0,3,95,313.0
07/6/2017,1,9,-0.21129147530539252,163,2.57707655222318,1,0,7,89,863.0
01/4/2018,5,7,-0.21129147530539252,168,2.6811527510316164,1,0,2,94,840.0
07/7/2017,2,6,-0.21129147530539252,246,4.304741452443231,1,0,2,93,1419.0
09/23/2016,2,21,-0.21129147530539252,56,0.3498458977226319,1,0,3,92,253.0
01/28/2017,4,10,-0.21129147530539252,73,0.7037049736713171,1,0,2,95,411.0
02/25/2017,5,9,-0.21129147530539252,60,0.4331068567693814,1,0,2,97,310.0
09/25/2016,5,17,-0.21129147530539252,240,4.179850013873107,1,0,17,75,1575.0
05/19/2017,1,6,-0.21129147530539252,111,1.4946840846154368,1,0,3,93,623.0
09/28/2017,3,3,6.731473321147808,229,3.9508823764945458,7,11,3,89,171.85714285714286
04/12/2017,1,7,-0.21129147530539252,101,1.2865316869985632,1,0,2,93,512.0
11/25/2017,2,3,-0.21129147530539252,210,3.555392821022486,1,0,2,96,1164.0
02/12/2018,1,3,0.9458359907701409,190,3.139088025788739,2,1,3,94,484.5
09/16/2016,5,19,-0.21129147530539252,47,0.16250873986744563,1,0,4,93,239.0
05/31/2017,2,3,2.1029634568456745,183,2.993381347456927,3,4,2,93,348.0
09/18/2016,4,4,2.1029634568456745,140,2.0983260377043704,3,4,7,87,241.0
10/27/2018,3,1,2.1029634568456745,204,3.430501382452362,3,4,4,92,347.3333333333333
04/4/2018,2,2,-0.21129147530539252,131,1.910988879849184,1,0,3,95,635.0
08/18/2017,2,2,2.1029634568456745,355,6.573602586467154,3,4,2,94,615.6666666666666
07/21/2018,5,2,-0.21129147530539252,300,5.42876439957435,1,0,2,96,1535.0
12/16/2016,3,3,2.1029634568456745,354,6.552787346705467,3,2,3,92,624.3333333333334
09/21/2016,5,4,-0.21129147530539252,114,1.5571298039004988,1,0,3,94,597.0
12/5/2016,1,7,5.574345855072275,119,1.6612060027089357,6,7,2,92,100.83333333333333
03/7/2019,1,1,15.988493049752075,583,11.319477252131872,15,24,2,89,216.06666666666666
06/3/2018,2,3,0.9458359907701409,139,2.0775107979426832,2,2,2,94,394.5
09/27/2016,5,4,-0.21129147530539252,140,2.0983260377043704,1,0,3,96,688.0
03/22/2017,2,4,-0.21129147530539252,232,4.013328095779608,1,0,3,95,1205.0
09/22/2016,4,2,4.417218388996742,193,3.201533745073801,5,8,3,90,197.2
08/23/2018,3,0,-0.21129147530539252,260,4.596154809106854,1,0,3,91,1306.0
07/20/2018,1,2,0.9458359907701409,92,1.0991945291433771,2,1,3,93,253.0
10/26/2016,1,4,-0.21129147530539252,101,1.2865316869985632,1,0,2,95,510.0
03/24/2018,1,2,12.517110651525474,260,4.596154809106854,12,12,2,91,117.5
10/12/2016,4,1,17.14562051582761,694,13.629968865679169,16,23,3,91,227.1875
12/30/2018,2,0,-0.21129147530539252,279,4.991644364578914,1,0,2,95,1580.0
09/16/2016,3,53,0.9458359907701409,104,1.3489774062836253,2,2,5,89,269.0
11/6/2016,2,1,10.202855719374408,225,3.8676214174477965,10,18,2,90,121.2
08/3/2018,4,0,-0.21129147530539252,140,2.0983260377043704,1,0,6,90,830.0
01/17/2019,1,1,0.9458359907701409,92,1.0991945291433771,2,1,2,94,256.0
10/9/2017,5,0,-0.21129147530539252,316,5.761808235761348,1,0,2,95,1677.0
