Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
03/10/2018,5,1577,11.370934879476472,717,8.51871599242415,17,21,4,90,224.35294117647058
07/12/2018,1,244,-0.22052184004190997,164,1.4366434976336255,1,0,5,91,979.0
07/8/2018,1,206,6.299672564687181,245,2.473981421825366,10,11,2,89,127.5
04/2/2018,4,130,-0.22052184004190997,416,4.663917039563485,1,0,3,93,2191.0
03/26/2017,4,720,0.503944204927989,181,1.654356395303497,2,2,4,92,455.0
04/25/2017,5,264,-0.22052184004190997,38,-0.17699327333130416,1,0,3,92,195.0
07/8/2017,4,91,-0.22052184004190997,264,2.717307601574046,1,0,3,94,1379.0
05/12/2017,5,462,0.503944204927989,176,1.590323190106476,2,2,5,91,430.5
12/25/2017,3,73,4.850740474747382,671,7.929610504611556,8,14,2,92,437.75
05/28/2017,1,84,-0.22052184004190997,125,0.9371844970968616,1,0,4,90,679.0
09/8/2018,1,36,-0.22052184004190997,211,2.038555626485623,1,0,2,93,1131.0
03/27/2018,1,41,-0.22052184004190997,131,1.0140243433332867,1,0,4,93,641.0
05/18/2018,5,35,0.503944204927989,329,3.549739269135319,2,1,3,89,942.5
09/23/2018,1,27,6.299672564687181,275,2.858180653007492,10,15,3,90,154.2
06/23/2017,2,37,-0.22052184004190997,101,0.6298251121511607,1,0,5,93,502.0
11/4/2017,5,25,-0.22052184004190997,158,1.3598036513972003,1,0,2,93,842.0
07/16/2018,1,35,1.2284102498978877,198,1.8720692929733684,3,4,2,93,373.0
05/6/2017,1,35,-0.22052184004190997,72,0.25843252200843875,1,0,3,94,444.0
02/16/2018,2,16,-0.22052184004190997,187,1.7311962415399222,1,0,3,93,1031.0
06/25/2017,5,20,-0.22052184004190997,92,0.5145653427965228,1,0,4,93,483.0
09/29/2017,1,17,-0.22052184004190997,72,0.25843252200843875,1,0,2,94,427.0
09/9/2017,5,18,-0.22052184004190997,36,-0.20260655541011258,1,0,2,96,197.0
05/10/2017,1,70,1.2284102498978877,186,1.718389600500518,3,4,2,94,356.0
04/12/2017,5,158,-0.22052184004190997,107,0.7066649583875859,1,0,3,91,571.0
03/1/2018,1,13,-0.22052184004190997,118,0.8475380098210322,1,0,3,94,599.0
04/2/2018,1,17,2.6773423398376854,308,3.280799807307831,5,8,3,92,334.8
10/25/2018,1,8,-0.22052184004190997,108,0.71947159942699,1,0,4,88,586.0
12/18/2017,1,11,-0.22052184004190997,132,1.026830984372691,1,0,3,94,749.0
08/2/2017,2,9,1.2284102498978877,212,2.051362267525027,3,2,5,87,356.3333333333333
06/13/2017,5,22,-0.22052184004190997,120,0.8731512918998406,1,0,2,95,603.0
10/24/2018,1,5,4.850740474747382,389,4.318137731499571,8,14,4,89,285.75
11/5/2018,1,5,1.2284102498978877,238,2.3843349345495364,3,4,5,88,440.0
10/28/2017,1,12,-0.22052184004190997,46,-0.07454014501607054,1,0,6,93,245.0
07/17/2018,1,9,-0.22052184004190997,78,0.33527236824486395,1,0,4,94,391.0
07/12/2017,3,9,1.9528762948677865,153,1.2957704462001793,4,5,3,91,190.5
07/3/2017,5,8,-0.22052184004190997,145,1.1933173178849457,1,0,2,95,739.0
07/25/2017,1,21,-0.22052184004190997,82,0.3864989324024808,1,0,4,93,422.0
01/3/2018,4,8,0.503944204927989,92,0.5145653427965228,2,2,2,92,243.5
04/24/2017,4,38,-0.22052184004190997,19,-0.42031945307998403,1,0,3,89,131.0
09/30/2017,1,11,-0.22052184004190997,93,0.527371983835927,1,0,1,94,512.0
08/26/2017,1,11,-0.22052184004190997,78,0.33527236824486395,1,0,3,95,472.0
02/6/2019,1,4,-0.22052184004190997,205,1.9617157802491978,1,0,4,91,1189.0
10/12/2017,1,12,-0.22052184004190997,11,-0.5227725813952177,1,0,4,88,77.0
06/2/2018,4,4,7.748604654626979,1014,12.322288381127198,12,22,3,91,461.8333333333333
04/23/2018,3,5,1.2284102498978877,169,1.5006767028306465,3,4,3,91,300.0
03/28/2018,2,6,3.4018083848075844,141,1.1420907537273288,6,10,6,87,139.83333333333334
02/28/2019,3,4,0.503944204927989,132,1.026830984372691,2,2,4,88,318.5
01/29/2018,1,9,-0.22052184004190997,67,0.19439931681141773,1,0,5,89,354.0
07/14/2017,1,7,-0.22052184004190997,95,0.5529852659147354,1,0,3,94,484.0
09/17/2017,4,6,-0.22052184004190997,135,1.0652509074909036,1,0,2,95,699.0
11/7/2017,5,6,-0.22052184004190997,104,0.6682450352693733,1,0,4,93,574.0
09/15/2017,1,11,-0.22052184004190997,35,-0.21541319644951676,1,0,6,86,182.0
03/14/2019,3,3,1.2284102498978877,136,1.0780575485303079,3,4,3,91,278.3333333333333
06/24/2018,1,7,0.503944204927989,82,0.3864989324024808,2,2,1,94,218.0
12/3/2017,2,5,7.748604654626979,331,3.5753525512141273,12,18,4,88,148.58333333333334
11/23/2018,1,6,-0.22052184004190997,90,0.4889520607177144,1,0,3,92,491.0
03/13/2018,1,7,-0.22052184004190997,130,1.0012177022938826,1,0,0,98,624.0
04/2/2018,3,3,1.2284102498978877,350,3.8186787309628074,3,4,2,94,640.3333333333334
11/19/2018,2,3,-0.22052184004190997,118,0.8475380098210322,1,0,3,93,606.0
06/27/2018,4,2,3.4018083848075844,265,2.73011424261345,6,10,2,92,233.66666666666666
12/12/2017,5,3,1.2284102498978877,338,3.664999038489957,3,4,7,88,552.0
07/12/2017,4,4,-0.22052184004190997,255,2.602047832219408,1,0,2,94,1306.0
09/8/2017,1,8,0.503944204927989,64,0.15597939369320513,2,1,2,96,161.0
03/7/2018,3,3,1.9528762948677865,231,2.2946884472737072,4,6,2,93,313.0
08/14/2018,2,3,-0.22052184004190997,155,1.3213837282789878,1,0,3,91,828.0
01/29/2019,5,2,1.2284102498978877,169,1.5006767028306465,3,4,2,94,286.6666666666667
03/21/2019,1,2,0.503944204927989,144,1.1805106768455416,2,2,5,88,381.0
01/1/2019,2,1,1.9528762948677865,325,3.4985127049777023,4,6,3,91,442.0
01/30/2019,5,2,-0.22052184004190997,164,1.4366434976336255,1,0,2,95,790.0
11/9/2017,1,7,-0.22052184004190997,84,0.4121122144812892,1,0,2,94,442.0
11/15/2018,5,1,4.850740474747382,239,2.397141575588941,8,14,4,89,148.625
05/4/2017,4,17,-0.22052184004190997,55,0.040719624338567295,1,0,4,91,332.0
11/15/2018,1,3,0.503944204927989,81,0.3736922913630766,2,2,2,94,231.5
11/4/2017,5,5,3.4018083848075844,107,0.7066649583875859,6,5,4,88,94.16666666666667
11/25/2017,1,6,-0.22052184004190997,34,-0.22821983748892097,1,0,2,96,200.0
10/23/2018,1,4,-0.22052184004190997,120,0.8731512918998406,1,0,3,92,633.0
08/3/2018,5,1,2.6773423398376854,213,2.0641689085644317,5,4,4,91,222.4
02/7/2019,1,2,-0.22052184004190997,102,0.6426317531905649,1,0,3,95,565.0
