Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
08/5/2016,2,154,1.5598733045693727,271,2.1217588856567926,4,6,2,92,388.5
07/31/2016,2,5660,3.356962365133166,342,2.825533943197006,7,12,3,91,254.14285714285717
08/1/2016,1,2637,2.1589029914239704,459,3.985275939425245,5,8,5,89,518.8
08/1/2016,2,63,-0.23721575599442069,215,1.5666686994278918,1,0,3,94,1164.0
08/13/2016,1,25,0.9608436177147749,103,0.45648832697009056,3,4,2,90,190.0
08/1/2016,2,27,2.7579326782785683,50,-0.0688648849965476,6,5,3,89,50.166666666666664
08/4/2016,1,1320,12.94143735480673,904,8.396260454994188,23,23,7,87,211.91304347826087
08/3/2016,1,35,3.356962365133166,381,3.2121146086064187,7,12,2,93,295.85714285714283
08/5/2016,2,41,9.94628892053374,834,7.702397722208062,18,25,4,90,264.1666666666667
08/14/2016,1,26,-0.23721575599442069,98,0.40692670319965296,1,0,2,93,505.0
08/1/2016,1,66,1.5598733045693727,187,1.2891236063134415,4,5,6,90,260.0
08/2/2016,1,196,2.1589029914239704,247,1.8838630915586922,5,8,2,91,291.8
08/4/2016,1,17,-0.23721575599442069,221,1.6261426479524168,1,0,3,93,1149.0
08/3/2016,2,70,0.9608436177147749,292,2.32991770549263,3,4,3,92,492.6666666666667
08/3/2016,1,20,0.3618139308601771,79,0.21859253287199026,2,1,5,89,211.5
08/3/2016,1,25,-0.23721575599442069,64,0.06990766156067757,1,0,6,90,326.0
08/2/2016,1,162,-0.23721575599442069,2,-0.5446564731927482,1,0,0,83,13.0
08/3/2016,2,15,3.356962365133166,198,1.398159178608404,7,12,3,88,173.57142857142858
08/4/2016,1,28,-0.23721575599442069,182,1.239561982543004,1,0,1,97,1063.0
08/3/2016,1,20,-0.23721575599442069,55,-0.01930326122611004,1,0,3,91,342.0
08/4/2016,1,16,0.3618139308601771,133,0.753858069592716,2,2,5,87,370.0
11/3/2016,1,13,5.753081112551556,682,6.19572435958676,11,18,3,92,357.0
08/4/2016,1,19,-0.23721575599442069,64,0.06990766156067757,1,0,8,88,340.0
08/4/2016,1,30,-0.23721575599442069,99,0.4168390279537405,1,0,4,90,545.0
10/4/2016,1,12,5.753081112551556,532,4.708875646473633,11,13,4,90,252.0
08/4/2016,2,17,0.3618139308601771,80,0.22850485762607778,2,2,2,93,219.0
08/3/2016,1,15,0.9608436177147749,251,1.9235123905750422,3,4,2,92,466.3333333333333
08/3/2016,1,20,-0.23721575599442069,43,-0.13825115827516019,1,0,5,91,216.0
08/1/2016,1,123,1.5598733045693727,227,1.6856165964769418,4,5,3,91,306.75
08/2/2016,1,16,-0.23721575599442069,86,0.28797880615060284,1,0,4,92,417.0
09/5/2016,1,11,2.1589029914239704,453,3.9258019909007196,5,5,3,92,486.6
08/2/2016,1,44,-0.23721575599442069,91,0.3375404299210404,1,0,3,93,467.0
08/2/2016,1,41,2.1589029914239704,234,1.7550028697555544,5,8,3,92,281.2
12/14/2016,1,12,5.154051425696959,227,1.6856165964769418,10,11,4,89,125.8
08/2/2016,1,33,-0.23721575599442069,221,1.6261426479524168,1,0,4,91,1290.0
08/24/2016,1,24,-0.23721575599442069,112,0.5456992497568781,1,0,6,90,575.0
08/2/2016,1,39,2.1589029914239704,201,1.4278961528706666,5,8,4,91,247.8
08/3/2016,2,20,1.5598733045693727,184,1.259386632051179,4,5,6,90,269.75
07/31/2016,1,30,2.1589029914239704,558,4.966596090079909,5,7,3,92,601.6
08/1/2016,1,73,0.3618139308601771,52,-0.04904023548837257,2,2,3,88,139.0
09/26/2016,1,11,-0.23721575599442069,78,0.20868020811790275,1,0,3,94,491.0
08/6/2016,1,309,3.356962365133166,432,3.717643171064882,7,12,3,91,346.0
08/1/2016,2,20,-0.23721575599442069,154,0.9620168894285537,1,0,3,92,829.0
08/3/2016,2,10,2.1589029914239704,145,0.872805966641766,5,8,4,88,166.4
08/4/2016,1,15,-0.23721575599442069,71,0.13929393483929015,1,0,0,94,403.0
07/31/2016,1,88,-0.23721575599442069,80,0.22850485762607778,1,0,5,90,455.0
08/1/2016,2,17,2.7579326782785683,671,6.086688787291798,6,10,3,93,628.3333333333334
08/3/2016,1,8,1.5598733045693727,248,1.8937754163127796,4,6,3,92,342.5
07/31/2016,2,12,-0.23721575599442069,95,0.37718972893739044,1,0,3,93,509.0
08/1/2016,3,27,11.743377981097535,364,3.043605087786931,21,23,6,84,98.95238095238095
08/4/2016,2,12,-0.23721575599442069,165,1.0710524617235162,1,0,3,94,817.0
08/14/2016,1,12,-0.23721575599442069,58,0.010433713036152498,1,0,6,88,337.0
10/26/2016,4,7,1.5598733045693727,304,2.44886560254168,4,6,3,92,423.0
08/4/2016,1,7,-0.23721575599442069,425,3.6482568977862693,1,0,3,94,2304.0
08/1/2016,2,25,6.951140486260752,606,5.442387678276109,13,24,4,89,246.69230769230768
08/5/2016,1,55,2.1589029914239704,309,2.498427226312118,5,5,2,94,345.4
08/1/2016,2,12,-0.23721575599442069,143,0.852981317133591,1,0,2,94,754.0
08/2/2016,2,12,0.9608436177147749,139,0.813332018117241,3,4,0,93,242.66666666666666
08/25/2016,1,7,0.9608436177147749,204,1.457633127132929,3,2,5,91,360.0
08/12/2016,2,7,6.951140486260752,331,2.7164983709020434,13,24,4,87,140.76923076923077
08/1/2016,1,13,-0.23721575599442069,90,0.3276281051669529,1,0,2,94,522.0
08/1/2016,2,10,2.7579326782785683,138,0.8034196933631534,6,9,5,88,119.33333333333333
08/1/2016,1,80,-0.23721575599442069,214,1.5567563746738042,1,0,3,92,1181.0
01/2/2019,5,3,0.3618139308601771,189,1.3089482558216166,2,1,3,93,498.0
08/1/2016,3,5,3.955992051987764,715,6.522831076471648,8,14,5,90,470.875
08/3/2016,2,9,2.7579326782785683,281,2.2208821331976676,6,10,3,90,263.0
08/24/2016,1,9,0.3618139308601771,126,0.6844717963141034,2,2,6,90,369.0
08/1/2016,1,7,-0.23721575599442069,112,0.5456992497568781,1,0,2,96,664.0
08/5/2016,1,46,-0.23721575599442069,147,0.8926306161499411,1,0,4,92,734.0
08/3/2016,1,12,-0.23721575599442069,73,0.15911858434746518,1,0,3,95,405.0
08/19/2016,1,10,-0.23721575599442069,66,0.0897323110688526,1,0,4,91,345.0
08/1/2016,1,1155,15.93658578907972,2186,21.103860789734377,28,49,5,89,448.9642857142857
03/19/2017,2,4,2.1589029914239704,404,3.4400980779504318,5,8,3,92,430.8
