Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
10/28/2018,1,746,-0.1982633863965267,179,3.886781366264665,1,0,1,93,963.0
08/19/2018,5,419,-0.1982633863965267,217,4.900946194437995,1,0,3,95,1154.0
09/3/2018,5,300,3.419681620839364,151,3.13950201918958,3,4,5,90,291.6666666666667
08/25/2018,5,324,1.6107091172214187,91,1.5381891326001116,2,1,5,90,230.0
10/1/2018,1,203,-0.1982633863965267,127,2.4989768645537924,1,0,5,91,687.0
08/29/2018,5,175,-0.1982633863965267,148,3.0594363748601068,1,0,4,92,827.0
09/16/2018,2,170,-0.1982633863965267,133,2.6591081532127396,1,0,3,95,772.0
08/24/2018,5,110,-0.1982633863965267,43,0.2571388233285368,1,0,3,90,220.0
10/15/2018,2,88,7.037626628075255,63,0.7909097855250263,5,8,3,88,76.2
12/3/2018,1,85,-0.1982633863965267,90,1.5115005844902871,1,0,2,94,470.0
09/5/2018,5,89,-0.1982633863965267,155,3.246256211628878,1,0,2,94,838.0
01/31/2019,5,74,-0.1982633863965267,61,0.7375326893053773,1,0,12,79,352.0
12/20/2018,1,71,-0.1982633863965267,90,1.5115005844902871,1,0,4,90,475.0
10/22/2018,2,68,-0.1982633863965267,216,4.874257646328171,1,0,2,95,1253.0
01/27/2019,1,63,-0.1982633863965267,182,3.9668470105941385,1,0,2,94,957.0
10/22/2018,1,69,-0.1982633863965267,21,-0.3300092350876016,1,0,2,97,113.0
12/5/2018,1,63,-0.1982633863965267,53,0.5240243044267815,1,0,1,96,306.0
12/30/2018,1,61,-0.1982633863965267,46,0.3372044676580102,1,0,2,93,248.0
10/11/2018,2,73,-0.1982633863965267,142,2.8993050862011596,1,0,2,96,880.0
11/19/2018,4,46,-0.1982633863965267,617,15.576365438367786,1,0,2,93,3649.0
11/29/2018,3,47,12.46454413892909,221,5.007700386877293,8,14,2,88,160.375
12/1/2018,1,49,-0.1982633863965267,36,0.07031898655976548,1,0,3,92,194.0
10/11/2018,2,45,-0.1982633863965267,136,2.739173797542213,1,0,2,94,744.0
11/5/2018,1,64,1.6107091172214187,382,9.304556632559033,2,2,3,90,1047.5
10/28/2018,1,49,-0.1982633863965267,16,-0.463451975636724,1,0,0,96,87.0
10/24/2018,3,40,3.419681620839364,299,7.089407139443602,3,4,2,94,562.0
02/4/2019,1,37,-0.1982633863965267,145,2.979370730530633,1,0,2,96,852.0
10/15/2018,2,39,-0.1982633863965267,107,1.9652059023573032,1,0,4,91,560.0
10/3/2018,2,38,-0.1982633863965267,54,0.5507128525366061,1,0,3,95,287.0
12/6/2018,1,31,-0.1982633863965267,12,-0.5702061680760219,1,0,1,91,105.0
01/8/2019,2,24,1.6107091172214187,297,7.036030043223953,2,2,2,94,866.0
09/19/2018,5,24,12.46454413892909,222,5.034388934987117,8,14,3,89,156.125
09/23/2018,3,30,-0.1982633863965267,53,0.5240243044267815,1,0,1,95,323.0
10/23/2018,1,47,-0.1982633863965267,151,3.13950201918958,1,0,3,94,842.0
01/2/2019,1,20,-0.1982633863965267,69,0.9510410741839731,1,0,2,94,365.0
10/23/2018,4,16,1.6107091172214187,144,2.9526821824208085,2,1,3,91,415.5
11/19/2018,1,21,-0.1982633863965267,35,0.04363043844994101,1,0,3,90,201.0
10/28/2018,3,16,5.22865412445731,186,4.073601203033436,4,3,2,94,258.75
11/9/2018,2,19,-0.1982633863965267,96,1.671631873149234,1,0,3,94,554.0
09/3/2018,2,37,-0.1982633863965267,21,-0.3300092350876016,1,0,6,90,116.0
08/30/2018,5,16,-0.1982633863965267,83,1.3246807477215157,1,0,3,91,467.0
11/7/2018,3,14,-0.1982633863965267,39,0.1503846308892389,1,0,2,95,229.0
01/18/2019,4,9,1.6107091172214187,393,9.598130661767103,2,1,3,95,1116.0
12/17/2018,2,12,-0.1982633863965267,68,0.9243525260741486,1,0,2,95,395.0
01/15/2019,1,15,1.6107091172214187,24,-0.2499435907581282,2,1,3,92,73.0
02/14/2019,3,10,3.419681620839364,386,9.411310824998331,3,4,3,92,740.0
03/4/2019,1,9,7.037626628075255,232,5.301274416085362,5,8,5,90,270.0
02/17/2019,1,11,-0.1982633863965267,103,1.8584517099180053,1,0,2,95,549.0
09/4/2018,1,42,-0.1982633863965267,115,2.178714287235899,1,0,2,96,633.0
02/9/2019,1,12,-0.1982633863965267,39,0.1503846308892389,1,0,4,92,223.0
01/26/2019,3,10,-0.1982633863965267,101,1.8050746136983562,1,0,3,94,570.0
02/9/2019,1,10,-0.1982633863965267,80,1.2446151033920423,1,0,2,96,477.0
09/4/2018,5,19,-0.1982633863965267,100,1.7783860655885317,1,0,3,94,544.0
02/10/2019,3,8,1.6107091172214187,221,5.007700386877293,2,1,4,91,609.0
03/5/2019,2,8,-0.1982633863965267,153,3.192879115409229,1,0,3,94,892.0
01/5/2019,5,9,-0.1982633863965267,92,1.564877680709936,1,0,2,96,546.0
09/23/2018,5,9,-0.1982633863965267,158,3.3263218559583514,1,0,3,94,823.0
01/3/2019,3,9,-0.1982633863965267,105,1.9118288061376543,1,0,1,95,597.0
01/9/2019,2,11,-0.1982633863965267,68,0.9243525260741486,1,0,3,93,367.0
12/21/2018,2,11,-0.1982633863965267,25,-0.22325504264830373,1,0,4,91,139.0
11/25/2018,1,28,-0.1982633863965267,199,4.420552328461154,1,0,4,91,1150.0
01/15/2019,3,8,-0.1982633863965267,66,0.8709754298544997,1,0,1,96,355.0
12/14/2018,4,6,-0.1982633863965267,229,5.221208771755888,1,0,2,93,1213.0
01/31/2019,1,10,-0.1982633863965267,9,-0.6502718124054954,1,0,8,83,56.0
11/29/2018,3,8,-0.1982633863965267,76,1.1378609109527444,1,0,2,95,480.0
09/21/2018,2,12,-0.1982633863965267,14,-0.516829071856373,1,0,0,97,83.0
03/2/2019,1,5,5.22865412445731,188,4.126978299253085,4,6,3,90,279.5
10/9/2018,5,4,12.46454413892909,439,10.825803874819028,8,12,2,91,301.875
01/7/2019,1,10,-0.1982633863965267,43,0.2571388233285368,1,0,2,93,250.0
02/6/2019,2,8,-0.1982633863965267,114,2.1520257391260746,1,0,2,95,595.0
02/20/2019,1,6,-0.1982633863965267,76,1.1378609109527444,1,0,3,93,422.0
11/30/2018,5,4,1.6107091172214187,227,5.16783167553624,2,2,3,94,589.5
10/1/2018,4,8,-0.1982633863965267,108,1.9918944504671277,1,0,3,95,581.0
02/13/2019,2,4,5.22865412445731,183,3.9935355587039627,4,3,2,94,257.75
11/21/2018,5,4,16.08248914616498,385,9.384622276888507,10,18,2,90,229.5
10/4/2018,1,17,-0.1982633863965267,9,-0.6502718124054954,1,0,4,89,53.0
10/28/2018,4,4,-0.1982633863965267,164,3.4864531446172977,1,0,2,95,893.0
02/11/2019,3,4,1.6107091172214187,354,8.557277285483949,2,1,3,94,983.5
09/21/2018,5,5,3.419681620839364,281,6.609013273466761,3,2,1,96,505.0
02/26/2019,1,5,-0.1982633863965267,59,0.6841555930857284,1,0,4,93,314.0
02/3/2019,3,3,1.6107091172214187,134,2.685796701322564,2,1,4,91,390.5
01/30/2019,3,3,-0.1982633863965267,151,3.13950201918958,1,0,1,96,871.0
01/16/2019,2,5,-0.1982633863965267,61,0.7375326893053773,1,0,2,96,299.0
01/23/2019,2,5,-0.1982633863965267,48,0.3905815638776592,1,0,5,89,275.0
