Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
07/9/2015,5,1968,1.4592445924390631,205,2.824433790777277,3,3,3,92,345.3333333333333
06/22/2017,4,435,3.1582137302188547,532,8.59724558344486,5,8,4,90,590.4
06/12/2018,5,65,4.857182867998647,486,7.7851680835589,7,12,4,93,352.7142857142857
04/14/2017,5,250,-0.2397245453407286,60,0.2646242802671866,1,0,2,93,357.0
08/6/2018,5,22,-0.2397245453407286,164,2.100625584357182,1,0,4,90,869.0
06/26/2016,1,198,2.3087291613289587,148,1.8181638452664137,4,3,4,81,269.25
02/15/2017,5,29,-0.2397245453407286,183,2.4360488995274703,1,0,2,94,920.0
09/26/2017,1,26,0.6097600235491673,117,1.2708942257780496,2,2,3,92,308.5
12/5/2017,4,22,1.4592445924390631,99,0.953124769300935,3,2,2,92,171.66666666666666
08/25/2017,5,11,-0.2397245453407286,239,3.42466498634516,1,0,2,94,1195.0
12/27/2017,1,16,3.1582137302188547,85,0.7059707475965126,5,8,2,88,97.6
07/21/2017,3,9,0.6097600235491673,75,0.5294321606647822,2,2,4,79,337.0
08/16/2018,5,4,3.1582137302188547,235,3.354049551572468,5,8,2,91,246.6
07/10/2018,1,5,-0.2397245453407286,123,1.3768173779370878,1,0,2,94,584.0
09/8/2015,5,257,1.4592445924390631,245,3.530588138504198,3,2,4,92,431.3333333333333
06/13/2012,4,1699,20.147905108016772,753,12.498748354636101,25,48,2,91,151.84
06/28/2018,5,3,-0.2397245453407286,160,2.03001014958449,1,0,3,93,797.0
12/7/2017,5,4,-0.2397245453407286,143,1.7298945518005486,1,0,2,93,785.0
06/4/2018,5,2,4.857182867998647,328,4.9958584100375605,7,6,2,93,244.42857142857142
06/9/2018,5,6,-0.2397245453407286,121,1.3415096605507417,1,0,2,95,604.0
12/28/2017,1,7,-0.2397245453407286,99,0.953124769300935,1,0,4,92,500.0
09/14/2018,5,2,-0.2397245453407286,149,1.8358177039595869,1,0,3,94,800.0
09/9/2017,4,4,-0.2397245453407286,99,0.953124769300935,1,0,2,93,546.0
04/22/2016,5,7,2.3087291613289587,109,1.1296633562326654,4,6,2,90,138.0
10/14/2017,5,2,2.3087291613289587,258,3.760088301515448,4,6,4,89,357.5
04/23/2018,4,2,-0.2397245453407286,152,1.888779280039106,1,0,4,91,755.0
07/12/2018,1,2,1.4592445924390631,215,3.000972377709007,3,3,4,89,391.6666666666667
07/12/2018,4,1,1.4592445924390631,223,3.1422032472543915,3,2,3,92,389.6666666666667
07/20/2017,5,2,9.104605712448127,233,3.318741834186122,12,13,6,84,96.08333333333333
12/16/2018,1,2,1.4592445924390631,145,1.7652022691868947,3,4,3,91,262.6666666666667
07/16/2018,5,1,4.007698299108751,147,1.8005099865732408,6,6,4,89,125.5
05/26/2018,3,2,-0.2397245453407286,132,1.535702106175645,1,0,4,92,636.0
09/3/2017,5,1,-0.2397245453407286,193,2.6125874864592005,1,0,4,91,1025.0
05/24/2018,5,5,-0.2397245453407286,68,0.4058551498125709,1,0,93,0,345.0
07/19/2018,5,1,-0.2397245453407286,161,2.047664008277663,1,0,3,94,844.0
07/2/2018,5,2,-0.2397245453407286,106,1.0767017801531462,1,0,4,93,549.0
06/21/2016,5,3,-0.2397245453407286,302,4.536858084015061,1,0,3,93,1528.0
11/28/2018,3,0,-0.2397245453407286,187,2.506664334300162,1,0,3,94,986.0
08/24/2017,5,1,-0.2397245453407286,180,2.383087323447951,1,0,2,95,902.0
07/31/2017,5,7,-0.2397245453407286,12,-0.5827609370051192,1,0,9,89,68.0
06/28/2018,5,2,0.6097600235491673,83,0.6706630302101665,2,2,2,93,204.5
11/26/2015,4,3,-0.2397245453407286,224,3.1598571059475646,1,0,3,93,1129.0
07/1/2018,2,3,-0.2397245453407286,104,1.0413940627668004,1,0,4,88,505.0
07/15/2018,4,1,-0.2397245453407286,129,1.482740530096126,1,0,2,96,618.0
