Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
10/3/2017,5,139,92,0.7179838486066654,1,0.4097222222222222,0,4,93,443.0,-0.23902324200764435,15.82585725134778
05/6/2017,5,46,141,1.4281645702208392,2,0.11284461152882208,2,4,90,356.0,0.9311369450831432,5.184816387073472
01/15/2017,5,218,298,3.7036415762091104,3,0.02833994708994709,2,2,94,562.0,2.1012971321739307,24.865020996268967
12/15/2016,5,108,130,1.2687362449605144,1,0.05590277777777779,0,2,93,722.0,-0.23902324200764435,12.27884362992301
05/14/2017,4,28,407,5.283431344697783,3,0.03381742131742133,4,3,93,736.6666666666665,2.1012971321739307,3.125260090762315
06/19/2018,4,6,583,7.834284548862977,7,0.1257382498453927,12,4,90,476.8571428571428,6.781937880537082,0.6080246174931239
09/20/2017,5,9,172,1.8774625777726632,1,0.06956168831168834,0,3,92,955.0,-0.23902324200764435,0.9512840002116498
07/12/2016,5,59,86,0.6310229439192155,1,0.3407051282051282,0,2,94,471.0,-0.23902324200764435,6.672273712187084
05/14/2017,4,6,98,0.8049447532941152,1,0.2651875901875902,0,0,94,546.0,-0.23902324200764435,0.6080246174931239
01/9/2019,3,2,183,2.036890903032988,3,-0.09583333333333333,4,2,91,323.6666666666667,2.1012971321739307,0.15034544053508903
12/23/2016,3,10,52,0.13824448402366635,1,0.11214285714285717,0,4,90,268.0,-0.23902324200764435,1.0657037944511585
07/1/2015,5,7,427,5.573301026989284,4,0.08825757575757574,6,2,93,607.0,3.2714573192647185,0.7224444117326325
11/26/2018,4,1,246,2.9499804022512115,6,0.013271604938271607,5,3,92,233.5,5.611777693446293,0.035925646295580344
10/2/2018,4,1,203,2.326760585324488,1,0.046987847222222205,0,2,94,1155.0,-0.23902324200764435,0.035925646295580344
09/13/2017,2,7,65,0.326659777513141,1,0.045000000000000026,0,3,89,335.0,-0.23902324200764435,0.7224444117326325
03/28/2017,5,6,65,0.326659777513141,1,0.10416666666666667,0,3,93,359.0,-0.23902324200764435,0.6080246174931239
07/23/2015,5,4,376,4.834133337145959,6,0.1074025974025974,10,2,92,370.33333333333326,5.611777693446293,0.3791850290141064
02/7/2017,5,3,111,0.99336004678359,1,0.08750000000000001,0,2,96,594.0,-0.23902324200764435,0.2647652347745977
05/22/2017,4,2,167,1.8049951571997889,3,0.10428571428571427,4,2,94,306.6666666666667,2.1012971321739307,0.15034544053508903
01/21/2019,5,0,205,2.3557475535536376,1,0.08970959595959598,0,3,93,1182.0,-0.23902324200764435,-0.07849414794392835
05/29/2017,5,2,157,1.6600603160540388,1,0.09143282312925168,0,3,92,925.0,-0.23902324200764435,0.15034544053508903
03/2/2015,5,4,303,3.7761089967819848,1,0.3285852713178294,0,3,93,1794.0,-0.23902324200764435,0.3791850290141064
12/27/2016,5,2,130,1.2687362449605144,1,0.11206349206349203,0,2,96,768.0,-0.23902324200764435,0.15034544053508903
08/12/2017,5,1,168,1.819488641314364,5,0.23369565217391305,8,2,92,201.8,4.441617506355506,0.035925646295580344
08/24/2017,5,2,145,1.486138506679139,1,0.07015639589169001,0,2,95,758.0,-0.23902324200764435,0.15034544053508903
01/5/2015,5,5,231,2.732578140532586,1,0.03237179487179487,0,2,94,1279.0,-0.23902324200764435,0.49360482325361515
07/8/2018,4,1,148,1.5296189590228642,1,0.20697916666666666,0,3,93,829.0,-0.23902324200764435,0.035925646295580344
10/23/2016,5,3,102,0.8629186897524151,1,0.12884615384615386,0,2,95,516.0,-0.23902324200764435,0.2647652347745977
03/23/2017,5,5,42,-0.006690357122083409,1,0.6666666666666666,0,2,95,242.0,-0.23902324200764435,0.49360482325361515
08/2/2018,3,1,104,0.8919056579815651,1,0.3154166666666667,0,5,92,566.0,-0.23902324200764435,0.035925646295580344
06/22/2017,5,2,116,1.0658274673564647,1,0.1748647186147186,0,2,96,602.0,-0.23902324200764435,0.15034544053508903
08/12/2018,5,0,153,1.602086379595739,1,0.061961451247165525,0,2,94,787.0,-0.23902324200764435,-0.07849414794392835
07/21/2016,4,2,137,1.3701906337625394,5,0.028409090909090905,4,2,93,157.6,4.441617506355506,0.15034544053508903
05/6/2014,5,3,556,7.4429604777694545,7,0.13301193755739213,11,2,94,432.1428571428572,6.781937880537082,0.2647652347745977
03/26/2019,5,0,133,1.3122166973042393,1,0.14813025210084038,0,2,93,719.0,-0.23902324200764435,-0.07849414794392835
03/18/2019,5,0,117,1.0803209514710397,1,0.1714285714285714,0,3,94,609.0,-0.23902324200764435,-0.07849414794392835
05/14/2017,5,3,72,0.42811416631516586,1,0.3785,0,3,93,374.0,-0.23902324200764435,0.2647652347745977
03/5/2015,5,3,176,1.935436514230963,3,0.33125,4,3,92,322.3333333333333,2.1012971321739307,0.2647652347745977
07/17/2017,5,1,116,1.0658274673564647,5,0.13464285714285715,4,7,84,134.0,4.441617506355506,0.035925646295580344
06/28/2013,4,5,349,4.442809266052434,5,0.0941701680672269,8,2,93,392.4,4.441617506355506,0.49360482325361515
05/22/2015,5,3,159,1.6890472842831887,5,-0.040722222222222236,4,2,92,170.0,4.441617506355506,0.2647652347745977
08/12/2017,5,2,78,0.5150750710026157,1,0.4663265306122449,0,3,92,413.0,-0.23902324200764435,0.15034544053508903
12/3/2015,5,2,144,1.471645022564564,2,0.27916666666666673,1,3,94,399.0,0.9311369450831432,0.15034544053508903
03/19/2017,5,3,75,0.4715946186588908,1,0.2843434343434344,0,2,93,411.0,-0.23902324200764435,0.2647652347745977
02/9/2018,5,1,92,0.7179838486066654,1,0.29444444444444445,0,3,93,512.0,-0.23902324200764435,0.035925646295580344
08/20/2018,4,0,98,0.8049447532941152,1,0.31875000000000003,0,3,94,548.0,-0.23902324200764435,-0.07849414794392835
04/21/2017,5,3,66,0.34115326162771603,1,0.4187500000000001,0,1,96,356.0,-0.23902324200764435,0.2647652347745977
07/29/2016,3,5,52,0.13824448402366635,1,0.4,0,1,97,269.0,-0.23902324200764435,0.49360482325361515
01/28/2016,5,1,162,1.7325277366269136,2,0.10520833333333336,1,1,96,422.0,0.9311369450831432,0.035925646295580344
03/29/2016,5,2,206,2.3702410376682126,1,0.12053872053872053,0,2,94,1074.0,-0.23902324200764435,0.15034544053508903
10/10/2016,5,4,88,0.6600099121483655,1,0.146875,0,3,94,480.0,-0.23902324200764435,0.3791850290141064
10/29/2015,5,3,127,1.2252557926167895,1,0.3068181818181819,0,2,96,630.0,-0.23902324200764435,0.2647652347745977
12/25/2015,5,1,157,1.6600603160540388,1,0.07388888888888889,0,2,95,923.0,-0.23902324200764435,0.035925646295580344
11/4/2017,5,2,72,0.42811416631516586,1,0.45,0,2,95,347.0,-0.23902324200764435,0.15034544053508903
04/16/2013,5,3,326,4.10945913141721,5,0.19947916666666665,8,3,91,395.6,4.441617506355506,0.2647652347745977
08/14/2018,5,0,98,0.8049447532941152,1,0.015000000000000003,0,2,96,525.0,-0.23902324200764435,-0.07849414794392835
06/8/2018,3,1,66,0.34115326162771603,1,0.3179166666666666,0,3,94,369.0,-0.23902324200764435,0.035925646295580344
03/18/2017,5,3,51,0.12375099990909134,1,0.32291666666666663,0,2,94,263.0,-0.23902324200764435,0.2647652347745977
06/13/2014,5,1,256,3.0949152433969616,4,0.2380124223602484,6,4,91,358.5,3.2714573192647185,0.035925646295580344
12/22/2013,4,2,232,2.7470716246471616,4,0.12575757575757576,6,3,91,323.5,3.2714573192647185,0.15034544053508903
03/15/2017,4,2,83,0.5875424915754907,1,0.5710884353741496,0,2,95,460.0,-0.23902324200764435,0.15034544053508903
01/7/2018,5,5,334,4.2254070043338094,3,0.13065104166666666,4,3,92,598.3333333333334,2.1012971321739307,0.49360482325361515
09/20/2014,5,0,231,2.732578140532586,1,0.2344696969696969,0,3,93,1310.0,-0.23902324200764435,-0.07849414794392835
12/29/2013,5,0,375,4.819639853031384,4,0.1905381944444444,6,2,94,567.5,3.2714573192647185,-0.07849414794392835
03/5/2016,5,5,65,0.326659777513141,1,0.27083333333333337,0,5,92,317.0,-0.23902324200764435,0.49360482325361515
06/16/2013,5,1,234,2.776058592876312,4,0.14790640394088672,6,2,95,342.0,3.2714573192647185,0.035925646295580344
04/4/2019,5,0,70,0.3991271980860159,1,0.16583333333333333,0,3,94,420.0,-0.23902324200764435,-0.07849414794392835
06/8/2013,5,1,274,3.355797957459311,1,0.20316666666666666,0,3,93,1564.0,-0.23902324200764435,0.035925646295580344
04/6/2019,5,0,83,0.5875424915754907,1,0.07376543209876542,0,3,94,434.0,-0.23902324200764435,-0.07849414794392835
08/7/2016,5,2,123,1.1672818561584897,1,0.0810897435897436,0,3,92,771.0,-0.23902324200764435,0.15034544053508903
03/26/2013,5,1,365,4.674705011885633,3,0.035900354126160584,4,2,95,659.6666666666666,2.1012971321739307,0.035925646295580344
01/7/2017,4,1,115,1.0513339832418898,1,-0.065625,0,3,93,648.0,-0.23902324200764435,0.035925646295580344
10/9/2017,3,3,28,-0.20959913472613306,1,0.2333333333333333,0,2,96,169.0,-0.23902324200764435,0.2647652347745977
05/25/2013,5,1,278,3.4137718939176107,4,0.015838509316770184,4,4,92,368.75,3.2714573192647185,0.035925646295580344
10/30/2018,5,0,82,0.5730490074609156,1,0.27,0,2,96,408.0,-0.23902324200764435,-0.07849414794392835
01/22/2019,5,0,131,1.2832297290750894,1,0.15844444444444444,0,2,95,740.0,-0.23902324200764435,-0.07849414794392835
01/3/2014,5,0,240,2.8630194975637617,4,0.08552121212121212,6,2,93,350.0,3.2714573192647185,-0.07849414794392835
02/17/2018,5,0,136,1.3556971496479644,1,0.1911111111111111,0,5,90,687.0,-0.23902324200764435,-0.07849414794392835
11/10/2015,5,0,146,1.5006319907937142,1,0.11610962566844915,0,2,95,836.0,-0.23902324200764435,-0.07849414794392835
05/25/2014,4,0,209,2.413721490011937,4,0.17644242424242426,3,3,93,297.75,3.2714573192647185,-0.07849414794392835
06/8/2018,4,0,125,1.1962688243876396,2,0.07555555555555553,1,4,90,324.0,0.9311369450831432,-0.07849414794392835
06/11/2018,5,0,106,0.9208926262107152,1,0.2412202380952381,0,3,92,542.0,-0.23902324200764435,-0.07849414794392835
05/4/2015,5,1,226,2.660110719959712,2,0.1101124885215794,1,3,93,569.5,0.9311369450831432,0.035925646295580344
11/25/2018,5,0,69,0.3846337139714409,1,0.08333333333333333,0,3,95,382.0,-0.23902324200764435,-0.07849414794392835
10/1/2017,5,1,80,0.5440620392317657,1,0.3888888888888889,0,2,94,446.0,-0.23902324200764435,0.035925646295580344
12/30/2013,5,0,282,3.4717458303759106,3,0.042628205128205116,4,2,94,520.3333333333334,2.1012971321739307,-0.07849414794392835
04/20/2013,5,1,249,2.9934608545949364,1,0.16527777777777775,0,3,93,1313.0,-0.23902324200764435,0.035925646295580344
06/24/2015,5,0,161,1.7180342525123389,1,0.10384615384615384,0,3,92,924.0,-0.23902324200764435,-0.07849414794392835
11/15/2017,4,1,65,0.326659777513141,1,0.14285714285714285,0,2,96,364.0,-0.23902324200764435,0.035925646295580344
02/25/2017,5,0,101,0.8484252056378402,1,0.2458333333333333,0,2,97,569.0,-0.23902324200764435,-0.07849414794392835
07/2/2017,5,2,58,0.2252053887111162,1,0.3227272727272727,0,4,91,291.0,-0.23902324200764435,0.15034544053508903
09/15/2014,4,1,257,3.109408727511536,5,0.09872685185185187,4,2,94,308.2,4.441617506355506,0.035925646295580344
08/20/2017,5,1,83,0.5875424915754907,1,0.11851851851851855,0,3,93,489.0,-0.23902324200764435,0.035925646295580344
06/3/2018,5,0,78,0.5150750710026157,2,0.033333333333333354,1,1,93,212.5,0.9311369450831432,-0.07849414794392835
12/26/2013,5,0,485,6.4139231056346295,1,0.09103535353535352,0,2,94,2942.0,-0.23902324200764435,-0.07849414794392835
09/15/2015,5,0,164,1.7615147048560638,1,-0.032718253968253966,0,2,95,872.0,-0.23902324200764435,-0.07849414794392835
11/9/2018,4,0,67,0.355646745742291,1,-0.008333333333333321,0,2,93,376.0,-0.23902324200764435,-0.07849414794392835
08/12/2017,5,1,58,0.2252053887111162,1,0.305,0,2,96,311.0,-0.23902324200764435,0.035925646295580344
