Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
07/28/2017,5,457,235,3.759776597455128,1,0.2539666666666667,0,2,95,1230.0,-0.1973186188750704,14.048153495895006
03/30/2017,1,399,37,-0.010702065700471913,1,-0.3333333333333333,0,1,94,187.0,-0.1973186188750704,12.257711518406449
12/3/2017,1,100,144,2.02687983812604,4,0.10707070707070708,6,9,85,187.0,3.4033861051225625,3.0276744275602696
09/28/2016,2,402,141,1.9697513735327727,1,0.14629629629629629,0,3,94,783.0,-0.1973186188750704,12.350320586207582
08/8/2017,5,89,1064,19.54627564672782,21,0.06838783379105963,29,4,89,274.4761904761905,23.807379541109142,2.6881078456227847
09/12/2015,1,310,74,0.693882330949817,1,0.018181818181818188,0,6,91,369.0,-0.1973186188750704,9.510309173639527
02/22/2018,1,66,340,5.759272858219463,5,-0.03676994301994302,8,6,88,365.4,4.603621013121773,1.9781049924807708
01/10/2018,1,36,109,1.3603810845379285,2,-0.043166666666666666,1,2,94,295.0,1.0029162891241403,1.0520143144694485
11/10/2017,5,27,307,5.1308597476935285,10,0.2530092592592593,9,6,86,172.6,10.604795553117826,0.7741871110660519
02/2/2018,1,47,83,0.8652677247296171,1,-0.3523809523809524,0,3,92,446.0,-0.1973186188750704,1.3915808964069334
04/5/2018,1,26,92,1.036653118509417,1,0.06136363636363636,0,5,92,492.0,-0.1973186188750704,0.7433174217990077
12/28/2017,1,30,172,2.5600788409965283,1,-0.07410714285714286,0,3,94,879.0,-0.1973186188750704,0.8667961788671841
12/6/2016,2,28,87,0.9414390108539726,1,-0.12272727272727275,0,6,87,452.0,-0.1973186188750704,0.8050568003330959
07/16/2017,3,16,298,4.959474353913729,5,0.10334022038567492,6,2,94,310.2,4.603621013121773,0.43462052912856697
06/30/2018,2,12,95,1.0937815831026838,1,0.030128205128205125,0,3,92,515.0,-0.1973186188750704,0.3111417720603907
10/17/2016,5,37,397,6.844713685491527,5,0.16989202657807306,8,2,93,436.6,4.603621013121773,1.0828840037364926
04/29/2016,5,78,120,1.569852121379906,1,0.14534313725490194,0,3,95,587.0,-0.1973186188750704,2.3485412636853
12/4/2016,5,14,353,6.006829538123617,2,0.16960937500000006,2,1,95,960.5,1.0029162891241403,0.37288115059447885
05/26/2018,5,10,127,1.7031518720975285,7,0.20746031746031746,6,3,91,90.57142857142857,7.0040908291201935,0.24940239352630253
10/28/2017,4,11,294,4.883303067789373,8,0.0901470588235294,8,7,80,231.25,8.204325737119403,0.2802720827933466
03/8/2017,5,15,61,0.4463256510456615,1,0.29074074074074074,0,2,94,356.0,-0.1973186188750704,0.4037508398615229
10/27/2016,5,63,163,2.388693447216728,1,0.21539748130657224,0,2,95,825.0,-0.1973186188750704,1.8854959246796386
10/18/2018,1,7,468,8.19675401419884,1,0.019910272742303985,0,15,81,2473.0,-0.1973186188750704,0.1567933257251703
11/23/2018,2,6,250,4.0454189204214615,3,0.11679841897233205,2,3,91,432.66666666666674,2.2031511971233515,0.1259236364581262
03/4/2018,1,9,70,0.6177110448254615,1,-0.13749999999999998,0,3,89,407.0,-0.1973186188750704,0.21853270425925844
06/19/2017,1,11,86,0.9223961893228836,1,0.6393939393939394,0,4,89,465.0,-0.1973186188750704,0.2802720827933466
07/23/2017,3,9,297,4.94043153238264,1,0.07730850168350169,0,2,97,1564.0,-0.1973186188750704,0.21853270425925844
02/5/2019,1,4,187,2.845721163962861,3,-0.08229166666666668,2,3,92,338.0,2.2031511971233515,0.06418425792403805
09/10/2018,1,6,94,1.0747387615715949,1,-0.11212121212121212,0,6,91,467.0,-0.1973186188750704,0.1259236364581262
11/17/2018,1,7,96,1.1128244046337723,1,-0.13142857142857142,0,3,93,557.0,-0.1973186188750704,0.1567933257251703
09/25/2018,1,5,104,1.2651669768824838,1,0.1762962962962963,0,4,93,529.0,-0.1973186188750704,0.09505394719108212
03/14/2016,1,29,52,0.2749402572658615,1,-1.0,0,3,91,292.0,-0.1973186188750704,0.83592648960014
03/30/2017,5,7,87,0.9414390108539726,1,0.15036157024793387,0,4,92,466.0,-0.1973186188750704,0.1567933257251703
03/11/2017,3,6,160,2.331564982623461,1,0.011309523809523813,0,2,94,835.0,-0.1973186188750704,0.1259236364581262
01/14/2017,5,14,177,2.6552929486519723,1,0.1880952380952381,0,6,83,1139.0,-0.1973186188750704,0.37288115059447885
04/1/2016,5,54,335,5.664058750564017,5,0.11711233211233213,8,3,91,362.2,4.603621013121773,1.607668721276242
12/10/2018,4,1,206,3.2075347730535504,3,0.17668434343434344,4,4,90,354.33333333333326,2.2031511971233515,-0.028424809877094188
10/3/2017,1,6,92,1.036653118509417,3,0.2614583333333333,4,4,90,156.33333333333334,2.2031511971233515,0.1259236364581262
10/19/2018,2,3,107,1.3222954414757504,1,0.17403846153846153,0,3,93,545.0,-0.1973186188750704,0.03331456865699397
08/24/2017,3,3,156,2.255393696499106,3,-0.032435897435897434,4,5,89,272.3333333333333,2.2031511971233515,0.03331456865699397
06/8/2018,5,3,99,1.1699528692270391,2,0.14747474747474745,2,2,92,250.5,1.0029162891241403,0.03331456865699397
08/20/2017,1,7,88,0.9604818323850616,1,-0.2233670033670034,0,2,95,466.0,-0.1973186188750704,0.1567933257251703
01/19/2018,5,2,171,2.541036019465439,1,0.08308823529411766,0,4,93,876.0,-0.1973186188750704,0.002444879389949889
05/4/2018,5,2,132,1.7983659797529727,2,0.2745833333333333,2,3,93,341.0,1.0029162891241403,0.002444879389949889
01/13/2018,3,4,77,0.7510107955430837,1,0.4583333333333333,0,4,91,403.0,-0.1973186188750704,0.06418425792403805
03/27/2019,1,1,130,1.7602803366907949,1,-0.2333333333333333,0,13,79,711.0,-0.1973186188750704,-0.028424809877094188
08/22/2018,1,1,138,1.9126229089395057,8,-0.029560308972073682,9,3,90,98.25,8.204325737119403,-0.028424809877094188
04/23/2017,5,7,53,0.29398307879695035,2,0.08901515151515152,2,2,92,141.5,1.0029162891241403,0.1567933257251703
10/13/2015,2,6,173,2.5791216625276165,1,0.1275297619047619,0,3,95,846.0,-0.1973186188750704,0.1259236364581262
10/13/2018,5,0,297,4.94043153238264,1,0.3085588023088023,0,2,94,1464.0,-0.1973186188750704,-0.059294499144138264
08/19/2014,3,11,125,1.6650662290353504,1,-0.06180555555555552,0,4,91,671.0,-0.1973186188750704,0.2802720827933466
12/25/2017,5,1,191,2.921892450087217,1,0.1743809523809524,0,3,93,970.0,-0.1973186188750704,-0.028424809877094188
02/21/2017,1,7,69,0.5986682232943725,1,0.17037037037037034,0,2,94,346.0,-0.1973186188750704,0.1567933257251703
02/7/2019,4,1,153,2.19826523190584,1,0.0958333333333333,0,3,94,846.0,-0.1973186188750704,-0.028424809877094188
04/10/2019,5,1,106,1.3032526199446617,1,0.081875,0,2,94,568.0,-0.1973186188750704,-0.028424809877094188
05/18/2017,4,3,111,1.398466727600106,1,0.006944444444444438,0,3,95,603.0,-0.1973186188750704,0.03331456865699397
12/2/2018,1,1,126,1.6841090505664391,1,0.1827777777777778,0,2,95,671.0,-0.1973186188750704,-0.028424809877094188
11/13/2018,2,3,66,0.5415397587011059,2,0.22239669421487604,2,4,89,177.5,1.0029162891241403,0.03331456865699397
01/30/2018,4,2,123,1.6269805859731727,1,0.05000000000000001,0,3,95,670.0,-0.1973186188750704,0.002444879389949889
11/10/2018,1,3,111,1.398466727600106,1,-0.15043560606060608,0,2,95,573.0,-0.1973186188750704,0.03331456865699397
06/19/2017,4,4,65,0.5224969371700171,1,0.3696666666666665,0,4,93,360.0,-0.1973186188750704,0.06418425792403805
04/8/2019,1,1,215,3.37892016683335,1,0.09016666666666666,0,10,83,1197.0,-0.1973186188750704,-0.028424809877094188
05/1/2018,5,1,132,1.7983659797529727,1,0.2646031746031746,0,1,96,678.0,-0.1973186188750704,-0.028424809877094188
11/24/2018,3,5,32,-0.10591617335591637,1,0.2066666666666667,0,2,94,187.0,-0.1973186188750704,0.09505394719108212
03/27/2011,5,1528,273,4.483403815636506,2,0.14856032125768967,1,3,91,750.5,1.0029162891241403,47.10959070089921
05/4/2018,1,6,26,-0.2201731025424497,1,-0.29166666666666663,0,3,93,144.0,-0.1973186188750704,0.1259236364581262
12/26/2017,1,2,167,2.464864733341084,1,0.10303030303030304,0,2,95,884.0,-0.1973186188750704,0.002444879389949889
11/2/2016,5,5,63,0.4844112941078392,1,0.4515625000000001,0,2,90,343.0,-0.1973186188750704,0.09505394719108212
08/25/2017,4,1,133,1.8174088012840608,3,0.12294318181818185,4,3,91,246.33333333333331,2.2031511971233515,-0.028424809877094188
01/6/2019,2,1,125,1.6650662290353504,1,0.0076388888888888765,0,2,96,728.0,-0.1973186188750704,-0.028424809877094188
05/23/2014,2,21,140,1.950708552001684,1,-0.1357142857142857,0,3,92,748.0,-0.1973186188750704,0.5889689754637873
10/15/2017,3,4,50,0.2368546142036837,1,0.24,0,4,93,263.0,-0.1973186188750704,0.06418425792403805
07/29/2017,5,2,105,1.2842097984135723,3,0.3464285714285714,4,3,91,172.33333333333337,2.2031511971233515,0.002444879389949889
04/14/2018,5,1,184,2.788592699369594,1,0.10555555555555557,0,2,95,1021.0,-0.1973186188750704,-0.028424809877094188
11/14/2017,4,8,121,1.5888949429109949,1,0.07513227513227512,0,2,93,682.0,-0.1973186188750704,0.18766301499221436
11/4/2018,5,1,241,3.874033526641661,1,0.2395763187429854,0,3,93,1268.0,-0.1973186188750704,-0.028424809877094188
07/17/2018,5,0,154,2.2173080534369283,1,0.2665622389306599,0,1,94,800.0,-0.1973186188750704,-0.059294499144138264
09/4/2018,3,3,74,0.693882330949817,1,-0.1629004329004329,0,3,94,360.0,-0.1973186188750704,0.03331456865699397
07/7/2017,4,3,81,0.8271820816674392,5,0.4801020408163265,8,3,88,93.4,4.603621013121773,0.03331456865699397
02/25/2019,5,0,129,1.7412375151597062,2,0.3453869047619048,2,3,90,359.5,1.0029162891241403,-0.059294499144138264
07/24/2017,2,3,93,1.055695940040506,1,0.18603515625,0,6,88,505.0,-0.1973186188750704,0.03331456865699397
12/19/2018,1,1,231,3.6836053113307727,2,0.2505208333333333,2,3,95,551.5,1.0029162891241403,-0.028424809877094188
01/9/2019,5,1,81,0.8271820816674392,1,0.15204545454545454,0,2,93,409.0,-0.1973186188750704,-0.028424809877094188
10/3/2018,1,2,115,1.4746380137244617,3,0.053983516483516514,4,4,90,204.0,2.2031511971233515,0.002444879389949889
02/8/2019,3,0,158,2.293479339561284,1,0.16433566433566432,0,2,95,813.0,-0.1973186188750704,-0.059294499144138264
06/6/2013,3,13,113,1.4365523706622838,2,0.03125,2,3,93,311.5,1.0029162891241403,0.34201146132743476
11/12/2015,5,4,135,1.8554944443462398,3,0.06666666666666668,4,2,93,221.66666666666663,2.2031511971233515,0.06418425792403805
11/30/2018,5,0,124,1.6460234075042617,2,0.16249299719887955,1,5,90,294.0,1.0029162891241403,-0.059294499144138264
04/4/2017,1,20,81,0.8271820816674392,1,0.17904040404040406,0,2,93,487.0,-0.1973186188750704,0.5580992861967433
01/7/2019,1,0,168,2.4839075548721725,1,0.08445773524720893,0,3,92,913.0,-0.1973186188750704,-0.059294499144138264
03/21/2019,3,1,67,0.5605825802321948,2,0.2,1,2,95,174.5,1.0029162891241403,-0.028424809877094188
06/2/2016,5,1,169,2.502950376403261,4,0.1631235827664399,6,3,91,228.75,3.4033861051225625,-0.028424809877094188
12/6/2017,2,3,103,1.2461241553513949,1,0.13541666666666669,0,4,92,532.0,-0.1973186188750704,0.03331456865699397
07/31/2016,5,2,157,2.274436518030195,1,0.2284210526315789,0,4,93,808.0,-0.1973186188750704,0.002444879389949889
05/31/2017,2,3,127,1.7031518720975285,1,0.02275641025641025,0,2,94,695.0,-0.1973186188750704,0.03331456865699397
