Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
07/22/2018,4,1396,295,5.004794915045119,5,0.21817971380471385,8,4,89,329.8,4.668963386231173,34.23352466833237
06/3/2017,4,1250,112,1.4071817971892344,2,0.1453205128205128,2,4,81,441.5,0.9926142632145012,30.64836665352797
08/6/2018,1,189,107,1.3088863568106583,3,0.12653061224489795,2,6,88,202.33333333333331,2.218063970886725,4.594581354161717
02/16/2017,5,373,126,1.6824090302492476,1,0.3210461413586414,0,3,92,634.0,-0.2328354444577225,9.112862687887816
02/18/2018,1,228,70,0.5815000980091954,1,0.07214452214452215,0,2,95,409.0,-0.2328354444577225,5.55226054989714
01/11/2016,5,1263,150,2.1542271440664127,7,0.11772026992615227,6,2,91,109.71428571428572,7.119862801575621,30.967593052106444
07/1/2017,5,169,242,3.962863247032213,2,0.2947089947089947,1,2,94,583.5,0.9926142632145012,4.103463817887141
11/20/2017,1,80,146,2.075590791763552,1,0.09053030303030304,0,2,95,742.0,-0.2328354444577225,1.9179907814652781
09/7/2018,1,51,81,0.7977500668420628,1,-0.3083333333333333,0,2,95,445.0,-0.2328354444577225,1.2058703538671427
12/28/2017,4,54,608,11.158089482743984,5,0.11748815446576642,8,2,94,615.4,4.668963386231173,1.2795379843083292
01/20/2015,5,1650,755,14.047975429874118,7,0.13729313036690088,12,2,94,564.5714285714286,7.119862801575621,40.47071737901949
12/11/2018,1,39,100,1.171272740280652,1,0.2953125,0,1,93,573.0,-0.2328354444577225,0.9111998321023972
05/8/2018,1,48,70,0.5815000980091954,1,-0.06145833333333332,0,3,91,450.0,-0.2328354444577225,1.1322027234259564
09/13/2016,5,245,454,8.130589919083839,2,0.09072420634920636,2,2,94,1126.5,0.9926142632145012,5.96971045573053
02/6/2018,5,41,216,3.4517269570636167,2,-0.0475,2,2,93,590.0,0.9926142632145012,0.9603115857298548
01/3/2018,3,38,178,2.704681610186439,3,0.07396384479717813,3,2,93,296.0,2.218063970886725,0.8866439552886684
06/19/2018,1,35,97,1.1122954760535062,1,0.275,0,3,91,547.0,-0.2328354444577225,0.8129763248474821
04/5/2017,5,80,177,2.685022522110724,1,0.12569444444444444,0,3,92,943.0,-0.2328354444577225,1.9179907814652781
11/7/2017,5,34,217,3.4713860451393317,5,0.13098484848484848,8,3,92,232.8,4.668963386231173,0.7884204480337532
10/6/2016,5,46,242,3.962863247032213,4,0.15897708613225855,6,2,92,316.25,3.443513678558949,1.0830909697984987
04/11/2018,4,12,272,4.5526358893036685,5,0.003349673202614387,8,2,93,274.8,4.668963386231173,0.2481911581317197
03/31/2018,3,11,190,2.9405906670950217,1,0.08958333333333332,0,2,94,984.0,-0.2328354444577225,0.22363528131799093
07/9/2017,5,17,59,0.3652501291763281,1,0.3428571428571429,0,5,90,309.0,-0.2328354444577225,0.3709705422003637
03/24/2017,5,33,338,5.8501357023008715,2,0.091934706707434,2,3,94,891.5,0.9926142632145012,0.7638645712200244
07/9/2016,5,21,72,0.620818274160626,1,0.2950680272108843,0,2,93,369.0,-0.2328354444577225,0.46919404945527887
05/10/2017,3,16,182,2.7833179624893,2,0.16488320707070708,2,4,91,477.5,0.9926142632145012,0.3464146653866349
11/11/2018,1,7,186,2.8619543147921607,1,0.10518353174603176,0,2,92,997.0,-0.2328354444577225,0.12541177406307571
07/12/2018,3,15,178,2.704681610186439,2,0.2181818181818181,2,5,91,510.5,0.9926142632145012,0.3218587885729061
01/6/2018,1,20,61,0.40456830532775856,1,0.16979166666666667,0,3,93,322.0,-0.2328354444577225,0.44463817264155003
04/24/2018,1,11,52,0.2276365126463216,1,-0.17454212454212456,0,9,87,287.0,-0.2328354444577225,0.22363528131799093
07/9/2017,3,16,27,-0.26384068924655874,1,0.4777777777777778,0,3,94,132.0,-0.2328354444577225,0.3464146653866349
03/13/2018,3,6,249,4.10047686356222,3,0.07316526610644257,4,2,94,463.33333333333326,2.218063970886725,0.1008558972493469
05/30/2017,3,349,253,4.1791132158650806,7,0.07701149425287357,12,6,86,204.0,7.119862801575621,8.523521644358324
12/11/2018,3,6,103,1.2302500045077975,1,0.3375,0,2,95,532.0,-0.2328354444577225,0.1008558972493469
08/9/2018,2,4,311,5.319340324256562,1,0.0771990740740741,0,3,94,1593.0,-0.2328354444577225,0.05174414362188932
11/15/2018,1,6,76,0.6994546264634868,3,-0.06111111111111111,4,7,84,139.33333333333334,2.218063970886725,0.1008558972493469
04/10/2018,5,4,216,3.4517269570636167,1,0.17154541015625,0,5,93,1101.0,-0.2328354444577225,0.05174414362188932
07/29/2017,5,5,200,3.137181547852174,3,0.15657738095238094,4,2,90,328.0,2.218063970886725,0.07630002043561811
10/20/2018,1,4,110,1.367863621037804,4,0.2528846153846154,6,3,89,148.5,3.443513678558949,0.05174414362188932
11/20/2018,5,3,166,2.468772553277856,1,0.21052631578947367,0,3,93,809.0,-0.2328354444577225,0.027188266808160524
02/12/2017,4,6,174,2.6260452578835785,1,0.07934782608695652,0,1,96,893.0,-0.2328354444577225,0.1008558972493469
07/19/2018,4,3,159,2.3311589367478502,3,0.0671078431372549,4,3,91,264.3333333333333,2.218063970886725,0.027188266808160524
07/12/2018,4,4,104,1.2499090925835128,4,0.1758333333333333,6,2,91,144.25,3.443513678558949,0.05174414362188932
10/19/2017,4,3,400,7.068999162995215,1,0.06873611111111111,0,2,94,2047.0,-0.2328354444577225,0.027188266808160524
03/28/2017,4,14,154,2.2328634963692737,3,0.11185515873015872,4,2,92,261.6666666666667,2.218063970886725,0.29730291175917734
07/7/2017,4,4,155,2.2525225844449888,1,-0.016747835497835494,0,1,96,854.0,-0.2328354444577225,0.05174414362188932
01/12/2019,3,2,178,2.704681610186439,9,0.20070028011204485,13,3,89,99.0,9.570762216920068,0.002632389994431726
08/5/2018,1,6,37,-0.0672498084894066,1,0.16041666666666665,0,3,97,175.0,-0.2328354444577225,0.1008558972493469
08/23/2017,5,4,168,2.5080907294292865,3,0.16559862012987014,2,6,89,293.3333333333333,2.218063970886725,0.05174414362188932
08/25/2018,5,2,196,3.058545195549313,4,0.1059873949579832,6,2,93,251.25,3.443513678558949,0.002632389994431726
11/24/2018,3,2,169,2.527749817505002,2,-0.0765625,2,2,93,462.0,0.9926142632145012,0.002632389994431726
12/29/2018,5,2,176,2.6653634340350085,1,0.1936925647451964,0,1,96,917.0,-0.2328354444577225,0.002632389994431726
07/9/2018,1,6,72,0.620818274160626,1,-0.19166666666666668,0,3,94,366.0,-0.2328354444577225,0.1008558972493469
11/12/2018,1,5,76,0.6994546264634868,1,-0.048076923076923066,0,2,96,428.0,-0.2328354444577225,0.07630002043561811
12/29/2017,4,3,153,2.2132044082935582,3,0.2934065934065934,4,3,91,260.0,2.218063970886725,0.027188266808160524
02/19/2019,5,1,210,3.333772428609326,4,0.07439560439560441,3,2,95,274.0,3.443513678558949,-0.02192348681929707
10/27/2016,5,5,141,1.977295351384976,1,0.2843005952380953,0,4,92,711.0,-0.2328354444577225,0.07630002043561811
