Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
06/23/2018,5,323,373,2.9611465905227248,4,0.2705128205128205,6,3,93,470.25,1.544029706771135,3.054797745648971
01/13/2018,5,273,235,1.5819967723937114,3,0.13110516934046346,4,2,93,413.66666666666674,0.9223395365460042,2.5733536035416837
01/13/2018,5,1768,942,8.647641130489456,7,0.1861865339700392,12,4,91,742.0,3.4091002174465275,16.96853345254958
04/1/2018,4,266,276,1.9917441821276944,2,0.04479166666666667,2,3,90,731.0,0.3006493663208733,2.5059514236466636
05/28/2018,1,711,265,1.881811950247845,2,0.1392328042328042,2,2,94,715.5,0.3006493663208733,6.790804288401523
07/15/2017,5,234,308,2.311547038505436,6,0.18166164192949905,9,4,86,342.0,2.787410047221397,2.197827172697999
03/7/2018,4,334,375,2.981134269046334,5,0.31212797619047616,8,4,91,422.6,2.165719876996266,3.1607154569125746
02/8/2018,3,318,222,1.4520768619902535,10,0.2691798941798942,12,3,84,148.1,5.27417072812192,3.006653331438242
07/13/2018,4,197,164,0.8724341848055955,1,0.20000000000000004,0,6,91,895.0,-0.32104080390425754,1.8415585075386065
12/17/2017,5,166,108,0.3127791861445463,2,0.13677777777777778,1,4,90,276.5,0.3006493663208733,1.5430631394320884
02/24/2019,2,121,169,0.9224033811146176,1,0.10118421052631582,0,4,92,827.0,-0.32104080390425754,1.1097634115355295
01/4/2019,1,122,89,0.12289624017026173,1,0.03124950806768988,0,2,93,456.0,-0.32104080390425754,1.1193922943776753
11/16/2017,5,149,343,2.661331412668592,2,0.12264037433155085,2,4,90,885.5,0.3006493663208733,1.3793721311156106
05/24/2017,5,154,111,0.3427607039299596,1,0.11939153439153438,0,3,93,550.0,-0.32104080390425754,1.4275165453263392
04/26/2018,1,208,194,1.172249362659729,4,0.1431818181818182,6,3,87,252.5,1.544029706771135,1.94747621880221
08/28/2018,1,101,378,3.0111157868317475,2,-0.03348639455782313,2,3,93,962.0,0.3006493663208733,0.9171857546926145
06/27/2017,5,649,453,3.760653731467081,3,0.1651875901875902,4,3,91,854.3333333333335,0.9223395365460042,6.193813552188486
11/6/2017,1,168,119,0.4227114180243952,1,-0.08484848484848485,0,2,93,588.0,-0.32104080390425754,1.5623209051163798
12/17/2017,5,397,310,2.331534717029045,5,0.16763191763191765,8,2,93,337.6,2.165719876996266,3.7673350759677566
08/15/2017,5,255,1138,10.606433625803133,30,0.17862036514210428,57,4,89,213.46666666666667,17.707974132624535,2.40003371238306
06/2/2018,4,62,217,1.4021076656812317,3,0.21458333333333326,3,3,90,388.66666666666674,0.9223395365460042,0.5416593238489302
01/17/2018,1,466,170,0.9323972203764224,3,0.0778888888888889,3,3,89,283.0,0.9223395365460042,4.431727992075814
02/27/2018,1,119,180,1.0323356129944667,4,0.0868801652892562,6,3,91,239.5,1.544029706771135,1.090505645851238
09/16/2017,1,401,149,0.7225265958785287,1,-0.02239583333333333,0,3,92,768.0,-0.32104080390425754,3.80585060733634
06/11/2018,1,29,392,3.15102953649701,4,0.053233486943164376,6,2,93,512.0,1.544029706771135,0.2239061900581204
08/4/2017,1,199,165,0.8824280240674001,1,0.17333333333333334,0,2,95,862.0,-0.32104080390425754,1.860816273222898
01/14/2019,1,20,166,0.8924218633292044,1,-0.19444444444444445,0,3,91,819.0,-0.32104080390425754,0.13724624447880865
05/15/2015,5,6698,583,5.05985283550166,7,0.2438586623813896,12,3,92,488.71428571428567,3.4091002174465275,64.43892586432813
06/13/2017,2,25,90,0.13289007943206618,2,0.2035978835978836,2,3,92,235.5,0.3006493663208733,0.1853906586895374
11/22/2017,1,342,303,2.2615778421964143,4,0.1613381261595547,6,3,92,402.0,1.544029706771135,3.2377465196497406
07/20/2018,1,16,130,0.5326436499042442,2,0.15893141945773526,2,4,88,358.5,0.3006493663208733,0.09873071311022566
12/28/2017,3,54,196,1.1922370411833378,11,0.1813186813186813,16,2,89,103.45454545454544,5.895860898347051,0.4646282611117642
08/23/2018,2,13,216,1.3921138264194268,2,0.08537085137085135,2,2,95,604.5,0.3006493663208733,0.06984406458378842
02/13/2018,2,17,273,1.9617626643422803,3,0.09606227106227108,4,3,90,463.0,0.9223395365460042,0.10835959595237141
04/27/2018,1,26,132,0.5526313284278531,1,0.03365800865800867,0,3,92,703.0,-0.32104080390425754,0.19501954153168316
07/27/2017,1,28,120,0.4327052572861997,2,0.16,1,3,94,297.5,0.3006493663208733,0.21427730721597466
09/15/2017,1,20,73,-0.03700518801860948,1,-0.14372294372294372,0,2,91,393.0,-0.32104080390425754,0.13724624447880865
07/20/2018,1,14,79,0.02295784755221722,2,0.24526785714285715,2,3,90,219.5,0.3006493663208733,0.07947294742593415
02/23/2018,1,16,69,-0.07698054506582729,1,-0.052083333333333336,0,1,96,349.0,-0.32104080390425754,0.09873071311022566
12/20/2017,1,17,61,-0.15693125916026288,1,0.11511544011544013,0,3,95,289.0,-0.32104080390425754,0.10835959595237141
11/11/2018,2,11,402,3.2509679291150544,9,0.02606837606837608,8,3,90,247.66666666666663,4.65248055789679,0.05058629889949691
04/11/2018,1,22,102,0.2528161505737196,1,0.135,0,4,93,507.0,-0.32104080390425754,0.15650401016310017
11/2/2018,3,10,719,6.419014975107065,2,0.15522839229735788,2,3,91,1883.0,0.3006493663208733,0.04095741605735116
08/30/2017,1,18,79,0.02295784755221722,1,0.02142857142857144,0,2,95,452.0,-0.32104080390425754,0.11798847879451715
02/17/2018,2,13,106,0.29279150762093736,8,-0.0005952380952380891,10,2,88,76.25,4.030790387671658,0.06984406458378842
08/21/2018,1,9,158,0.8124711492347688,1,-0.005897435897435897,0,1,92,819.0,-0.32104080390425754,0.03132853321520541
04/11/2018,1,11,85,0.08292088312304392,1,0.04615384615384615,0,2,94,462.0,-0.32104080390425754,0.05058629889949691
11/18/2017,1,29,71,-0.056992866542218384,3,0.2120833333333334,4,4,89,136.33333333333334,0.9223395365460042,0.2239061900581204
05/24/2018,3,8,285,2.081688735483934,5,0.19403333333333334,8,2,92,299.6,2.165719876996266,0.02169965037305966
10/4/2018,1,9,185,1.082304809303489,1,0.21039772727272726,0,3,91,951.0,-0.32104080390425754,0.03132853321520541
01/26/2018,1,14,82,0.05293936533763057,1,-0.004444444444444425,0,3,92,390.0,-0.32104080390425754,0.07947294742593415
05/22/2018,3,9,140,0.6325820425222887,7,0.22083333333333333,9,4,84,97.42857142857143,3.4091002174465275,0.03132853321520541
12/22/2017,1,36,80,0.03295168681402167,3,0.02999999999999998,2,3,86,126.66666666666666,0.9223395365460042,0.2913083699531407
11/28/2016,1,592,47,-0.2968450088255252,1,0.12777777777777774,0,3,92,252.0,-0.32104080390425754,5.644967230186178
11/3/2016,4,29,35,-0.4167710799671786,1,-0.09375,0,4,87,195.0,-0.32104080390425754,0.2239061900581204
07/1/2017,3,10,121,0.44269909654800416,2,0.19028379028379028,2,2,94,331.0,0.3006493663208733,0.04095741605735116
11/19/2017,1,9,143,0.662563560307702,2,-0.14335664335664336,2,2,93,377.5,0.3006493663208733,0.03132853321520541
03/2/2019,1,5,274,1.971756503604085,1,0.0904936461388074,0,1,96,1463.0,-0.32104080390425754,-0.007186998153377592
07/22/2017,1,13,38,-0.3867895621817653,1,0.005952380952380947,0,3,92,231.0,-0.32104080390425754,0.06984406458378842
12/8/2015,3,78,287,2.1016764140075432,3,0.18069444444444446,4,2,94,524.3333333333334,0.9223395365460042,0.6957214493232623
01/20/2018,2,9,74,-0.02701134875680504,1,-0.13992063492063492,0,4,91,399.0,-0.32104080390425754,0.03132853321520541
11/21/2017,2,30,157,0.8024773099729644,1,0.1609477124183007,0,4,93,822.0,-0.32104080390425754,0.23353507290026618
07/7/2018,3,5,282,2.0517072176985205,1,0.1750816993464052,0,3,90,1527.0,-0.32104080390425754,-0.007186998153377592
10/7/2017,4,6,331,2.541405341526939,4,0.22571428571428576,6,2,94,428.75,1.544029706771135,0.0024418846887681585
05/18/2017,4,18,99,0.22283463278830626,1,0.06111111111111112,0,3,93,474.0,-0.32104080390425754,0.11798847879451715
09/23/2018,1,6,236,1.5919906116555158,1,0.0922077922077922,0,2,93,1290.0,-0.32104080390425754,0.0024418846887681585
