Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
02/23/2017,5,1135,132,1.7199065633496982,2,0.12569444444444447,2,3,89,358.0,1.3004430232165018,37.969665454357646
09/19/2017,1,195,218,3.4005661590913694,2,0.21072569444444444,2,3,92,574.5,1.3004430232165018,6.430653774738715
08/23/2017,5,172,176,2.57977891465939,1,0.2373579545454545,0,3,90,931.0,-0.2219944839325951,5.6589545527905925
04/25/2018,5,114,303,5.061683201394184,1,0.11923076923076922,0,3,93,1617.0,-0.2219944839325951,3.7129304278779345
11/8/2017,5,130,58,0.2737576088743061,1,0.35,0,3,82,318.0,-0.2219944839325951,4.2497646692331505
02/23/2017,5,355,59,0.29330016231316275,1,0.4,0,3,90,305.0,-0.2219944839325951,11.798996188290872
08/7/2016,5,265,55,0.2151299485577362,1,0.22083333333333333,0,4,91,289.0,-0.2219944839325951,8.779303580667783
01/30/2017,5,403,36,-0.15617856678054,1,0.08249999999999999,0,4,89,196.0,-0.2219944839325951,13.40949891235652
03/8/2017,5,152,30,-0.27343388741367985,1,0.0,0,2,95,178.0,-0.2219944839325951,4.987911751096572
06/7/2017,5,82,147,2.013044864932548,3,0.22183333333333333,4,3,88,299.3333333333333,2.8228805303655986,2.639261945167503
02/1/2018,5,127,258,4.182268296645635,1,0.19921875,0,3,92,1307.0,-0.2219944839325951,4.149108248979047
02/6/2017,5,73,34,-0.1952636736582533,1,0.008333333333333331,0,1,95,199.0,-0.2219944839325951,2.3372926844051936
05/23/2017,5,72,181,2.6774916818536734,1,0.06112258953168044,0,3,93,949.0,-0.2219944839325951,2.3037405443204926
04/29/2018,5,44,206,3.166055517825089,8,0.12453314659197012,9,3,90,143.25,10.435068066111084,1.364280621948865
01/4/2019,1,27,312,5.237566182343894,1,-0.1248571428571428,0,2,95,1719.0,-0.2219944839325951,0.7938942405089483
08/17/2017,5,37,387,6.703257690258143,3,0.09781732745181404,2,4,93,711.0,2.8228805303655986,1.1294156413559582
