Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
12/24/2017,1,156,80,-0.7831360266339333,1,0.06014957264957265,0,3,91,400.0,-0.7811334658849433,1.3958988764774856
09/30/2017,1,129,111,-0.25992014677074515,1,0.13423295454545453,0,4,92,577.0,-0.7811334658849433,0.9362736366617281
05/29/2017,1,169,159,0.550220570436772,3,0.059523809523809534,4,2,92,281.6666666666667,0.5207556439232953,1.6171999178702579
03/11/2018,2,83,141,0.24641780148395304,1,0.06354166666666668,0,2,94,767.0,-0.7811334658849433,0.15320841327191917
08/23/2017,1,98,77,-0.8337698214594031,1,-0.04,0,3,94,363.0,-0.7811334658849433,0.40855576872511773
07/26/2017,5,48,54,-1.2219622484546715,1,0.416,0,3,91,280.0,-0.7811334658849433,-0.44260208278554425
12/7/2017,1,23,97,-0.4962111892896043,2,0.11813186813186816,2,3,92,272.5,-0.13018891098082394,-0.8681810085408752
08/2/2018,4,14,229,1.7316757830310678,5,0.20948275862068969,8,5,86,284.0,1.8226447537315342,-1.0213894218127944
02/3/2017,5,12,230,1.7485537146395578,5,0.1919191919191919,7,3,89,239.2,1.8226447537315342,-1.055435735873221
06/14/2018,2,8,86,-0.6818684369829937,2,0.1340909090909091,2,6,90,224.0,-0.13018891098082394,-1.1235283639940739
