Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
01/15/2018,5,1044,218,3.3967283204852183,1,0.014486291486291469,0,3,94,1205.0,-0.26413281802567873,36.64288086065757
11/25/2017,5,255,530,10.044271391056613,1,0.1703007756132756,0,3,94,2930.0,-0.26413281802567873,8.924571815307113
05/18/2018,1,116,57,-0.03357435375194364,1,0.0,0,3,93,249.0,-0.26413281802567873,4.041371615936121
09/28/2017,5,111,456,8.467610534574936,5,0.16270647377984335,4,2,92,480.2,4.313559002176728,3.865716932505509
08/20/2018,1,74,137,1.670923869471491,3,0.22129629629629635,2,2,93,274.6666666666667,2.0247130920755243,2.5658722751189855
08/3/2018,1,68,169,2.352723158760865,1,0.12727272727272726,0,3,95,863.0,-0.26413281802567873,2.355086655002252
07/20/2018,1,51,81,0.4777751132150868,1,0.215,0,1,96,466.0,-0.26413281802567873,1.7578607313381736
09/6/2018,1,46,109,1.074349491343289,1,0.10157699443413727,0,2,94,563.0,-0.26413281802567873,1.5822060479075624
07/22/2018,3,43,261,4.312896115467814,10,0.15196608946608944,9,3,91,135.6,10.035673777429734,1.4768132378491956
01/6/2018,5,131,174,2.459254297712329,2,0.0637820512820513,1,4,92,440.5,0.8802901370249229,4.568335666227954
09/22/2018,1,38,128,1.4791678193588549,1,0.2318181818181818,0,3,94,740.0,-0.26413281802567873,1.3011585544185842
09/23/2018,1,38,85,0.5630000243762585,1,0.06785714285714285,0,2,95,463.0,-0.26413281802567873,1.3011585544185842
08/16/2018,5,37,211,3.247584725953168,1,0.06141184573002755,0,3,94,1097.0,-0.26413281802567873,1.266027617732462
08/14/2017,5,58,172,2.416641842131744,3,0.225,4,3,91,321.3333333333333,2.0247130920755243,2.003777288141029
07/6/2018,5,34,196,2.9279913090987737,2,0.09860368389780157,2,4,92,529.0,0.8802901370249229,1.1606348076740953
04/21/2018,3,36,148,1.9052923751647133,2,0.16925770308123253,2,3,91,384.0,0.8802901370249229,1.2308966810463398
11/28/2017,5,36,217,3.375422092694925,4,0.5016666666666667,3,3,91,323.0,3.1691360471261265,1.2308966810463398
10/23/2016,3,44,363,6.4861313500776925,7,-0.10021929824561404,12,7,87,275.14285714285717,6.60240491227793,1.5119441745353177
05/12/2017,2,48,125,1.4152491359879755,3,0.3588383838383838,4,4,91,233.33333333333331,2.0247130920755243,1.6524679212798068
06/23/2016,5,1680,513,9.682065518621632,16,0.17484477124183007,16,5,88,177.125,16.902211507733345,58.986156593031325
12/19/2017,5,4,313,5.420819960563047,12,0.16406744812994814,14,4,88,151.5,12.324519687530938,0.10670670709042773
11/12/2018,4,1,271,4.525958393370743,1,0.31337939837939843,0,3,95,1443.0,-0.26413281802567873,0.0013138970320609718
11/20/2018,5,1,238,3.8228528762910767,8,0.2438888888888889,10,3,90,175.5,7.746827867328531,0.0013138970320609718
10/10/2018,4,1,231,3.6737092817590256,4,0.2658263305322129,4,7,88,324.75,3.1691360471261265,0.0013138970320609718
08/15/2018,5,1,196,2.9279913090987737,1,0.32281045751633985,0,2,95,1107.0,-0.26413281802567873,0.0013138970320609718
10/3/2017,5,2,217,3.375422092694925,2,0.17677083333333335,2,1,95,606.5,0.8802901370249229,0.036444833718183224
09/29/2018,1,2,124,1.3939429081976829,1,0.1270408163265306,0,3,94,664.0,-0.26413281802567873,0.036444833718183224
02/3/2019,2,1,186,2.7149290311958447,2,-0.0009259259259259227,2,2,94,474.0,0.8802901370249229,0.0013138970320609718
08/19/2018,1,4,135,1.6283114138909052,1,0.08194444444444443,0,2,94,716.0,-0.26413281802567873,0.10670670709042773
06/11/2018,5,1,166,2.288804475389986,4,0.08582833832833832,3,2,91,243.5,3.1691360471261265,0.0013138970320609718
07/29/2018,5,2,254,4.163752520935764,1,0.14304899645808736,0,3,95,1423.0,-0.26413281802567873,0.036444833718183224
10/4/2018,5,0,260,4.291589887677522,3,0.13602941176470587,4,2,94,487.0,2.0247130920755243,-0.033817039654061284
09/28/2017,4,18,90,0.6695311633277231,4,0.4742424242424242,4,3,92,133.5,3.1691360471261265,0.5985398206961393
04/4/2018,5,1,175,2.4805605255026224,2,0.11359427609427612,1,5,92,453.5,0.8802901370249229,0.0013138970320609718
10/31/2016,3,3,157,2.09704842527735,3,0.21593137254901965,2,2,93,284.6666666666667,2.0247130920755243,0.07157577040430547
12/30/2018,3,0,193,2.864072625727895,2,0.08592592592592592,2,3,92,525.0,0.8802901370249229,-0.033817039654061284
11/15/2018,1,2,173,2.4379480699220366,1,0.012333333333333344,0,2,95,936.0,-0.26413281802567873,0.036444833718183224
09/25/2018,4,0,194,2.885378853518188,3,0.2657563025210084,4,2,93,366.0,2.0247130920755243,-0.033817039654061284
01/4/2019,2,0,183,2.6510103478249656,5,0.06416666666666668,8,2,91,211.8,4.313559002176728,-0.033817039654061284
10/2/2017,4,2,135,1.6283114138909052,1,0.13530303030303029,0,3,95,683.0,-0.26413281802567873,0.036444833718183224
11/6/2018,5,0,168,2.331416930970572,6,0.1908928571428572,7,2,92,164.5,5.457981957227329,-0.033817039654061284
10/17/2017,5,1,159,2.139660880857936,1,0.28797979797979795,0,1,98,883.0,-0.26413281802567873,0.0013138970320609718
12/1/2017,5,1,245,3.971996470823128,3,0.1830812324929972,4,2,93,446.0,2.0247130920755243,0.0013138970320609718
08/25/2016,5,2,213,3.2901971815337534,6,0.12266798418972333,10,3,92,210.0,5.457981957227329,0.036444833718183224
10/24/2016,5,1,251,4.099833837564885,1,0.2413888888888889,0,2,95,1326.0,-0.26413281802567873,0.0013138970320609718
11/15/2017,5,1,151,1.9692110585355918,3,0.09827178030303033,4,2,93,256.0,2.0247130920755243,0.0013138970320609718
11/9/2018,5,1,112,1.1382681747141676,1,0.28140495867768595,0,3,93,564.0,-0.26413281802567873,0.0013138970320609718
11/1/2017,4,2,165,2.2674982475996934,1,0.4548809523809524,0,3,95,883.0,-0.26413281802567873,0.036444833718183224
03/8/2019,5,0,150,1.947904830745299,3,0.2952272727272727,2,3,92,271.6666666666667,2.0247130920755243,-0.033817039654061284
03/21/2018,4,1,125,1.4152491359879755,1,0.2390625,0,1,94,667.0,-0.26413281802567873,0.0013138970320609718
08/22/2018,5,0,319,5.548657327304803,1,0.2708095109255824,0,3,94,1651.0,-0.26413281802567873,-0.033817039654061284
10/11/2017,5,3,83,0.5203875687956726,1,0.265,0,5,92,425.0,-0.26413281802567873,0.07157577040430547
12/23/2016,5,1,245,3.971996470823128,2,0.28734848484848485,2,2,93,662.0,0.8802901370249229,0.0013138970320609718
09/26/2017,5,1,164,2.2461920198093996,1,0.22820512820512825,0,2,93,888.0,-0.26413281802567873,0.0013138970320609718
01/14/2018,5,1,142,1.7774550084229557,1,0.18493867243867249,0,2,94,730.0,-0.26413281802567873,0.0013138970320609718
09/16/2017,5,1,151,1.9692110585355918,3,0.029338842975206607,4,3,93,256.3333333333333,2.0247130920755243,0.0013138970320609718
09/24/2016,5,1,329,5.761719605207733,3,0.2950845410628019,4,3,94,570.3333333333334,2.0247130920755243,0.0013138970320609718
01/3/2019,5,0,131,1.5430865027297334,4,0.2318039772727273,6,2,92,183.5,3.1691360471261265,-0.033817039654061284
08/20/2016,5,1,269,4.483345937790157,1,0.19425454545454549,0,3,94,1416.0,-0.26413281802567873,0.0013138970320609718
12/4/2015,5,3,164,2.2461920198093996,2,0.36174688057041,2,3,93,448.5,0.8802901370249229,0.07157577040430547
12/25/2016,5,1,169,2.352723158760865,3,0.1550662878787879,4,3,92,298.3333333333333,2.0247130920755243,0.0013138970320609718
09/23/2018,5,0,132,1.5643927305200265,3,0.15242424242424246,4,2,93,250.33333333333331,2.0247130920755243,-0.033817039654061284
10/3/2017,5,1,126,1.4365553637782686,2,0.18200336700336706,1,4,93,330.0,0.8802901370249229,0.0013138970320609718
05/23/2018,4,0,173,2.4379480699220366,1,0.27138888888888885,0,6,91,893.0,-0.26413281802567873,-0.033817039654061284
02/14/2019,5,0,125,1.4152491359879755,1,0.13651094276094275,0,1,97,680.0,-0.26413281802567873,-0.033817039654061284
11/13/2017,4,1,132,1.5643927305200265,2,0.2532287157287157,1,2,96,352.5,0.8802901370249229,0.0013138970320609718
12/28/2018,3,0,115,1.2021868580850466,4,0.11363636363636362,6,2,92,155.5,3.1691360471261265,-0.033817039654061284
12/10/2017,5,1,235,3.7589341929202,2,0.22124542124542124,2,3,93,602.0,0.8802901370249229,0.0013138970320609718
06/25/2018,5,0,151,1.9692110585355918,3,0.1073737373737374,4,3,92,276.6666666666667,2.0247130920755243,-0.033817039654061284
10/7/2018,5,0,157,2.09704842527735,3,0.15276747062461346,4,2,93,266.6666666666667,2.0247130920755243,-0.033817039654061284
05/12/2018,5,0,175,2.4805605255026224,6,0.255701754385965,5,2,93,135.0,5.457981957227329,-0.033817039654061284
02/13/2018,5,0,164,2.2461920198093996,1,0.2452080327080327,0,2,95,820.0,-0.26413281802567873,-0.033817039654061284
03/1/2019,5,0,156,2.0757421974870565,1,0.1360064935064935,0,2,94,876.0,-0.26413281802567873,-0.033817039654061284
06/6/2017,5,2,135,1.6283114138909052,2,0.4704545454545455,2,3,93,348.0,0.8802901370249229,0.036444833718183224
01/16/2019,5,0,125,1.4152491359879755,1,0.15092592592592596,0,2,93,667.0,-0.26413281802567873,-0.033817039654061284
09/28/2017,5,2,83,0.5203875687956726,1,0.11333333333333336,0,2,93,462.0,-0.26413281802567873,0.036444833718183224
05/31/2018,5,0,133,1.5856989583103192,2,0.3903030303030303,2,2,94,376.0,0.8802901370249229,-0.033817039654061284
11/26/2017,5,1,144,1.8200674640035408,2,0.1877380952380953,2,3,93,385.0,0.8802901370249229,0.0013138970320609718
10/15/2017,5,1,106,1.01043080797241,3,0.22538194444444445,4,2,91,191.0,2.0247130920755243,0.0013138970320609718
