Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
12/21/2017,5,228,229,2.792329775014065,2,0.1335119047619048,2,2,93,613.0,0.41145509688518855,3.6585357325155226
07/29/2016,4,4074,700,10.358400201539432,15,0.19114386957128893,22,5,88,271.93333333333334,9.536184301094416,65.87110346755013
10/22/2017,1,414,148,1.4911584277772192,1,0.1587603305785124,0,4,93,823.0,-0.2904471495924445,6.667255856986776
10/9/2017,5,561,189,2.1497760232921657,13,0.17078993055555558,12,7,83,75.15384615384616,8.132379808139152,9.045115310197925
11/16/2017,1,155,114,0.9449877388136044,1,0.04459821428571428,0,2,96,617.0,-0.2904471495924445,2.4776939632337944
04/12/2018,4,59,304,3.9971180594926254,3,0.2459580928330929,3,3,94,525.0,1.1133573433628217,0.9248061570550835
06/6/2017,2,62,87,0.5112639564013223,1,0.11309523809523812,0,5,80,754.0,-0.2904471495924445,0.9733339009981683
01/7/2019,1,29,121,1.0574346453649368,3,0.0818181818181818,2,5,90,209.66666666666663,1.1133573433628217,0.43952871762423645
02/1/2017,5,177,80,0.3988170498499899,1,0.14004545454545453,0,2,96,452.0,-0.2904471495924445,2.8335640854830824
01/5/2018,1,33,49,-0.09916210773448217,3,-0.1097222222222222,2,4,90,85.33333333333333,1.1133573433628217,0.504232376215016
01/4/2018,3,26,82,0.4309447374360849,2,0.05666666666666665,2,2,92,225.0,0.41145509688518855,0.3910009736811517
10/13/2017,5,25,226,2.744138243634924,1,0.05718787878787879,0,4,91,1256.0,-0.2904471495924445,0.3748250590334568
12/4/2015,4,1380,604,8.816271197406872,10,0.19508761786159048,15,4,91,334.6,6.026673068706253,22.293189406660055
09/25/2017,1,28,41,-0.2276728580788621,1,0.05,0,3,95,244.0,-0.2904471495924445,0.42335280297654154
05/14/2018,4,14,213,2.5353082743253057,2,0.20214285714285715,2,3,93,570.0,0.41145509688518855,0.19688999790881284
05/30/2018,1,16,53,-0.034906732562292216,1,0.3340909090909091,0,4,95,274.0,-0.2904471495924445,0.22924182720420266
08/10/2017,5,16,213,2.5353082743253057,4,0.1938492063492064,6,2,91,285.75,1.8152595898404544,0.22924182720420266
02/14/2017,5,18,255,3.2099897136333,2,0.22434098639455785,2,2,94,645.5,0.41145509688518855,0.2615936564995925
09/26/2017,4,51,185,2.085520648119976,4,0.1922619047619048,6,5,90,246.75,1.8152595898404544,0.7953988398735243
02/25/2017,1,48,318,4.222011872595291,4,0.3091954022988505,6,5,88,448.0,1.8152595898404544,0.7468710959304397
07/15/2017,1,12,99,0.7040300819178922,3,0.2,3,11,82,178.66666666666663,1.1133573433628217,0.16453816861342302
06/6/2017,1,37,126,1.1377538643301743,1,0.13159340659340654,0,0,96,667.0,-0.2904471495924445,0.5689360348057957
01/18/2017,1,53,47,-0.13128979532057716,2,0.06666666666666668,2,3,91,135.5,0.41145509688518855,0.8277506691689142
06/22/2017,3,9,185,2.085520648119976,2,0.10013736263736264,2,4,92,490.0,0.41145509688518855,0.11601042467033833
06/13/2018,3,8,92,0.5915831753665597,2,0.1722222222222222,2,2,92,240.5,0.41145509688518855,0.09983451002264342
10/3/2017,4,15,210,2.487116742946163,1,0.24914529914529915,0,2,95,1120.0,-0.2904471495924445,0.21306591255650775
01/15/2018,5,7,185,2.085520648119976,1,0.120625,0,2,93,974.0,-0.2904471495924445,0.08365859537494852
01/21/2018,5,6,176,1.9409460539825485,3,0.152488344988345,4,4,90,319.0,1.1133573433628217,0.06748268072725361
07/12/2018,5,6,106,0.8164769884692246,1,0.14249084249084248,0,3,94,547.0,-0.2904471495924445,0.06748268072725361
12/5/2016,5,16,262,3.3224366201846323,9,0.19967013888888888,13,2,90,164.44444444444446,5.3247708222286185,0.22924182720420266
01/8/2018,5,5,160,1.6839245532937888,1,0.28641975308641976,0,1,94,871.0,-0.2904471495924445,0.051306766079558704
01/5/2018,1,9,89,0.5433916439874172,1,0.21761363636363631,0,3,92,467.0,-0.2904471495924445,0.11601042467033833
06/21/2018,5,3,269,3.4348835267359648,5,0.3342998955067921,8,3,93,312.6,2.5171618363180874,0.018954936784168888
08/25/2017,5,4,369,5.041267906040712,11,0.176439594356261,15,3,92,172.54545454545453,6.728575315183886,0.0351308514318638
08/6/2017,5,5,146,1.459030740191124,2,0.2114035087719298,2,4,93,406.0,0.41145509688518855,0.051306766079558704
07/17/2018,5,4,97,0.6719023943317972,3,0.26479166666666665,4,2,90,173.0,1.1133573433628217,0.0351308514318638
06/22/2017,5,5,127,1.1538177081232217,1,0.3317708333333333,0,5,91,731.0,-0.2904471495924445,0.051306766079558704
