Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
04/4/2018,2,1744,310,3.7077076874055517,3,0.04802251082251082,2,2,93,581.3333333333334,1.4526332548205156,29.90552916823926
04/14/2018,1,585,219,2.342540272797329,1,0.008758217091550415,0,2,96,1164.0,-0.22709992605427115,9.99716128239576
02/3/2018,1,2405,272,3.137637778008712,1,0.09732020667504536,0,3,94,1433.0,-0.22709992605427115,41.25965442496277
08/24/2017,1,1683,261,2.972617541078048,4,0.1802536231884058,6,4,89,378.5,2.2924998452579093,28.857720332142232
02/17/2018,2,287,258,2.927612021915139,1,0.15997474747474744,0,8,88,1341.0,-0.22709992605427115,4.878357460151273
11/27/2018,1,143,759,10.44353372212085,7,0.08178345023647322,12,4,90,600.2857142857142,4.812099616570087,2.404841519200916
12/28/2017,1,264,209,2.192521875587634,1,-0.02745098039215687,0,1,95,1160.0,-0.22709992605427115,4.48328199736059
01/20/2018,1,232,116,0.7973507815374723,2,-0.06409722222222224,2,3,92,322.5,0.6127666643831222,3.9336117882605115
06/14/2017,5,1479,208,2.1775200358666646,2,0.2694139194139194,2,3,91,593.5,0.6127666643831222,25.353572749129228
07/21/2018,1,150,303,3.6026948093587663,9,0.025341651812240042,16,6,87,181.77777777777766,6.491832797444875,2.525081877441558
11/5/2017,1,1133,271,3.1226359382877424,1,0.01455050505050505,0,3,92,1527.0,-0.22709992605427115,19.41026361323462
12/4/2017,1,112,76,0.1972771926986929,1,0.11761904761904762,0,3,93,388.0,-0.22709992605427115,1.872348504135214
12/5/2017,3,121,604,8.118248565370582,9,0.12439897486772487,13,2,93,351.66666666666674,6.491832797444875,2.026943250444611
07/14/2018,5,86,51,-0.17776880032554426,1,-0.175,0,1,95,272.0,-0.22709992605427115,1.4257414592413993
08/3/2017,5,637,196,1.9974979592150308,1,0.1548076923076923,0,3,92,1084.0,-0.22709992605427115,10.890375372183389
01/25/2018,1,55,138,1.127391255398801,1,-0.3515625,0,4,92,687.0,-0.22709992605427115,0.8932484441756977
12/19/2017,2,176,314,3.7677150462894304,6,0.0037202380952380937,8,5,89,319.3333333333333,3.9722330261326952,2.971688922335373
06/13/2017,5,775,762,10.48853924128376,16,0.1965052308802308,22,3,92,253.125,12.370898930506627,13.260828148927482
11/6/2017,1,44,97,0.5123158268390521,2,-0.305,2,2,94,267.0,0.6127666643831222,0.7042993097975454
01/25/2018,3,31,432,5.53793213336383,3,0.18828529194382854,4,3,92,714.3333333333335,1.4526332548205156,0.48099578735063814
05/22/2018,1,38,221,2.372543952239268,4,0.10749289772727272,3,6,86,296.75,2.2924998452579093,0.6012361455912806
07/15/2018,5,21,188,1.8774832414472755,2,0.15343137254901962,2,2,95,517.5,0.6127666643831222,0.30922384700686334
12/26/2017,2,329,133,1.0523820567939537,1,-0.08750000000000001,0,13,82,696.0,-0.22709992605427115,5.599799609595127
02/8/2018,1,24,159,1.4424298895391598,1,-0.05208333333333332,0,2,95,838.0,-0.22709992605427115,0.3607554291099958
05/21/2018,1,21,258,2.927612021915139,4,0.2567878787878788,6,2,92,346.0,2.2924998452579093,0.30922384700686334
05/3/2018,1,18,141,1.1723967745617094,4,0.06136363636363638,5,4,90,195.0,2.2924998452579093,0.2576922649037309
07/29/2017,5,22,85,0.33229375018741825,1,0.2098214285714286,0,1,96,455.0,-0.22709992605427115,0.32640104104124085
01/17/2018,1,16,103,0.6023268651648691,2,0.03749999999999999,1,6,90,297.5,0.6127666643831222,0.22333787683497597
07/16/2018,2,14,97,0.5123158268390521,1,0.2555194805194805,0,2,95,504.0,-0.22709992605427115,0.188983488766221
11/30/2018,4,9,423,5.402915575875103,14,0.13284447821681866,13,3,90,162.64285714285714,10.691165749631844,0.10309751859433362
01/26/2018,5,11,248,2.777593624705444,7,0.2748850108225108,12,3,91,177.4285714285714,4.812099616570087,0.13745190666308857
