Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
09/13/2016,4,413,90,1.0574950197790836,2,0.09489795918367347,2,2,93,245.0,0.9449010337855209,47.40739267325209
08/25/2016,5,321,52,0.26670761828890577,3,0.7000000000000001,2,5,88,88.33333333333331,2.101733837146835,36.83207193044925
08/11/2017,1,55,232,4.012542677979222,6,-0.08431216931216931,9,3,91,208.33333333333331,5.572232247230777,6.255601087128002
02/1/2018,1,52,166,2.63906982275944,1,-0.1486111111111111,0,2,93,844.0,-0.2119317695757927,5.910753671601823
09/3/2016,5,274,185,3.0344635235045283,1,0.33509259259259266,0,2,94,955.0,-0.2119317695757927,31.429462420539107
02/8/2017,5,54,162,2.5558290436552102,3,0.10813131313131312,3,2,91,273.3333333333333,2.101733837146835,6.140651948619276
10/3/2016,5,57,105,1.3696479414199434,2,0.3159090909090909,2,4,88,290.5,0.9449010337855209,6.485499364145455
11/17/2016,1,37,193,3.200945081712987,3,0.09922248803827753,4,2,93,352.0,2.101733837146835,4.186516593970925
04/10/2017,4,19,319,5.823029623496207,11,0.151468253968254,10,3,91,152.9090909090909,11.356396264037347,2.1174321008138475
11/18/2017,1,32,129,1.8690926160453192,2,0.1388888888888889,1,3,92,339.0,0.9449010337855209,3.6117709014272923
09/23/2016,5,22,23,-0.3367880302167563,1,0.15,0,4,93,119.0,-0.2119317695757927,2.4622795163400273
09/12/2018,1,6,264,4.678468910813057,6,-0.10431308155446084,10,16,78,226.16666666666663,5.572232247230777,0.623093300200403
01/29/2017,5,13,56,0.349948397393135,1,0.20789141414141413,0,3,95,313.0,-0.2119317695757927,1.4277372697614885
07/6/2017,1,9,163,2.576639238431268,1,0.09862689393939393,0,7,89,863.0,-0.2119317695757927,0.9679407157265825
01/4/2018,5,7,168,2.6806902123115544,1,0.13625,0,2,94,840.0,-0.2119317695757927,0.7380424387091294
07/7/2017,2,6,246,4.303885404844024,1,0.04857142857142857,0,2,93,1419.0,-0.2119317695757927,0.623093300200403
09/23/2016,2,21,56,0.349948397393135,1,0.2441071428571429,0,3,92,253.0,-0.2119317695757927,2.3473303778313004
01/28/2017,4,10,73,0.7037217085861093,1,0.36000000000000004,0,2,95,411.0,-0.2119317695757927,1.082889854235309
02/25/2017,5,9,60,0.43318917649736427,1,0.040452380952380934,0,2,97,310.0,-0.2119317695757927,0.9679407157265825
09/25/2016,5,17,240,4.17902423618768,1,0.18079710144927533,0,17,75,1575.0,-0.2119317695757927,1.8875338237963946
05/19/2017,1,6,111,1.4945091100762873,1,-0.05378787878787879,0,3,93,623.0,-0.2119317695757927,0.623093300200403
09/28/2017,3,3,229,3.9501120936510494,7,0.31493055555555555,11,3,89,171.85714285714286,6.729065050592089,0.2782458846742234
04/12/2017,1,7,101,1.286407162315714,1,0.05416666666666666,0,2,93,512.0,-0.2119317695757927,0.7380424387091294
11/25/2017,2,3,210,3.5547183929059614,1,0.12400793650793647,0,2,96,1164.0,-0.2119317695757927,0.2782458846742234
02/12/2018,1,3,190,3.1385144973848162,2,0.0987603305785124,1,3,94,484.5,0.9449010337855209,0.2782458846742234
09/16/2016,5,19,47,0.1626566444086192,1,0.26666666666666666,0,4,93,239.0,-0.2119317695757927,2.1174321008138475
05/31/2017,2,3,183,2.9928431339524137,3,-0.11414565826330532,4,2,93,348.0,2.101733837146835,0.2782458846742234
09/18/2016,4,4,140,2.098004758581949,3,0.19675925925925924,4,7,87,241.0,2.101733837146835,0.3931950231829499
10/27/2018,3,1,204,3.4298572242496173,3,0.020183982683982703,4,4,92,347.33333333333326,2.101733837146835,0.04834760765677037
04/4/2018,2,2,131,1.9107130055974333,1,0.13948148148148148,0,3,95,635.0,-0.2119317695757927,0.16329674616549686
08/18/2017,2,2,355,6.572196635434271,3,0.06944444444444445,4,2,94,615.6666666666666,2.101733837146835,0.16329674616549686
07/21/2018,5,2,300,5.42763592275112,1,0.11806102900930487,0,2,96,1535.0,-0.2119317695757927,0.16329674616549686
12/16/2016,3,3,354,6.551386440658214,3,0.16119601328903654,2,3,92,624.3333333333334,2.101733837146835,0.2782458846742234
09/21/2016,5,4,114,1.5569396944044591,1,0.2625,0,3,94,597.0,-0.2119317695757927,0.3931950231829499
12/5/2016,1,7,119,1.6609906682847455,6,0.07202380952380953,7,2,92,100.83333333333331,5.572232247230777,0.7380424387091294
03/7/2019,1,1,583,11.316921044375338,15,0.05747204184704181,24,2,89,216.06666666666663,15.983727477482601,0.04834760765677037
06/3/2018,2,3,139,2.0771945638058917,2,-0.10314718614718617,2,2,94,394.5,0.9449010337855209,0.2782458846742234
09/27/2016,5,4,140,2.098004758581949,1,0.24125,0,3,96,688.0,-0.2119317695757927,0.3931950231829499
03/22/2017,2,4,232,4.012542677979222,1,0.08115079365079368,0,3,95,1205.0,-0.2119317695757927,0.3931950231829499
09/22/2016,4,2,193,3.200945081712987,5,0.32823529411764696,8,3,90,197.2,4.415399443869462,0.16329674616549686
08/23/2018,3,0,260,4.595228131708827,1,0.03677018633540372,0,3,91,1306.0,-0.2119317695757927,-0.06660153085195614
07/20/2018,1,2,92,1.0991154093311983,2,-0.23240740740740745,1,3,93,253.0,0.9449010337855209,0.16329674616549686
10/26/2016,1,4,101,1.286407162315714,1,0.0738095238095238,0,2,95,510.0,-0.2119317695757927,0.3931950231829499
03/24/2018,1,2,260,4.595228131708827,12,0.11816415385380905,12,2,91,117.5,12.513229067398658,0.16329674616549686
10/12/2016,4,1,694,13.626852664517699,16,-0.030114094944603414,23,3,91,227.1875,17.140560280843914,0.04834760765677037
12/30/2018,2,0,279,4.990621832453916,1,-0.021428571428571425,0,2,95,1580.0,-0.2119317695757927,-0.06660153085195614
09/16/2016,3,53,104,1.348837746643886,2,-0.13392857142857142,2,5,89,269.0,0.9449010337855209,6.025702810110549
11/6/2016,2,1,225,3.8668713145468208,10,0.11310515873015875,18,2,90,121.2,10.199563460676034,0.04834760765677037
08/3/2018,4,0,140,2.098004758581949,1,0.31349206349206354,0,6,90,830.0,-0.2119317695757927,-0.06660153085195614
01/17/2019,1,1,92,1.0991154093311983,2,-0.13333333333333336,1,2,94,256.0,0.9449010337855209,0.04834760765677037
10/9/2017,5,0,316,5.760599039168036,1,0.17254901960784313,0,2,95,1677.0,-0.2119317695757927,-0.06660153085195614
12/7/2017,5,0,221,3.783630535442592,1,0.2578420256991685,0,1,96,1094.0,-0.2119317695757927,-0.06660153085195614
09/19/2017,5,0,207,3.4922878085777893,6,0.2686781609195403,5,5,89,193.66666666666663,5.572232247230777,-0.06660153085195614
09/28/2016,4,3,142,2.1396251481340642,3,0.14206349206349206,3,6,83,334.0,2.101733837146835,0.2782458846742234
09/16/2016,5,56,33,-0.12868608245618315,1,0.4464285714285714,0,3,93,181.0,-0.2119317695757927,6.370550225636729
05/26/2018,5,1,98,1.2239765779875422,1,0.1425,0,1,95,517.0,-0.2119317695757927,0.04834760765677037
