Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
08/5/2016,2,159,271,2.123231533439409,4,0.2806547619047619,6,2,92,388.5,1.5588807982967194,1.671316445602745
07/31/2016,2,5664,342,2.827383212592602,7,-0.02651515151515149,12,3,91,254.14285714285717,3.3555163706709643,60.95091652139267
08/1/2016,1,2640,459,3.9877458388027938,5,0.026952373436748462,8,5,89,518.8,2.157759322421468,28.387517678669923
08/1/2016,2,64,215,1.5678442935439327,1,0.01607142857142859,0,3,94,1164.0,-0.23775477407752504,0.6483260719060979
08/13/2016,1,25,103,0.4570698137529797,3,0.007142857142857145,4,2,90,190.0,0.9600022741719714,0.22836160270431644
08/1/2016,2,27,50,-0.06856453829095338,6,0.1222222222222222,5,3,89,50.16666666666666,2.756637846546216,0.24989824215056164
08/4/2016,1,1320,904,8.401090870115063,23,0.09687047715965624,23,7,87,211.91304347826087,12.937572756666935,14.173335644148086
08/3/2016,1,35,381,3.214170754662666,7,0.1341856060606061,12,2,93,295.85714285714283,3.3555163706709643,0.3360447999355424
08/5/2016,2,41,834,7.706856820245718,18,0.15295577064444993,25,4,90,264.1666666666667,9.943180136043196,0.40065471827427807
08/14/2016,1,26,98,0.4074816673337408,1,0.04166666666666666,0,2,93,505.0,-0.23775477407752504,0.23912992242743902
08/1/2016,1,66,187,1.2901506735961945,4,0.04071428571428573,5,6,90,260.0,1.5588807982967194,0.6698627113523431
08/2/2016,1,196,247,1.8852084306270616,5,-0.05108225108225106,8,2,91,291.8,2.157759322421468,2.0697442753582815
08/3/2016,2,70,292,2.3315017484002127,3,-0.007222222222222197,4,3,92,492.66666666666674,0.9600022741719714,0.7129359902448336
08/3/2016,1,25,64,0.07028227168291575,1,-0.24999999999999994,0,6,90,326.0,-0.23775477407752504,0.22836160270431644
08/4/2016,1,17,221,1.6273500692470193,1,0.1508901515151515,0,3,93,1149.0,-0.23775477407752504,0.1422150449193356
08/2/2016,1,162,2,-0.5446107439156475,1,0.0,0,0,83,13.0,-0.23775477407752504,1.7036214047721128
08/3/2016,1,20,79,0.21904671094063266,2,0.1790719696969697,1,5,89,211.5,0.3611237500472232,0.1745200040887034
08/3/2016,2,15,198,1.3992445957185202,7,0.03825757575757576,12,3,88,173.5714285714286,3.3555163706709643,0.12067840547309037
08/4/2016,1,28,182,1.2405625271769554,1,0.06838235294117649,0,1,97,1063.0,-0.23775477407752504,0.26066656187368425
08/3/2016,1,20,55,-0.0189763918717144,1,-0.20505952380952386,0,3,91,342.0,-0.23775477407752504,0.1745200040887034
08/4/2016,1,16,133,0.7545986922684136,2,0.004999999999999997,2,5,87,370.0,0.3611237500472232,0.13144672519621298
11/3/2016,1,13,682,6.199377169100852,11,0.1663378684807256,18,3,92,357.0,5.751030467169957,0.09914176602684517
08/4/2016,1,19,64,0.07028227168291575,1,-0.024999999999999984,0,8,88,340.0,-0.23775477407752504,0.1637516843655808
08/4/2016,1,30,99,0.4173992966175885,1,0.2087301587301587,0,4,90,545.0,-0.23775477407752504,0.28220320131992943
08/4/2016,2,17,80,0.22896434022448045,2,0.08034188034188035,2,2,93,219.0,0.3611237500472232,0.1422150449193356
