Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
10/28/2018,1,1127,179,3.4726490487501227,1,-0.005321067821067827,0,1,93,963.0,-0.21617331985880472,51.80687266252572
08/19/2018,5,556,217,4.406775379232848,1,0.1740771349862259,0,3,95,1154.0,-0.21617331985880472,25.52756397744313
09/3/2018,5,414,151,2.7843454368154847,3,0.2761111111111111,4,5,90,291.6666666666667,3.005485694430384,18.992254286932216
08/25/2018,5,402,91,1.3094091255269729,2,0.07962962962962965,1,5,90,230.0,1.3946561872857897,18.439974594776366
10/1/2018,1,327,127,2.19437091230008,1,0.16782407407407404,0,5,91,687.0,-0.21617331985880472,14.988226518802295
08/29/2018,5,242,148,2.710598621251059,1,0.1833540271577381,0,4,92,827.0,-0.21617331985880472,11.07624536603168
09/16/2018,2,291,133,2.3418645434289314,1,0.1597222222222222,0,3,95,772.0,-0.21617331985880472,13.331387442334739
08/24/2018,5,182,43,0.12946007649616356,1,0.3823350694444445,0,3,90,220.0,-0.21617331985880472,8.314846905252422
10/15/2018,2,127,63,0.6211055135923341,5,0.12,8,3,88,76.2,6.227144708719575,5.783564982871436
01/27/2019,1,117,182,3.546395864314549,1,0.19523809523809527,0,2,94,957.0,-0.21617331985880472,5.323331906074893
01/31/2019,5,113,61,0.571940969882717,1,0.465,0,12,79,352.0,-0.21617331985880472,5.1392386753562755
12/3/2018,1,109,90,1.2848268536721643,1,0.16249999999999998,0,2,94,470.0,-0.21617331985880472,4.955145444637659
12/20/2018,1,97,90,1.2848268536721643,1,0.1743827160493827,0,4,90,475.0,-0.21617331985880472,4.402865752481807
09/5/2018,5,103,155,2.8826745242347185,1,0.031828703703703706,0,2,94,838.0,-0.21617331985880472,4.6790055985597325
12/30/2018,1,92,46,0.20320689206058914,1,0.11666666666666667,0,2,93,248.0,-0.21617331985880472,4.172749214083535
10/22/2018,2,89,216,4.382193107378039,1,0.08814102564102567,0,2,95,1253.0,-0.21617331985880472,4.034679291044573
10/22/2018,1,86,21,-0.411349904309624,1,-0.041666666666666664,0,2,97,113.0,-0.21617331985880472,3.8966093680056098
12/5/2018,1,81,53,0.3752827950442488,1,-0.0735714285714286,0,1,96,306.0,-0.21617331985880472,3.6664928296073387
10/11/2018,2,94,142,2.563104990122208,1,0.15000000000000002,0,2,96,880.0,-0.21617331985880472,4.2647958294428445
11/5/2018,1,94,382,8.462850235276253,2,-0.09761475503663004,2,3,90,1047.5,1.3946561872857897,4.2647958294428445
11/29/2018,3,66,221,4.5051044666520825,8,0.17033333333333334,14,2,88,160.375,11.059633230153358,2.976143214412524
02/4/2019,1,63,145,2.636851805686633,1,0.07299679487179489,0,2,96,852.0,-0.21617331985880472,2.8380732913735613
11/19/2018,4,54,617,14.239684121156257,1,0.21932743182743167,0,2,93,3649.0,-0.21617331985880472,2.423863522256673
12/1/2018,1,58,36,-0.04261582648749613,1,-0.10555555555555557,0,3,92,194.0,-0.21617331985880472,2.60795675297529
10/24/2018,3,52,299,6.4225216713271465,3,0.2197907647907648,4,2,94,562.0,3.005485694430384,2.331816906897364
10/28/2018,1,54,16,-0.5342612635836667,1,-0.16666666666666666,0,0,96,87.0,-0.21617331985880472,2.423863522256673
10/11/2018,2,49,136,2.4156113589933565,1,0.13858543417366948,0,2,94,744.0,-0.21617331985880472,2.1937469838584014
10/15/2018,2,43,107,1.7027254752039094,1,-0.009523809523809514,0,4,91,560.0,-0.21617331985880472,1.9176071377804755
10/3/2018,2,42,54,0.3998650668990573,1,-0.12857142857142856,0,3,95,287.0,-0.21617331985880472,1.8715838301008212
09/23/2018,3,40,53,0.3752827950442488,1,0.1930555555555556,0,1,95,323.0,-0.21617331985880472,1.7795372147415127
10/23/2018,1,55,151,2.7843454368154847,1,0.1158645276292335,0,3,94,842.0,-0.21617331985880472,2.469886829936327
01/8/2019,2,30,297,6.3733571276175285,2,0.06971014492753624,2,2,94,866.0,1.3946561872857897,1.31930413794497
12/6/2018,1,35,12,-0.6325903510029007,1,-0.4979166666666667,0,1,91,105.0,-0.21617331985880472,1.5494206763432412
09/19/2018,5,27,222,4.52968673850689,8,0.15750000000000006,14,3,89,156.125,11.059633230153358,1.181234214906007
02/14/2019,3,24,386,8.561179322695487,3,0.11030158730158733,4,3,92,740.0,3.005485694430384,1.043164291867044
01/2/2019,1,24,69,0.7685991447211853,1,0.19444444444444445,0,2,94,365.0,-0.21617331985880472,1.043164291867044
10/28/2018,3,20,186,3.6447249517337834,4,0.057465277777777775,3,2,94,258.75,4.616315201574978,0.859071061148427
11/19/2018,1,23,35,-0.06719809834230465,1,-0.1395703125,0,3,90,201.0,-0.21617331985880472,0.9971409841873898
10/23/2018,4,18,144,2.6122695338318254,2,0.1968686868686869,1,3,91,415.5,1.3946561872857897,0.7670244457891184
01/26/2019,3,17,101,1.555231844075058,1,0.1451569264069264,0,3,94,570.0,-0.21617331985880472,0.7210011381094641
11/9/2018,2,19,96,1.4323204848010154,1,0.17705627705627705,0,3,94,554.0,-0.21617331985880472,0.8130477534687727
