Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
07/9/2015,5,1980,205,2.8273922787447674,3,0.1245656565656566,3,3,92,345.33333333333326,1.4611681816484818,50.296024816411226
06/22/2017,4,438,532,8.603167853628657,5,0.16246812386156648,8,4,90,590.4,3.161387150287627,11.086885159037601
06/12/2018,5,65,486,7.790673430250496,7,0.053392857142857165,12,4,93,352.71428571428567,4.861606118926773,1.602443465003643
04/14/2017,5,250,60,0.2662685528788217,1,0.2833333333333333,0,2,93,357.0,-0.2390507869906638,6.306523125583488
08/6/2018,5,27,164,2.1032124666033623,1,0.1692176870748299,0,4,90,869.0,-0.2390507869906638,0.636200075262918
06/26/2016,1,201,148,1.8206057106457405,4,0.04583333333333334,3,4,81,269.25,2.3112776659680545,5.060577701970447
09/26/2017,1,27,117,1.2730551209778491,2,0.1907738095238095,2,3,92,308.5,0.6110586973289089,0.636200075262918
02/15/2017,5,29,183,2.438807989303037,1,0.31521164021164016,0,2,94,920.0,-0.2390507869906638,0.6870549905124299
12/5/2017,4,22,99,0.9551225205255244,3,0.30277777777777776,2,2,92,171.66666666666666,1.4611681816484818,0.5090627871391384
08/25/2017,5,11,239,3.4279316351547133,1,0.13767255892255892,0,2,94,1195.0,-0.2390507869906638,0.22936075326682331
12/27/2017,1,16,85,0.7078416090626054,5,0.0740740740740741,8,2,88,97.6,3.161387150287627,0.3564980413906029
07/21/2017,3,9,75,0.531212386589092,2,0.0,2,4,79,337.0,0.6110586973289089,0.1785058380173115
08/16/2018,5,4,235,3.3572799461653084,5,0.06477072310405642,8,2,91,246.6,3.161387150287627,0.05136854989353191
07/10/2018,1,5,123,1.3790326544619569,1,0.20104166666666665,0,2,94,584.0,-0.2390507869906638,0.07679600751828783
09/8/2015,5,257,245,3.533909168638821,3,0.2331135531135531,2,4,92,431.33333333333326,1.4611681816484818,6.484515328956779
06/13/2012,4,1701,753,12.506673670293308,25,0.1240964665964666,48,2,91,151.84,20.163576836679088,43.20176413910433
06/28/2018,5,3,160,2.032560777613957,1,0.05166666666666666,0,3,93,797.0,-0.2390507869906638,0.02594109226877599
12/7/2017,5,4,143,1.7322910994089835,1,0.24870670995671001,0,2,93,785.0,-0.2390507869906638,0.05136854989353191
06/4/2018,5,2,328,4.999931715168984,7,0.07733732675593137,6,2,93,244.42857142857144,4.861606118926773,0.0005136346440200695
06/9/2018,5,6,121,1.343706809967254,1,0.05515151515151516,0,2,95,604.0,-0.2390507869906638,0.10222346514304374
12/28/2017,1,7,99,0.9551225205255244,1,-0.125,0,4,92,500.0,-0.2390507869906638,0.12765092276779966
09/14/2018,5,2,149,1.8382686328930917,1,0.09248106060606062,0,3,94,800.0,-0.2390507869906638,0.0005136346440200695
09/9/2017,4,4,99,0.9551225205255244,1,0.17528911564625854,0,2,93,546.0,-0.2390507869906638,0.05136854989353191
04/22/2016,5,7,109,1.1317517429990378,4,0.1503125,6,2,90,138.0,2.3112776659680545,0.12765092276779966
10/14/2017,5,2,258,3.763527157854389,4,0.21600729517396186,6,4,89,357.5,2.3112776659680545,0.0005136346440200695
04/23/2018,4,2,152,1.891257399635146,1,0.15205026455026455,0,4,91,755.0,-0.2390507869906638,0.0005136346440200695
07/12/2018,1,2,215,3.0040215012182814,3,0.08078881345926801,3,4,89,391.66666666666674,1.4611681816484818,0.0005136346440200695
07/12/2018,4,1,223,3.145324879197092,3,0.07142857142857142,2,3,92,389.66666666666674,1.4611681816484818,-0.02491382298073585
07/20/2017,5,2,233,3.321954101670605,12,0.14260525173611108,13,6,84,96.08333333333331,9.112153540524636,0.0005136346440200695
12/16/2018,1,2,145,1.7676169439036866,3,0.22191176470588234,4,3,91,262.6666666666667,1.4611681816484818,0.0005136346440200695
